,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,24383.0,11962.0,12209.0,10154.0,7377.0,6991.0,970.0,266.0,597.0
mean,185.34130336710004,243.51922755392076,257.5919403718568,347.1300965136892,297.2990375491392,217.9350593620369,453.8835051546392,639.2556390977444,719.8827470686767
std,135.56144877128366,192.80629278991796,218.8202516002518,301.96869799263925,302.7240418078794,172.58884403932728,373.57081194015257,523.6084833499216,669.7572732121905
min,6.0,2.0,9.0,3.0,3.0,2.0,16.0,23.0,21.0
1%,32.0,39.0,38.0,37.53,34.0,26.0,56.379999999999995,41.8,48.92
2.5%,43.0,55.0,49.0,54.0,46.0,39.75,76.0,77.25,78.7
5%,54.0,68.0,62.0,73.0,59.80000000000001,52.5,93.0,98.5,95.8
10%,69.0,86.0,81.0,99.0,78.0,71.0,128.0,168.5,129.8
25%,99.0,126.0,123.0,157.0,124.0,111.0,204.25,296.0,263.0
50%,150.0,192.0,194.0,256.5,207.0,174.0,335.0,493.5,524.0
75%,231.0,300.0,320.0,437.0,359.0,271.0,585.5,813.25,917.0
90%,339.0,452.0,504.0,693.7000000000007,601.4000000000005,407.0,947.2,1275.0,1581.1999999999998
95%,427.0,582.0,669.0,911.3500000000004,839.1999999999998,522.0,1247.6499999999999,1773.25,1985.7999999999993
97.5%,528.0,726.0,824.0,1149.3499999999985,1047.5999999999995,669.0,1489.9499999999996,2136.625,2465.2000000000007
99%,686.5400000000009,964.2399999999907,1100.6800000000003,1498.0,1558.2399999999998,877.3000000000011,1746.2399999999998,2411.9000000000015,3182.6799999999994
max,3267.0,3630.0,3418.0,4216.0,4634.0,2386.0,2806.0,3223.0,5469.0
