,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,10.529411764705882,10.037669994263844,1.0,1.0,1.0,2.0,3.0,4.0,8.0,13.0,21.0,29.0,37.92499999999973,50.570000000000164,99.0
1,P6-12,5,3278.0,12.933801098230628,12.044301233349705,1.0,1.0,1.0,2.0,3.0,6.0,10.0,16.0,25.0,32.0,41.0,56.0,283.0
2,P6-12,2,1495.0,30.869565217391305,20.149899518708533,1.0,5.0,6.0,9.0,12.0,17.0,27.0,38.0,55.0,67.0,81.0,106.05999999999995,223.0
3,P6-12,1,3068.0,23.465775749674055,19.45422093645608,1.0,3.0,4.0,5.0,7.699999999999989,12.0,19.0,29.0,42.0,56.0,70.0,101.0,275.0
4,P13-15,1,1896.0,27.524789029535864,26.02824561656648,1.0,3.0,4.0,6.0,8.0,14.0,21.0,34.0,50.5,68.0,89.25,124.09999999999991,437.0
5,P13-15,4,1611.0,12.99130974549969,12.827858811962747,1.0,1.0,2.0,2.0,4.0,6.0,10.0,16.0,25.0,32.0,42.75,55.0,241.0
6,P13-15,3,1435.0,12.37212543554007,12.386536224850227,1.0,1.0,1.0,2.0,3.0,5.0,9.0,16.0,24.0,33.0,43.149999999999864,61.0,206.0
7,P13-15,2,3831.0,29.647350561211173,25.614242991410617,1.0,3.0,5.0,7.0,10.0,15.0,24.0,36.0,54.0,69.0,88.25,127.79999999999927,385.0
8,P13-15,5,2311.0,11.123755949805279,16.15201870163034,1.0,1.0,1.0,2.0,2.0,5.0,8.0,14.0,21.0,28.0,37.0,48.0,594.0
9,P13-15,6,5969.0,13.273580164181604,13.242544589203117,1.0,1.0,2.0,2.0,3.0,6.0,10.0,16.0,25.0,35.0,45.0,63.0,291.0
10,P13-15,7,1713.0,19.71511967308815,17.680494070048507,1.0,1.0,2.0,3.0,5.0,9.0,15.0,25.0,39.0,52.0,64.0,86.63999999999965,180.0
11,P16-18,2,1920.0,35.23489583333333,31.097947952346985,1.0,3.0,5.0,7.0,10.0,17.0,27.0,43.0,69.0,87.0,116.04999999999973,153.66999999999962,373.0
12,P16-18,3,5523.0,18.731305449936627,19.20560732290815,1.0,1.0,2.0,3.0,5.0,8.0,14.0,23.0,37.0,48.0,66.94999999999982,92.0,327.0
13,P16-18,4,1455.0,13.262542955326461,14.6280737747573,1.0,1.0,2.0,2.0,3.0,6.0,9.0,16.0,26.0,36.0,48.0,70.92000000000007,189.0
14,P16-18,6,1764.0,16.113378684807255,20.79987734298664,1.0,1.0,2.0,2.0,3.0,6.0,11.0,19.0,32.0,46.84999999999991,67.0,91.36999999999989,357.0
15,P16-18,1,1312.0,25.046493902439025,27.190574766248616,1.0,2.1099999999999994,3.0,4.0,6.0,11.0,18.0,29.0,49.0,70.0,93.22499999999991,132.6700000000003,346.0
16,P19-21,7,3799.0,32.74572255856805,36.23483455716099,1.0,3.0,4.0,6.0,8.0,14.0,23.0,38.0,65.0,88.09999999999991,121.0,187.1199999999999,497.0
17,P19-21,5,2606.0,12.724481964696853,13.04585413808498,1.0,1.0,1.0,2.0,3.0,5.0,9.0,16.0,25.0,36.0,48.0,67.0,175.0
18,P19-21,3,3587.0,17.003902982994145,19.85522015113222,1.0,1.0,2.0,3.0,4.0,7.0,12.0,20.0,33.0,45.0,64.0,91.41999999999962,461.0
19,P19-21,2,1342.0,42.73621460506706,47.81804797493182,1.0,2.0,4.0,5.0,8.0,16.0,28.5,52.0,90.0,130.95000000000005,177.94999999999982,229.89999999999918,602.0
20,P19-21,1,729.0,29.986282578875173,36.49337330379817,1.0,1.2800000000000002,3.0,4.399999999999999,6.0,11.0,19.0,33.0,61.0,88.80000000000007,135.39999999999986,216.76000000000022,334.0
21,P19-21,4,1469.0,17.744724302246425,22.908467188932974,1.0,1.0,2.0,3.0,4.0,6.0,12.0,20.0,34.0,52.0,72.89999999999986,122.63999999999987,361.0
22,P22-24,7,1486.0,45.18707940780619,51.42769755073739,1.0,3.0,4.0,7.0,9.5,17.0,28.0,52.75,99.0,139.75,192.875,258.0,555.0
23,P22-24,6,3256.0,29.207002457002456,36.67958359415003,1.0,2.0,3.0,4.0,6.0,11.0,19.0,32.0,62.0,93.0,134.625,197.0,386.0
24,P22-24,5,1083.0,39.67036011080332,42.830505895536795,1.0,2.0,4.0,5.0,7.0,12.0,25.0,49.0,91.0,123.0,167.0,227.18000000000006,278.0
25,P22-24,2,772.0,44.370466321243526,52.318267346082294,1.0,1.0,3.0,4.0,6.1000000000000085,14.0,27.0,56.0,99.79999999999995,136.89999999999986,184.45000000000005,224.0,604.0
26,P22-24,3,2539.0,25.010240252067742,30.203354215911563,1.0,2.0,3.0,4.0,6.0,10.0,17.0,29.0,49.0,71.09999999999991,97.54999999999973,151.0,507.0
27,P22-24,4,3426.0,18.823117338003502,26.882294442322927,1.0,1.0,1.0,2.0,3.0,6.0,11.0,22.0,39.0,58.75,84.0,135.25,441.0
28,P25-27,4,2434.0,15.14543960558751,19.756725476492356,1.0,1.0,1.0,2.0,3.0,5.0,10.0,18.0,31.0,46.0,59.0,88.0,455.0
29,P25-27,5,2837.0,19.801550934085302,23.518570470442352,1.0,1.0,2.0,3.0,4.0,7.0,13.0,24.0,41.40000000000009,58.0,78.0,106.91999999999962,402.0
30,P25-27,6,274.0,38.68613138686131,55.234332878824155,1.0,1.0,1.0,2.0,4.0,10.0,21.5,38.75,104.70000000000002,153.49999999999966,192.22500000000008,267.3199999999997,397.0
31,P25-27,3,1253.0,29.708699122106943,34.609190490928206,1.0,2.0,3.0,5.0,6.0,11.0,18.0,33.0,67.0,97.0,136.0,166.0,341.0
32,P25-27,7,1547.0,47.012928248222366,53.72571650637679,1.0,3.0,4.0,6.0,9.0,15.0,30.0,59.0,100.40000000000009,136.69999999999982,183.39999999999964,259.0799999999999,608.0
33,P28-31,7,912.0,41.875,48.694794800006186,1.0,2.0,3.0,5.0,8.0,15.0,26.0,50.25,89.0,129.3499999999998,178.47500000000025,230.55999999999995,458.0
34,P28-31,5,5432.0,22.965390279823268,19.70242390910453,1.0,2.0,3.0,4.0,6.0,11.0,18.0,29.0,45.0,59.0,74.0,95.0,248.0
35,P28-31,6,2597.0,30.18636888717751,32.87948881666775,1.0,2.0,3.0,4.0,6.0,11.0,20.0,36.0,66.0,92.0,123.0,165.1199999999999,385.0
36,P32-35,6,61.0,38.98360655737705,53.333070354542905,1.0,1.0,1.0,1.0,1.0,2.0,16.0,60.0,90.0,129.0,210.0,227.6,233.0
37,P32-35,7,902.0,83.8880266075388,80.86344314988564,1.0,7.0,9.0,14.0,18.0,31.0,55.0,110.0,184.89999999999998,246.94999999999993,317.475,405.95000000000005,552.0
38,P32-35,5,585.0,67.36752136752136,81.34111311666561,1.0,1.0,3.0,5.0,9.0,19.0,40.0,84.0,150.60000000000002,211.5999999999999,330.79999999999995,412.67999999999927,599.0
39,Doxo,5,205.0,58.0390243902439,73.85955431594076,1.0,1.0,1.1000000000000005,2.200000000000001,5.0,13.0,31.0,75.0,144.2,211.99999999999991,239.40000000000003,393.16000000000054,429.0
40,Doxo,7,258.0,127.67829457364341,119.54040227499877,1.0,2.0,6.0,9.850000000000001,16.700000000000003,42.0,96.5,169.5,286.3,365.04999999999984,426.0249999999999,534.7300000000007,699.0
41,Doxo,6,652.0,68.93251533742331,90.35882582808658,1.0,2.0,3.0,5.0,7.0,15.75,37.0,83.0,182.0,258.0,316.1500000000003,425.9500000000005,879.0
