,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13532.0,12562.0,8345.0,8941.0,1548.0,1115.0
mean,18.261576598909272,18.286155813705637,21.019375313178553,23.930904522613066,29.25107466963859,25.595566207309766,26.99161167654625,75.87532299741602,80.52286995515695
std,17.29606612225572,19.978242019380488,23.307059765354715,30.998483011043167,38.15053222260576,35.39279322904441,28.75375740620546,80.83857096390975,98.76036939315074
min,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.1400000000000006
2.5%,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.8500000000000014
5%,3.0,3.0,3.0,3.0,3.0,3.0,4.0,7.0,4.0
10%,4.0,4.0,5.0,4.0,5.0,4.0,6.0,12.0,7.0
25%,7.0,7.0,8.0,8.0,9.0,8.0,11.0,25.0,17.5
50%,14.0,13.0,15.0,15.0,18.0,15.0,19.0,48.0,44.0
75%,24.0,23.0,25.0,28.0,33.0,29.0,32.0,98.0,105.0
90%,37.0,37.0,43.0,50.0,64.0,56.600000000000364,54.0,166.5999999999999,208.0
95%,49.0,50.0,60.0,71.44999999999891,95.0,85.79999999999927,76.0,233.0,281.7999999999997
97.5%,62.0,64.0,80.0,101.0,135.97500000000036,119.39999999999964,100.0,321.32500000000005,345.4499999999996
99%,82.0,89.0,113.0,158.6900000000005,197.0,167.5599999999995,142.20000000000073,407.05999999999995,446.3399999999981
max,283.0,594.0,373.0,602.0,604.0,608.0,458.0,599.0,879.0
