,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,1.0,0.46065469158653366,0.19783289835377746,0.4732068800640832,0.5447214781540236,0.5985068864038048,0.6658256158104293,0.7814552061441477,0.9313736411387912,1.1023021657126422,1.329959825461636,1.4913034621778287,1.7263495774323372,3.73225223571855,5.942638027462281
1,P6-12,5,3278.0,1.0,0.2988770377332447,0.3342502192943096,0.5090586258252137,0.5620450027719822,0.615550218873515,0.675332188316863,0.8023408994693428,0.9656198733394508,1.1530879066155002,1.3544458976265492,1.500141739092989,1.6341727686770922,1.8276914811627754,4.962702394836047
2,P6-12,2,1495.0,1.0,0.25070548389345926,0.4017786651382206,0.5716086808802024,0.6147446814939517,0.6636523496303242,0.7251514164302212,0.8284299767630423,0.9600648203320297,1.132177262990972,1.3253960857852496,1.4657284174233807,1.5901756465113432,1.7690407509243073,2.3742746798901613
3,P6-12,1,3068.0,1.0,0.25440509741380585,0.17625465845092708,0.5279367909582808,0.5861019500321168,0.645486941230856,0.7125746553619228,0.8266667446600532,0.9709691100846212,1.1426293507281375,1.3318214719670614,1.4478228468672596,1.5763159451242508,1.7131850278765297,3.079362258221308
4,P13-15,1,1896.0,1.0,0.36009650073579175,0.27795548165193956,0.3768724479832772,0.45312840542798294,0.5239929371120229,0.6075922071856502,0.7599434692605745,0.9477836803651136,1.1716796321379466,1.4413907490659024,1.6587404407906667,1.9070921842153052,2.196750619799707,2.802251777014555
5,P13-15,4,1611.0,1.0,0.3455404258199387,0.07274869076901594,0.41672835532047886,0.5290280633164378,0.5930126486810785,0.6756045041974031,0.7994774636517986,0.9441708801948331,1.1308737497772665,1.357249878476369,1.5077413381630795,1.7913444561707292,2.638670054002525,3.3352725097517544
6,P13-15,3,1435.0,0.9999999999999999,0.3009218159476,0.30833287666845294,0.5021710189507859,0.5662906026367971,0.6196431127627555,0.6708957615998903,0.8052093649849875,0.9557132093742358,1.144910174391013,1.3714900530925271,1.5061257837458792,1.6764376108378138,2.1618419605093386,3.1561254645427264
7,P13-15,2,3831.0,1.0,0.24670218533031052,0.18430930479509822,0.5256422192776582,0.5933384886522408,0.6394926652836839,0.7075563366620582,0.8284055768601506,0.9786245126998934,1.1390280200963372,1.323313639249093,1.4427041935043998,1.558705518074225,1.734637952892895,1.9564509959331713
8,P13-15,5,2311.0,1.0,0.3346287963947989,0.09903965299272065,0.49211697844450486,0.5528183015300997,0.6049144917148518,0.6645012151264181,0.788474156617426,0.9523257712946295,1.1497704682960341,1.3874675381000017,1.5619412351971609,1.737343385704716,1.9154689030305385,5.1663484308496335
9,P13-15,6,5969.0,1.0,0.4571236209805453,0.26646213888868503,0.4701065305683707,0.5458874512657964,0.5947323338688215,0.660768802340431,0.7788262951825375,0.9363334983858765,1.123908313401486,1.340932919403226,1.501193374894567,1.6656392705872636,2.009815385297902,6.628222639321379
10,P13-15,7,1713.0,1.0,0.2913893391148015,0.21285838093586051,0.506611860815762,0.5648136361160959,0.6028662890572251,0.662305430313571,0.7899007823384468,0.9632408542816957,1.162029030298826,1.366168625825206,1.5382605110052077,1.6574676529257377,1.8535406228725835,2.5753095171808207
11,P16-18,2,1920.0,1.0,0.38738436573657853,0.2149904342799017,0.3351910499821387,0.40452542617168064,0.4637750225112713,0.5501351432693643,0.7199040870791209,0.9463484426084581,1.2318965213767488,1.511613373014244,1.7148436893516694,1.9330840776591915,2.06116495064515,2.7347773627866045
12,P16-18,3,5523.0,1.0,0.3542140285948573,0.20262366791101555,0.449222078746888,0.5135926838085982,0.5769006221908544,0.6451517060933154,0.7785714852403582,0.942261721256313,1.153887675509126,1.4041041753724828,1.5832558972699333,1.7729255196910396,2.0928365565440736,5.73852271143939
13,P16-18,4,1455.0,1.0,0.3091824082590965,0.35369586971236106,0.5021042722109594,0.5618681295280498,0.6204595223779775,0.6801006654296842,0.7953386783390861,0.9574979882711996,1.1370693757051185,1.3435382229529036,1.4978374826534202,1.7354610708793246,2.299160664357142,2.6018838487421996
14,P16-18,6,1764.0,1.0,0.3845968608720132,0.36565104347889654,0.4693863531900745,0.5252543331244008,0.5836506059096452,0.6534723533579548,0.7762254643871842,0.9446524829344678,1.1519940843203016,1.3859386951417134,1.5523381260626563,1.7320367990692829,1.9583778302773882,6.130370822925877
15,P16-18,1,1312.0,1.0,0.2375540110778996,0.438817855122799,0.5456103938092487,0.5943071341672173,0.6466281978917233,0.7148349200832085,0.8324624220043598,0.9813791885149032,1.140514803189912,1.3149214327073522,1.4366122456441526,1.5381987289606158,1.654804218590124,1.9185877593109875
16,P19-21,7,3799.0,1.0,0.3116433299348825,0.33041752587486406,0.47061600009614707,0.5223829309568165,0.5826450086259758,0.657723886966351,0.786757282304325,0.9513482776299966,1.1578456883937975,1.3993388911083595,1.5799739313171324,1.743797466844544,1.941629523152192,2.5623440926619767
17,P19-21,5,2606.0,1.0,0.3194867571913976,0.26816938327328355,0.49400515799961225,0.5583643660260131,0.6044375994898183,0.6661117665801491,0.795451219270199,0.9464872117357498,1.1483286455472395,1.380230506766444,1.5452405799468916,1.6894687829604849,1.9274409897309037,5.444386680487183
18,P19-21,3,3587.0,1.0,0.4044899944700508,0.11043523583116921,0.31735075335324325,0.3994649829785219,0.4881603609566012,0.5844835411366389,0.7489267674289077,0.9346000868326375,1.174919855220665,1.482600610061002,1.717688247628084,1.9515315155957815,2.3537718445338376,5.078858427632859
19,P19-21,2,1342.0,1.0,0.2741121178924661,0.16841138052921403,0.47259804870167454,0.5249115637891879,0.605090274734257,0.6822968699867372,0.8041385193152593,0.9770681637572259,1.1603584837593293,1.3632872972735566,1.4985247962005797,1.6483544130761536,1.7625050777515348,1.8470091896923233
20,P19-21,1,729.0,1.0,0.25662811212243714,0.36749953700268184,0.4695692648404062,0.5603765320442015,0.6307533242586206,0.6994613076947909,0.8111286371167389,0.9856160424427112,1.155089048620365,1.3293083571812194,1.4566900575502166,1.5342965402694697,1.734607671348874,1.9558734399968138
21,P19-21,4,1469.0,1.0,0.3360049445580661,0.39664810599606914,0.4927705012870994,0.5461539616005083,0.5956101235642799,0.6580106064117345,0.767840860610622,0.9436734643662923,1.1508812051034987,1.384997064091278,1.5899437346864473,1.8043107662239994,2.2328240489839555,3.295164007258668
