,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13532.0,12562.0,8345.0,8941.0,1548.0,1115.0
mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std,0.3243860176205115,0.36148311263556676,0.34854928592947143,0.33691401312266345,0.5411735151840568,0.4171117577258887,0.376947481359892,0.3487601457453247,0.40375979004275864
min,0.17625465845092708,0.07274869076901594,0.20262366791101555,0.11043523583116921,0.09757139710440281,0.020569163451972967,0.16031987066515163,0.12789718971398478,0.046547220829532866
1%,0.509768573697526,0.4698061358385719,0.42979968790128226,0.41783824407196557,0.3240088194851093,0.33809385682789606,0.4264348899894911,0.4102025598493027,0.3336591351277558
2.5%,0.5701998817899957,0.5437695022700298,0.5007008038921053,0.49680533151319384,0.4040475782837185,0.4210103036739355,0.49074524561786487,0.5136512044876754,0.42892346994870256
5%,0.6260611021815398,0.6007946164482977,0.5672411519064172,0.5669823258708112,0.4827329534859316,0.5014914745057738,0.5541373437424781,0.5708796448464915,0.5132351584928391
10%,0.6906280962999817,0.6665277699293304,0.6442375162401781,0.6473511409571574,0.5691092282247168,0.594238272719779,0.6302408105838084,0.6458230501227925,0.6023098230633038
25%,0.8098673563405552,0.7932117786584864,0.7788764020849872,0.7788054130090258,0.7231293128617577,0.750649377398698,0.77498737986373,0.7852711312388649,0.7684180014092237
50%,0.958800511067058,0.9536926071847472,0.9515377030409886,0.9508345726562348,0.9203790560818592,0.9380313814678831,0.9538952624259013,0.9601050542249436,0.9682819182141122
75%,1.1363939146111626,1.1408115809365302,1.1599356687976254,1.1587066218040554,1.1709930400929807,1.1772300048500095,1.164752282837626,1.178200250906583,1.1707463088344763
90%,1.3364779038292094,1.3556628550285406,1.4008248792886877,1.4021403262719585,1.4516237750362428,1.4635555508503901,1.3883980542656105,1.3735393570426502,1.4135945486860895
95%,1.4792594775812082,1.5198310877941876,1.5736327087576492,1.5891935405750983,1.6688294066896296,1.6523386115492282,1.5492424119577564,1.5032899259024435,1.5546337119730014
97.5%,1.6155128878054492,1.685847216037624,1.7681932283192359,1.7767983391856592,1.9507074132706443,1.8795018079160077,1.7311645200697638,1.6509799476732736,1.7078975986141431
99%,1.8268181531757217,1.953758293407912,2.055246183851412,2.053403403786636,2.36215313215545,2.2018844755944493,1.982842873138953,1.9914119059488067,2.16546644801932
max,5.942638027462281,6.628222639321379,6.130370822925877,5.444386680487183,11.797135787735382,9.388625067086686,6.226918997038581,5.836574127760666,6.195884789555637
