,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,1.0,0.46593639698987666,0.20055673824988798,0.36446118923122,0.41259824382882865,0.46607082404629796,0.5394860763767938,0.6965121223842303,0.9146783338485547,1.2055669387303007,1.5372797615817133,1.7846132113098765,2.0232875668136985,2.5061721750532775,6.996174694829944
1,P6-12,5,3278.0,1.0,0.3782028438448278,0.20359002173963514,0.37157536381983225,0.4477103592016054,0.5151651130295813,0.5884747549695555,0.7376535401959856,0.9383810968510011,1.189846430254664,1.4739404539124181,1.702206110815974,1.9186179355643311,2.159838406226137,4.8039195513052615
2,P6-12,2,1495.0,1.0,0.4745506943266542,0.09116885851330263,0.29674862223922255,0.37480551412139956,0.4642947424069788,0.5317866139223277,0.6891678955572789,0.9242789898561926,1.2198099732296304,1.561222383111461,1.8098952659298835,2.044653016348011,2.397528927621261,8.69921325416374
3,P6-12,1,3068.0,1.0,0.4704132930244389,0.19610139644048602,0.3404777337168281,0.3961715405631613,0.4601620031509729,0.5488359685987269,0.698665876008647,0.9054207098499067,1.1943896803787606,1.542240252766134,1.8501934017945239,2.117865036035451,2.4666080472875502,8.972880904342286
4,P13-15,1,1896.0,1.0,0.5224318297197795,0.1683044325467754,0.35055848472189766,0.41638921210296276,0.4655540296152804,0.5543689880499383,0.7009854394830964,0.9098227692777561,1.1865108597000682,1.5368243896530671,1.767063804429451,2.0790990537673864,2.5025441797814603,13.615096559088387
5,P13-15,4,1611.0,1.0,0.4561154096926478,0.0613278020030294,0.32452534552326995,0.37559776833176023,0.44711119984786685,0.5188533486592802,0.6896625877219342,0.9330275637223151,1.2193169421086052,1.543100990713403,1.7970370300052017,2.060677039019215,2.3981534497238317,6.232081641564129
6,P13-15,3,1435.0,1.0,0.5205765727617762,0.3190160515889168,0.36805772306885653,0.41487696670811613,0.46977416997032095,0.5416296936892756,0.7122014752295107,0.9055322035811165,1.1902958963610821,1.484249495622208,1.7526361649036832,1.9860232052730609,2.301522746748982,9.211550689612006
7,P13-15,2,3831.0,1.0,0.41097742726913034,0.14454759848745072,0.3465178252715529,0.41227618026798024,0.4771859646858867,0.5574891496482796,0.715187406553105,0.9310420152631478,1.2038697653977857,1.5261298531737908,1.760353429211937,2.0364359898825253,2.3021578404748713,3.7970500183230085
8,P13-15,5,2311.0,1.0,0.3994792458649062,0.1414571797683471,0.3668721390128136,0.42576573595685624,0.4973485617054868,0.574302312461689,0.7163550003433383,0.9296745355301426,1.2053503184703014,1.519194671406056,1.729553800766868,1.965646249751254,2.2717170703867517,3.3397812776660603
9,P13-15,6,5969.0,1.0,0.37691093413403304,0.19731034971737596,0.3867281051316664,0.4384323654121047,0.5065836861676313,0.5908243059801599,0.7391628787072614,0.944637205680908,1.200806250614296,1.4649651227924643,1.676539146058676,1.9086512325292477,2.2076411389150623,3.97662934693453
10,P13-15,7,1713.0,1.0,0.4033283150397976,0.1588016982709389,0.32355166783773015,0.40600946278573835,0.4848692798362216,0.5699638433732831,0.7300950636396706,0.9347916345921041,1.202726320376896,1.5068213258604928,1.6973831423409915,1.8969123661563299,2.29227826711781,5.340877307589496
