,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13532.0,12562.0,8345.0,8941.0,1548.0,1115.0
mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std,0.44208632548038024,0.4245735435220705,0.4695924095250198,0.47102823052921716,0.4439788370123596,0.486893222615232,0.5580961232842603,0.5501937737143064,0.44178968436859056
min,0.09116885851330263,0.0613278020030294,0.09768582903737823,0.13338770702151634,0.11214376170190288,0.17002248935229738,0.13711438401302967,0.08736240422445458,0.13699488944676305
1%,0.3507125868695359,0.3518237605295461,0.30107709129979704,0.32429486891440495,0.32335429962525736,0.3056816875470762,0.2819295191636782,0.25493344462522166,0.3200222738590625
2.5%,0.4097822225058343,0.4202681141251798,0.375247051932513,0.3982802904299618,0.38556436192065063,0.3735024949776322,0.3346040479013521,0.32613181877900616,0.3783976555791127
5%,0.47879942050952484,0.48268832621057445,0.4383215863208484,0.45897085622670614,0.4523985281892021,0.4429637656385377,0.3866742248211505,0.3923633335834878,0.44683285845690274
10%,0.5550247650406777,0.5666677434102089,0.5285161344761625,0.5365906325150037,0.5360069500720336,0.5220031791213434,0.46989726271320253,0.4945390991270654,0.5418904324160657
25%,0.7094924399377734,0.7203206987025782,0.6945494817437824,0.6976888982962585,0.7012888244030862,0.6867935580614604,0.6391961604128488,0.6862936934743844,0.7122611155693401
50%,0.9228246375553572,0.9310875807113708,0.9236069206273938,0.918400064889296,0.9307761746473008,0.9138869595399683,0.8825191314910188,0.9226630324086198,0.9385289983654849
75%,1.1991735619017698,1.2022140204347374,1.208364394022694,1.2023727898688918,1.2052603213195527,1.2107934618090335,1.2262829858812583,1.187564504412469,1.202258112057573
90%,1.5222457372802127,1.5005060536348327,1.540621581039671,1.5356050669934993,1.5339431040386948,1.57143522251947,1.6375040706586603,1.4951724069614658,1.5161657270543243
95%,1.77795769270554,1.7269795599418705,1.7921247365533841,1.7821340499161595,1.7631322688032862,1.837038904748736,1.9416399919583027,1.7956282831830672,1.6891211230973837
97.5%,2.0111345841331083,1.982135494724722,2.0632767356551205,2.081305298522965,1.9942895618588954,2.094765860365535,2.342198676038648,2.1838506654040137,2.007970990646135
99%,2.3756457225921395,2.2989249368878717,2.4874050302854203,2.476198244858257,2.443123134726574,2.4616666246453383,2.855381470000959,2.866055108578871,2.3660576344697133
max,8.972880904342286,13.615096559088387,7.4672615943512115,10.20085750989286,8.696362114214054,11.111569778202973,10.136117588100452,10.050422898897478,6.50472576023478
