,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,1.0,0.42422516579606884,0.20388573441455213,0.41955649745617807,0.4904152469121999,0.55218820147746,0.6334212755642593,0.7741566039759696,0.9531837411999724,1.1641588250992272,1.375663309805086,1.5479731693872762,1.7031473956755412,1.980938667455705,13.07568153519552
1,P6-12,5,3278.0,1.0,0.37986035573443644,0.24594561723517863,0.4139324337026928,0.4690886968362533,0.5279072940162003,0.5968139528125681,0.7370574232963406,0.9348167312538307,1.1866031908003563,1.497273527466506,1.6889302061641136,1.9167946425514832,2.2281549754103858,3.330999739435668
2,P6-12,2,1495.0,1.0,0.3605590379568825,0.3303677359016883,0.4447661890246315,0.49655058185448975,0.5435002576670768,0.6181211775146557,0.7543222971733847,0.9304458046725563,1.1828319897541772,1.4752114873428441,1.6934562480552653,1.8830627093587016,2.2338908550887924,2.785387191975811
3,P6-12,1,3068.0,1.0,0.34759351006431194,0.06875422580553812,0.4203626244174403,0.4787160787548853,0.5319705492153486,0.6061410434308206,0.7600976125231282,0.947430464797347,1.1920925393425237,1.4513271083987271,1.6070224050976036,1.793968175730211,2.0565096989460843,3.3980206055416873
4,P13-15,1,1896.0,1.0,0.3633400382288455,0.11295828297056507,0.42997019249103735,0.5124782763864595,0.5599232210344848,0.6233134552063967,0.7576086393724856,0.9389416180672037,1.174073080319987,1.4474066260615124,1.6362740872851385,1.8619368016001465,2.184957480408464,4.540407057730046
5,P13-15,4,1611.0,1.0,0.35658732951478495,0.14221590320981048,0.3474199099128745,0.43566658016468846,0.5097602800878729,0.5920782630121836,0.7581093485273009,0.961457731289217,1.1863073153921346,1.4533105468372913,1.6185981055412535,1.787871761482087,2.0377250493338823,3.471826165915573
6,P13-15,3,1435.0,1.0,0.5719343405822959,0.11581042758956821,0.3969398071640119,0.44403774633917287,0.5043701877722154,0.5777472829831993,0.7157922466526301,0.9133593966751166,1.1799828153116667,1.5000234790456681,1.72111662583954,2.0541228333110695,2.38052016331215,16.690275189852834
7,P13-15,2,3831.0,1.0,0.3915288832691519,0.10041100066944024,0.4044395200459113,0.4515354648908228,0.5094031888752171,0.5736966517858709,0.7214395609690805,0.9291421319745718,1.1967413294279212,1.509135808146272,1.7586783798354033,1.9704607853673735,2.260910066287837,3.431831384430558
8,P13-15,5,2311.0,1.0,0.4078155266610757,0.13594370442617038,0.373859114623548,0.4459077532628785,0.5069632048162255,0.5742519350675901,0.7102839853848726,0.9127567190244482,1.1957968401622119,1.5254885558347697,1.7540527091275502,2.002775361242259,2.3785861207819488,3.9071912038891816
9,P13-15,6,5969.0,1.0,0.4067877655953265,0.16081846529646004,0.3763955064417895,0.44573852238516054,0.49516607810224395,0.5716185336311813,0.7140347981652628,0.9310186349386597,1.2011299617589435,1.5166997484088653,1.7284576374296534,1.9368538561114397,2.271875565199541,6.505996514072486
10,P13-15,7,1713.0,1.0,0.4264531621531681,0.23182263332818617,0.3576737726723598,0.4225725995942014,0.4836403514818029,0.5538444475728527,0.689334762207371,0.9140513767326087,1.2117317086031518,1.5886200635609171,1.801449325985901,2.0546721892961473,2.3305484886546903,4.241773852618571
11,P16-18,2,1920.0,0.9999999999999999,0.4295151829305506,0.1893374520193252,0.3753806288524115,0.437954082248973,0.489796890142908,0.5659079147989466,0.7074446052416394,0.9092176993525085,1.176229019009047,1.5470849619130755,1.841217249574338,2.1091935884492523,2.4019542074428246,4.458304417402684
12,P16-18,3,5523.0,1.0,0.4101043704958645,0.1389648626125225,0.3690963211578689,0.44047444075067466,0.4909159747344545,0.5686445942459228,0.7089538311478714,0.9222434999541148,1.2100745145850804,1.5269836945533868,1.7471341561088007,1.9930739176530279,2.3291976731990087,6.801449685060164
13,P16-18,4,1455.0,1.0,0.3773679824352425,0.26036736130861515,0.3868274910580429,0.45200331774626945,0.5216736064571226,0.6017497222665106,0.7482862996735881,0.959511411526943,1.192155747849821,1.4277795904338848,1.5964932083871053,1.7156608689679065,1.8584312341759042,6.516201661994418
14,P16-18,6,1764.0,1.0,0.4418409665514395,0.2099576459727137,0.35986912106774,0.4175032667748084,0.4704445733731348,0.5320300906829295,0.6779185244352491,0.9103066549577574,1.2325266248698568,1.5832535276116482,1.8306200848513183,2.044464229458643,2.4068633259321706,3.6731505374704922
15,P16-18,1,1312.0,1.0,0.3603807779259525,0.2505420098026897,0.3665670854844669,0.4352657425837854,0.49303423137463287,0.5873625927461393,0.7461772776409108,0.9518719742669421,1.18629064286126,1.467360609712236,1.6528875443396842,1.844714259343685,2.063988518782262,3.019994772228068
16,P19-21,7,3799.0,1.0,0.470138766328947,0.1854139666135785,0.35537489753776047,0.4093539076234427,0.4560345016627553,0.5218736950136593,0.6705555031369677,0.9024728915225533,1.2216251983125006,1.5919596469648822,1.883104111503741,2.136348988109869,2.539127671097229,5.598055626029106
