,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13532.0,12562.0,8345.0,8941.0,1548.0,1115.0
mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std,0.37806004160241213,0.4125772128458555,0.4091421253312539,0.4362741847468157,0.4463244688174088,0.4874060282871584,0.38365574317924933,0.4654196775889824,0.4724808935656851
min,0.06875422580553812,0.10041100066944024,0.1389648626125225,0.12063682060960404,0.18693917992244685,0.10667475550680296,0.12911395023692127,0.13423780345913236,0.07797108833727252
1%,0.42144653968111884,0.3802076438289767,0.36849477773736256,0.35600907476133836,0.36536477753500457,0.2658266225532904,0.34458279607337605,0.2848078353135518,0.2872825532315359
2.5%,0.479045436739973,0.447940869743839,0.4341057487622344,0.4106730734014695,0.4197126809844654,0.3454103574955844,0.4137260886342884,0.37465440883748446,0.35373584800200697
5%,0.5365809907133099,0.5065128234051586,0.48971978662267945,0.469522378389705,0.47430884234869186,0.4229614995463063,0.475857629536322,0.4344467405805661,0.43042143204593347
10%,0.6100779401773798,0.5777138184947799,0.5670888124567759,0.5431301937761226,0.551302871804632,0.5152406522623816,0.5595784219224118,0.5200329180389002,0.5130695369588079
25%,0.7547078948446964,0.7205625256900636,0.7125242906188824,0.6944867280012794,0.701273042573128,0.6935925589458009,0.7245444122384027,0.6817608580958548,0.6554357888856275
50%,0.9425910094404012,0.9302115167045597,0.9281339188800217,0.9169586493369366,0.9132364481896602,0.9297137563022472,0.9525168624505913,0.916413782613916,0.8953912572401705
75%,1.1822063508814202,1.194771925516575,1.2033237168420994,1.2136367693585655,1.1997952224192892,1.2304970734813574,1.2146567099738492,1.2073073756169674,1.2425553726560878
90%,1.4512357688663273,1.5091944271802962,1.5191455634780147,1.5530642365390817,1.5456054429151287,1.549701958913894,1.4899195604080828,1.6023327000738274,1.6633857853958454
95%,1.636437755430899,1.7272284787039949,1.7438001306291715,1.8066486226663936,1.8034663334832632,1.8011742666051203,1.704415272318113,1.845109818360471,1.8971419238365115
97.5%,1.8336441998794784,1.9512776280847375,1.9726285956384593,2.06253749406902,2.0514719911652053,2.0516473213932644,1.902441428845095,2.0730320566122926,2.135882874358325
99%,2.149599779371969,2.2696010339816373,2.299132291598576,2.439289165381735,2.409194559304902,2.475015552400168,2.154087591959495,2.413392238310114,2.4243771597627264
max,13.07568153519552,16.690275189852834,6.801449685060164,7.208851197755626,11.528369817214964,19.22179875026746,3.5960641157995035,4.8787362951331525,3.2827375708334747
