,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8047.0,15364.0,10559.0,11243.0,9984.0,6418.0,3828.0,869.0,689.0
mean,0.03053539294537546,0.03144013766711408,0.03740372521322934,0.033980342202313774,0.02936681950134494,0.03188207700985622,0.025441617238814048,0.030266250432330277,0.030641502523309442
std,0.013904737895789282,0.0202319080122298,0.02035653270266998,0.019809453389360913,0.02348949503346534,0.016975262127162886,0.010972449204708934,0.014897838812107777,0.022575598315227763
min,0.0035541794049651,0.0029291036307896,0.0045874134399007,0.0024890568409977,0.0024375195469249,0.0023899686674747,0.0050060430070389,0.003178739895387,0.0036053685142204
1%,0.010187941445195152,0.007586856045636911,0.008609327035357932,0.0064323881375340725,0.004164700455579284,0.004573611391516169,0.007764730664196916,0.005680607604898652,0.00456048315434902
2.5%,0.0117203537081024,0.00871826761104309,0.01015277922169784,0.00894701582765747,0.00484369449445773,0.006390072793810552,0.008973097479302573,0.00783632661795923,0.0052441207781739
5%,0.0134500278747913,0.00993917623084929,0.01217498813926111,0.011315243205462322,0.00563240606191762,0.00857695794600888,0.010516751082686395,0.01057552880558342,0.00634994898277718
10%,0.01566928030032426,0.01175731708660486,0.01522977552271944,0.01428044578781324,0.00690217869674163,0.01213427876723039,0.01260550030900962,0.01388682883289898,0.0081964994255183
25%,0.020420458500674553,0.016604384999900676,0.0222523395115761,0.02038691335676015,0.010825228250942875,0.0194374427233519,0.0170456064128765,0.0200709886840802,0.0148592890064047
50%,0.0277718280641145,0.0263902264092087,0.0334926658545222,0.0293129547728642,0.02231846203879885,0.0295890592564192,0.0238111068791306,0.027730908644595,0.0258232839219528
75%,0.0377342341905018,0.041478186530322106,0.0488102842591197,0.04254494142250445,0.04182851670948905,0.04182654648658718,0.031982118211927875,0.037472128599314,0.0388933764702044
90%,0.04878418691441738,0.05786650878556227,0.06476364860119259,0.05953925610595913,0.06226270422684133,0.05447758044473363,0.04095810990323492,0.04901570788818964,0.0590646790841691
95%,0.05687527490811738,0.06912890089631053,0.07510341555774563,0.07278461902374876,0.07537089998055196,0.06193118275707097,0.045715712514042266,0.058083205126590945,0.0716339384296747
97.5%,0.06330601967263116,0.08030152278552354,0.08505256111092052,0.08585751984545943,0.08804036005757325,0.07092824859712327,0.05089906017889133,0.06541482417527734,0.08674271669751174
99%,0.07365570618183749,0.09620073267322664,0.09984862215181292,0.10191933234328136,0.10429310208000192,0.08281346540735603,0.05559345359470805,0.0744450668760776,0.11425446886541499
max,0.1599139197657542,0.6708734857930673,0.2952029449791961,0.188625441618745,0.2121859834213506,0.1224853237992728,0.0807150606934428,0.1498702965252505,0.1833760392211772
