,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8881.0,17467.0,11983.0,12648.0,10985.0,7200.0,5082.0,970.0,791.0
mean,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
std,0.22531159411016113,0.23647546217181808,0.2891287727771527,0.2304578659272082,0.25886640008920453,0.24693487918716156,0.24168802342360865,0.22819783924432194,0.2636281252865501
min,0.31599398294065206,0.2880900498751493,0.25752144781063807,0.2862110581550553,0.3067014942384915,0.18381802052566878,0.3953008092944873,0.5007012941902526,0.40063306521439257
1%,0.5806706217062614,0.562965167741308,0.5343346035173752,0.5780434362439739,0.5378210597806897,0.5543261863238841,0.5849612374751747,0.5944077589277441,0.5331222507868514
2.5%,0.6363766625524365,0.6229417100026802,0.6085310940113102,0.6345830756513887,0.6031038800967531,0.6139345544211021,0.6426632643450577,0.6529733618431975,0.6399472171791398
5%,0.6893656382375266,0.6708737891266595,0.6633681819631989,0.6862490087718186,0.6570278534372967,0.6608451390409041,0.6874017253061658,0.7004499603650727,0.7015931549024252
10%,0.7451190398439631,0.7321832219555774,0.7213435749116425,0.7437952086093902,0.7199093952582244,0.718872643581065,0.7443633162593157,0.7611369560679051,0.7362744047072914
25%,0.8462166225926522,0.8410641816654199,0.8339424549668553,0.8422791115837293,0.8256809625553116,0.8288775729317504,0.8441949910289839,0.8536891070224859,0.8256545053018711
50%,0.9725783446693327,0.9696763360372348,0.9707492093820168,0.9733811721449198,0.9670163497124227,0.9712910243297846,0.9631913563720502,0.9709605773331282,0.9415909260294426
75%,1.1226483596508647,1.1267505555216648,1.1313889942889555,1.1221825349406527,1.1329077289901317,1.1298544726194804,1.1107125135274447,1.1121798719530038,1.115979107981478
90%,1.2851627940054866,1.300503142934005,1.3066065661709632,1.2871292315511589,1.3214246881793932,1.3221370334241729,1.293401994938934,1.265517122109121,1.3316022371173384
95%,1.400554931498301,1.4255475646097433,1.4291913928868207,1.4066732465323197,1.459019128744642,1.4556277371972348,1.4253316572851378,1.3905658496361428,1.470982357695481
97.5%,1.5249837368514514,1.5505108300744201,1.5540267044317344,1.5337358710636961,1.6009911644818597,1.5830986633162931,1.5813843589690757,1.540654558961551,1.6533024449200353
99%,1.6764597422786858,1.7205695149250397,1.6980402384315294,1.6939288346093508,1.7824661507192756,1.7299751825422502,1.8231490675178195,1.7498644611023901,1.872641251615904
max,2.7481175738198633,3.9029045113139587,16.111715076866698,3.9090314813010925,6.1188828746911375,2.7736813488184513,3.4077182980424405,2.744726668364087,2.6683854363824993
