,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8880.0,17465.0,11980.0,12642.0,10977.0,7197.0,5080.0,969.0,791.0
mean,0.009428606220519808,0.011241219034602361,0.013327541588326799,0.012526186167376567,0.013012415946260953,0.011354716994344614,0.008308031562711655,0.012860033929619603,0.011443687168918307
std,0.0038255608746893886,0.003831081355122907,0.005008174776637024,0.004304797588016396,0.005655284955533579,0.005398427421001157,0.006263534920069624,0.0054800296681631775,0.00658384602835126
min,0.0025160911041846,0.0029368533532423,0.0031286618449553,0.0034709058582153,0.0027343598154817,0.003311131616404,0.002905037013593,0.0034396142124525,0.0031568965778922
1%,0.003962633961641563,0.00429499347929776,0.005672766770783231,0.005296755435173374,0.005447432625371,0.004501999196107041,0.003714013578657574,0.004455031540164204,0.00473709472538287
2.5%,0.004355782259256385,0.00527862495804988,0.0064551633321558504,0.00584208510967422,0.00606794811739904,0.00495048201660068,0.003922651485024083,0.00496140273297544,0.00518482486051485
5%,0.00481820107301683,0.00613950096962488,0.0072116234175373705,0.00638404731384078,0.00671198836504884,0.0054518076746733,0.00413416252568523,0.00524456438762746,0.00550442597769555
10%,0.00546154705638345,0.00708880126743102,0.008169642954134741,0.00712943311800029,0.00754414290512154,0.00606602224464378,0.00443571194568961,0.00599446739437204,0.0059374603309407
25%,0.00667579696403345,0.0086435579647501,0.010091623088616601,0.00927727247446865,0.0092273077531873,0.0074925251839539,0.004987651227917375,0.0079464377695208,0.0068080185671813
50%,0.00848356817828175,0.0106397870144178,0.0126787614392789,0.012198087252010499,0.0116955427149353,0.0100308045475867,0.00604530648472155,0.0128212174973819,0.0087320091371479
75%,0.011460136194591651,0.013179008244303,0.015858544009608674,0.01523468849524405,0.0153265300333005,0.0135753854946651,0.00821184022971485,0.0159368313631883,0.01510608031562685
90%,0.014795350063306453,0.01623248903516638,0.0191313463106011,0.018015372411381268,0.020210567395627838,0.01879013355813384,0.016668934432843223,0.019787279061052744,0.0218074685462135
95%,0.016900621611526605,0.018474970413158417,0.02149496053449472,0.020088801607655818,0.023932251491914414,0.022426752662765937,0.02378639738296436,0.02280935653215608,0.02462112283852365
97.5%,0.01878806238740052,0.020455142939181235,0.023739608240207957,0.02185666089215336,0.02742650149341035,0.025635153259901712,0.027995862006823642,0.025160828382962692,0.026700849693886926
99%,0.020965749279330766,0.023254126753066293,0.02649090488999028,0.024352276551611665,0.032738501799581016,0.029558931366038963,0.032665932765871694,0.02966658438731238,0.03195077311185629
max,0.0501381016876028,0.0591439744702589,0.253091897039486,0.0612766809381788,0.0915918972962177,0.0538628416050355,0.0489732568476905,0.0380582184372993,0.0477143957493294
