,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,327.953792902255,216.4254530377121,0.0,109.23464721088844,124.40009003860496,133.63778871041353,147.58140418937148,185.4101448549445,259.28345885481025,393.37909723542805,605.0257083600409,772.3765298551067,915.6019273094872,1131.3709017660833,1626.5115916966436
1,P6-12,5,3278.0,303.121039984094,171.52686658579782,0.0,109.0035690308821,119.24455920353527,137.82108986790163,156.5825319740019,196.99185000611047,260.98154030273076,349.52278939398764,491.1679187534004,631.3985866587952,785.2064383388705,989.8327044242851,1646.0080023734674
2,P6-12,2,1495.0,463.640468081164,240.9003358418256,87.43987566925564,148.47583511095715,163.97871195347295,191.3329408278857,222.21829058278155,298.219877515351,408.9456043428499,561.9915755483374,779.0712782429712,947.69609417976,1098.1054718191738,1327.0889542994948,1896.9557004345504
3,P6-12,1,3068.0,381.00371253049997,230.88548048547406,0.0,98.59654890626156,129.92937195234714,153.83952287402678,174.71626012612955,226.2864976881974,318.56733354167756,459.3936514771117,662.2255164941332,854.7950245158461,1023.0589092979667,1237.3706388528417,2065.250217904096
4,P13-15,1,1896.0,324.2416144611653,179.09072588594,0.0,119.28442067213051,133.2847969708326,151.8076012003618,173.44311649219844,218.7529953762152,284.0085034495714,378.77622247937575,498.64336611440694,620.5070587110503,762.1024215199587,970.4499915005075,2115.1606401958934
5,P13-15,4,1611.0,376.8650764654906,262.8388474724142,0.0,11.13694494849585,123.73846426441821,133.2433449325926,154.77894690824877,202.0105425429714,296.8225243840253,454.78226188757833,736.5547126251711,929.5322608029562,1139.1382766792321,1375.6103459063029,1844.1660194583944
6,P13-15,3,1435.0,376.7124515516104,258.3950257282948,0.0,0.0,116.53985661146288,130.77468390404093,154.12856000022592,214.26037208694373,298.5586035637696,462.78278952295364,698.764342572647,863.4440509862688,1087.7154405751576,1242.6699012481902,2109.943192037716
7,P13-15,2,3831.0,410.57653767115005,201.5293026013619,103.16416628546132,143.55075469814494,157.0668776499499,177.52947231031567,206.1868846321247,270.95719481114963,368.1688766987166,498.9396144928433,666.4746110896392,798.6062228703867,938.6126536790856,1106.4708242000677,1886.8790305869588
8,P13-15,5,2311.0,291.4292565751363,197.68763498313723,0.0,7.832425668053539,107.28395206031774,115.12121682916674,137.62683887926548,173.56844254138124,235.0415502617536,339.1709139846671,497.30283513317545,674.5673266331246,871.7039216696029,1124.942560802787,1901.6511807536467
9,P13-15,6,5969.0,323.65191685029345,182.97832631046506,0.0,113.64110032417175,127.70384933898411,140.66848535268497,160.08025107577436,204.35023590938167,276.0115298895204,384.4827423514061,536.7751744647911,678.5268668619419,835.199361248531,1027.253662875439,2171.3376545651686
10,P13-15,7,1713.0,393.31323368782046,225.4995577810314,0.0,118.44310529369226,141.09466426257927,159.7213982096091,184.59293092587805,249.2723709498999,329.0834081105548,469.41875237643904,666.5214299759832,842.7945347246851,1022.9187624132777,1241.6001787836085,1811.7938196784264
11,P16-18,2,1920.0,420.22598288634265,185.14672811902267,104.63674709652044,148.30015021178883,165.374807211611,188.46569802124878,221.30440875768664,283.8444282436766,389.8020795672991,509.9416137822897,648.2929051586437,772.4569999092711,889.6135423660702,1013.5306875960272,1560.693277024582
12,P16-18,3,5523.0,339.51091560835914,197.48685338606856,0.0,115.99956260370462,133.626872740189,150.24466150741858,171.6167245464951,219.21862857904944,287.4871109867291,391.8837664310885,560.481465969515,729.6441029975819,893.9419651721493,1111.576548640536,2066.245676703437
13,P16-18,4,1455.0,382.65996091098793,280.5069412301353,0.0,0.0,116.5751503974049,133.109650047919,148.61857738814592,199.90304894590676,296.3661955351171,459.56722351280564,726.6837154423498,986.6108574988008,1191.3086065598907,1476.2633962196667,1882.9460935091035
14,P16-18,6,1764.0,378.7103949447018,247.4115300431783,0.0,112.8606597385848,129.41784468523832,144.13182694216647,169.35495262035008,216.08001532556335,303.96115987112603,455.0606031093075,697.3821927617746,908.8833140406595,1073.656770389638,1322.2675984431166,1816.7826683661665
15,P16-18,1,1312.0,423.7238268953936,269.29481586651093,0.0,0.0,128.7510648515409,157.12167537400614,176.26811979385496,248.5061035546672,350.3219177910995,516.5891381628929,777.0858899205614,947.326502596185,1160.9834513567173,1412.9202249216282,2001.642853210258
16,P19-21,7,3799.0,403.4050422352933,197.34859429519963,0.0,140.63111577092664,163.61263161051087,185.00053836159898,214.31912150070607,269.19552280660974,353.8468606451567,484.88586330541614,645.5525145620242,780.5494058988372,907.0286105357945,1144.2721428089117,1779.005890736673
17,P19-21,5,2606.0,389.4216780556486,287.3882591414101,0.0,0.0,111.51967143822742,131.57421069887678,155.55662165736805,202.749320876827,299.1208621239077,473.3576766763096,745.8218756468764,956.3130934367784,1257.7030247795803,1528.842129008607,2117.81335789485
18,P19-21,3,3587.0,301.5099174503358,142.85787301059014,80.33812847426898,119.82630135616024,132.26481817787902,144.69964849110323,163.237502126395,204.24601573938776,269.574489830801,358.78975363313486,477.7429466710492,565.6654821086465,670.1895188282921,810.4254724689398,1612.9894786269151
19,P19-21,2,1342.0,490.6500713198906,257.24994652283834,0.0,149.52060142315125,172.2014147653645,191.22050072829776,229.52587445180316,304.9133526571945,438.4449703546177,613.7094475258262,829.0085220231912,991.2262411540713,1152.4017924733123,1312.5962218878287,1865.32637880316
20,P19-21,1,729.0,520.1821514086632,347.575816922227,0.0,0.0,0.0,110.84966526668738,185.18980406965088,270.15671871841346,446.67667282252665,672.6287190783995,1004.2834262550109,1191.582453030829,1388.913293299574,1609.5072204175005,1969.6937530609969
21,P19-21,4,1469.0,359.29973406995896,225.85209613162957,0.0,75.67825356236816,123.08451997243864,144.22904945462523,162.71449331022475,214.93041158300497,298.38600232803566,433.8929772357349,634.7408499879728,791.6256898928802,992.4074238998704,1200.4138640283586,1870.5777341848684
22,P22-24,7,1486.0,581.0207942528147,345.613820662175,0.0,0.0,117.2522415723944,188.95720282074126,239.18976214013415,348.34269111164247,496.9182142895679,722.6586494087353,1084.8397391368198,1272.67426488113,1435.1624806728207,1756.2679484801124,2011.887618063527
