,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13532.0,12562.0,8345.0,8941.0,1548.0,1115.0
mean,356.13494994203614,352.47307342698434,372.6986566511979,383.8576127546728,443.41175770845496,409.5810794684105,329.8089173179082,577.0757554669169,601.2477780584546
std,218.5933014228897,210.7074225198452,226.19480621302193,234.39784789439875,280.4125919078524,273.2338214203899,216.5104324210376,401.9618049870296,488.075216570606
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,109.37395970998682,109.05236280662298,112.36175565458599,111.2915493564238,90.69183949076296,0.0,99.79512710842734,0.0,0.0
2.5%,127.36479597991449,125.3149455585425,132.62603241024772,131.59900549064406,136.91805188419514,126.4689218749258,125.5948812352542,0.0,0.0
5%,142.6235506452254,141.4999322888831,149.51962505591663,149.46959075972674,158.89210110751912,149.58668881795097,142.03428005922896,0.0,0.0
10%,164.09348743292384,163.8003786967866,172.84711866680328,175.4475361302797,186.8126834318821,175.09535264466177,160.62106488038623,0.0,0.0
25%,210.073179993011,214.36307891703393,225.49805939452816,230.35363409209796,254.41880385199215,232.23827183409816,203.2705183420234,322.7153160524249,147.44181778951955
50%,294.1624549511553,297.42701530072424,311.2868581957558,321.39894816177207,369.09823137070487,328.48144650532544,267.9006066037512,530.187375052624,551.4591652892249
75%,429.0828744316591,424.46049670190985,443.98244231773367,465.3450258739079,544.514115724718,503.29500047122303,378.0789758926485,819.3122744020959,948.8387330459096
90%,629.8301901570564,604.233734375621,644.213414387822,664.1715641691784,793.3945448418967,756.4924526565715,571.5799411466904,1108.236451462443,1256.9475469031738
95%,795.4707856054799,758.2823567111586,825.1437065062894,834.8102485002338,1026.2453536201858,959.9664201748701,739.9728516740767,1326.4667262427631,1476.3117776780475
97.5%,964.5078792789463,929.9853866408857,987.7169453906148,1017.579823682867,1230.8892306081432,1197.785138360019,924.9208758803247,1501.9798095398455,1621.3324688692771
99%,1187.5898724298047,1152.7874660470877,1238.9819882708211,1294.4875191461256,1481.4580998303122,1462.0522653600033,1229.647178161722,1635.4938884952082,1828.115357378183
max,2065.250217904096,2171.3376545651686,2066.245676703437,2117.81335789485,2136.1755589605427,2370.705494307024,2096.499747032485,1981.7664201575783,2273.89759017587
