,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1797.0,1.0272676683361157,0.8808984721181774,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
1,P6-12,5.0,1653.0,1.3357531760435573,0.9377272080754763,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
2,P6-12,2.0,1309.0,1.080977845683728,0.9159712465096044,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
3,P6-12,1.0,2483.0,1.1457913813934757,0.9170301010650042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
4,P13-15,1.0,1326.0,1.5128205128205128,0.9537540726813518,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
5,P13-15,4.0,1324.0,0.9969788519637462,0.8814832872179922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
6,P13-15,3.0,1150.0,1.1095652173913044,0.9065062104961789,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
7,P13-15,2.0,3224.0,1.2301488833746899,0.9438517885447147,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
8,P13-15,5.0,1325.0,1.2739622641509434,0.9478675773515336,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
9,P13-15,6.0,4357.0,1.2492540739040625,0.9090037932679014,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
10,P13-15,7.0,1088.0,1.271139705882353,0.8868941428235426,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
11,P16-18,2.0,1612.0,1.3200992555831266,0.9123025569300988,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
12,P16-18,3.0,4183.0,1.480755438680373,0.9482295936229402,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
13,P16-18,4.0,1147.0,1.037489102005231,0.8759875845890052,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
