,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7242.0,13794.0,9361.0,9705.0,8565.0,5565.0,3283.0,701.0,548.0
mean,1.148025407346037,1.23836450630709,1.292917423352206,1.28397733127254,1.1371862230005838,1.1949685534591195,1.466950959488273,0.8873038516405135,0.593065693430657
std,0.9194394907332835,0.9285446329875757,0.9367166485186396,0.9411451380960091,0.9234987051828215,0.9331982297062212,0.9900732433256868,0.8734962623843502,0.7208739993341219
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
50%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75%,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
90%,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
95%,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
97.5%,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
99%,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
