,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1986.0,16.250284460710255,16.028745210426237,0.0,0.0,0.0,0.0,0.0,0.0,13.189375801811185,27.500344818526937,39.71302746416847,46.87751892652242,52.45537301305164,57.11976205031214,65.06849315068493
1,P6-12,5.0,1785.0,20.822846974751503,17.015426849138805,0.0,0.0,0.0,0.0,0.0,5.00544069640914,19.24762600438276,33.01023155627356,45.673100683671514,51.6927545211633,56.08982545764153,59.733224413583855,65.48463356973996
2,P6-12,2.0,1437.0,14.803966541172823,15.489738663283743,0.0,0.0,0.0,0.0,0.0,0.0,10.933660933660931,24.548192771084334,38.77542118107546,45.869910108741706,52.054575269528534,56.8777394034537,65.05376344086021
3,P6-12,1.0,2839.0,18.04698053697038,16.84294419919339,0.0,0.0,0.0,0.0,0.0,0.0,15.112826603325416,29.660967257716486,43.08476272602577,49.80864782747749,55.79451587808012,61.091063725964084,65.6910569105691
4,P13-15,1.0,1536.0,25.104042303226933,18.17473790049991,0.0,0.0,0.0,0.0,0.0,9.73625491065171,24.250198362726366,38.87550090079188,50.636968516715356,56.79118196797914,60.38032439922554,63.506131005897764,65.50976138828634
5,P13-15,4.0,1468.0,15.945730165425001,16.262724940015453,0.0,0.0,0.0,0.0,0.0,0.0,12.235731366504364,27.217563733462008,39.024122033260404,48.38764856523737,54.589558456910034,59.53946032820159,65.43062200956938
6,P13-15,3.0,1293.0,17.572604508997205,16.943618003613523,0.0,0.0,0.0,0.0,0.0,0.0,14.209591474245116,29.294117647058822,42.11632408516914,49.52657627177457,56.13407197198406,61.57932045265573,65.45768566493955
7,P13-15,2.0,3506.0,18.754973260851667,17.37804578936484,0.0,0.0,0.0,0.0,0.0,0.48644903072353235,15.331656216306392,31.22708338120452,44.725224760219035,51.811608250620345,57.74617661797732,61.729443836510576,65.7213316892725
8,P13-15,5.0,1447.0,19.729198179961486,17.301699446961393,0.0,0.0,0.0,0.0,0.0,2.872985170857511,17.338709677419356,32.080479452054796,45.36655274094857,52.304622825783646,56.233419048422,60.449387827527055,65.6842105263158
9,P13-15,6.0,4876.0,19.797694581142284,16.85694697365107,0.0,0.0,0.0,0.0,0.0,3.6895393432546384,17.885853695559256,31.744531560288905,43.965787550845455,51.094430894778824,56.636354197701394,61.27645250788815,65.53524804177546
10,P13-15,7.0,1238.0,17.88951560895096,16.004594128155986,0.0,0.0,0.0,0.0,0.0,3.3818864422970654,15.324322070692695,29.051470214818956,40.07633005468539,48.841157519118205,55.11306204850716,60.60847150356911,65.0103519668737
11,P16-18,2.0,1761.0,20.375550796047527,17.119343959984853,0.0,0.0,0.0,0.0,0.0,4.901960784313726,18.163024217365624,32.86749482401656,46.57320872274144,52.3841059602649,57.03188879803761,61.210962884955734,65.65096952908587
12,P16-18,3.0,4660.0,23.829419320561,17.97392275103713,0.0,0.0,0.0,0.0,0.0,8.29724956750968,22.76084440684737,37.20001267552075,49.629061303167894,55.2189362117808,59.56907475739628,63.10498073322087,65.703125
13,P16-18,4.0,1315.0,16.92109385594237,16.650563481549334,0.0,0.0,0.0,0.0,0.0,0.0,13.9218009478673,27.944840660828742,41.33683494190444,48.95061728395062,55.29684688314129,60.329874213836455,65.21739130434783
14,P16-18,6.0,1608.0,17.904888866927095,16.462072706938788,0.0,0.0,0.0,0.0,0.0,0.0,15.179383929383928,29.315232774404848,42.23496717056039,49.11984591643596,54.26104234527687,58.9879640962873,65.69478908188586
15,P16-18,1.0,1215.0,15.925889875466153,16.5664233322235,0.0,0.0,0.0,0.0,0.0,0.0,11.475409836065571,27.37205247602645,41.16786339400734,48.94549798868826,52.92759584044699,59.81195950275526,65.09433962264151
16,P19-21,7.0,2959.0,20.541472737807457,16.912341735276673,0.0,0.0,0.0,0.0,0.0,5.838186774161558,18.56492027334852,32.030935150952324,44.89291356843648,52.54626286333272,57.79568522142824,62.46145141451417,65.69548872180451
17,P19-21,5.0,2022.0,17.154703442807932,16.841915092696176,0.0,0.0,0.0,0.0,0.0,0.0,13.503658317385465,29.478558706672146,41.60063391442155,48.043006895743964,54.974385245901594,60.91954022988506,65.7949790794979
18,P19-21,3.0,2967.0,26.141591587754977,17.709218679664332,0.0,0.0,0.0,0.0,0.0,11.498011988121828,25.034965034965037,39.680720372209734,51.116217768916236,56.18129558196151,59.79183763669786,63.20617026754993,65.75471698113208
19,P19-21,2.0,1270.0,15.0215876477178,15.520630218611645,0.0,0.0,0.0,0.0,0.0,0.0,11.215078165622677,23.878331596761967,38.99482116357249,45.89802984574111,51.23236536065333,58.858663453236005,65.60052219321149
20,P19-21,1.0,696.0,11.780461900068484,14.321443678914015,0.0,0.0,0.0,0.0,0.0,0.0,5.543662188493489,20.42026820112615,32.29509245811144,40.807777464870796,48.2700742625807,53.84371970761282,62.92270531400966
21,P19-21,4.0,1329.0,18.521876639871234,16.82649348432209,0.0,0.0,0.0,0.0,0.0,0.0,15.517241379310343,30.622837370242216,42.99715889012962,49.47132805628847,55.57382244781945,60.603892263856785,65.28132992327366
22,P22-24,7.0,1195.0,14.394873196039804,15.713887375557599,0.0,0.0,0.0,0.0,0.0,0.0,9.71521803619104,23.792460681469215,37.03514327577096,47.045543529938186,53.74393952132727,59.092995529061106,65.46894031668697
23,P22-24,6.0,1978.0,17.977900580906137,17.036299013720075,0.0,0.0,0.0,0.0,0.0,0.0,14.981547427373577,29.174474347656314,42.618779381968196,51.43883765224799,56.784515948089044,61.534759358288774,65.6926406926407
24,P22-24,5.0,769.0,16.084631991548584,16.20297899471517,0.0,0.0,0.0,0.0,0.0,0.0,12.853524693963696,26.877470355731223,40.59832172926328,45.87293824745473,50.57405173436692,59.60737298488514,65.1356993736952
25,P22-24,2.0,739.0,11.234134462551445,13.037107631033019,0.0,0.0,0.0,0.0,0.0,0.0,7.100591715976331,17.66155758077879,31.501731238486542,37.61278616549439,44.05029613986057,50.455305427546534,64.74285714285715
26,P22-24,3.0,2257.0,22.225858067019853,17.004712906670484,0.0,0.0,0.0,0.0,0.0,8.255269320843091,20.52096569250317,33.67546432062561,46.69832402234637,53.34490641274642,59.42230931531098,62.92042932885038,65.80333625987709
27,P22-24,4.0,3046.0,15.997769380924183,16.44182447446731,0.0,0.0,0.0,0.0,0.0,0.0,12.045502478118738,27.283868092691623,41.2077398568367,48.44152673412365,52.72773478622783,58.97532036070242,65.52315608919382
28,P25-27,4.0,2165.0,17.217491996076486,16.257211068811905,0.0,0.0,0.0,0.0,0.0,0.0,14.412955465587045,28.17796610169492,40.688924218335984,47.745037037037015,53.866843384139614,58.66428239089303,65.49450549450549
29,P25-27,5.0,1986.0,21.98635512333787,17.43122518724334,0.0,0.0,0.0,0.0,0.0,6.728287675161062,20.266227682267377,34.81970187647856,47.49462973431317,53.158203852945306,58.31053274495044,61.973333243422665,65.61085972850678
30,P25-27,6.0,128.0,10.882288592749548,15.234816530431912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.467765190766677,33.975931186868685,43.951768362248686,47.37708256955477,56.5006596306069,65.20165460186142
31,P25-27,3.0,1117.0,21.47371915066864,17.580051978211284,0.0,0.0,0.0,0.0,0.0,5.650857719475278,19.38502673796792,34.28196147110333,47.478385007164746,53.9122896050072,58.66544732359428,62.92589838909537,65.70080862533693
32,P25-27,7.0,1022.0,13.167417271467498,15.311506011175192,0.0,0.0,0.0,0.0,0.0,0.0,7.846470025234678,22.386132447714633,36.222852822911975,45.37602103728531,51.47685559358029,58.41677371541499,63.11745334796927
33,P28-31,7.0,526.0,12.443938956343114,14.347330435492665,0.0,0.0,0.0,0.0,0.0,0.0,7.520613008534598,20.49583934692405,33.16049970003454,41.16466401216179,50.10515849222529,55.24411553185839,62.78158667972576
34,P28-31,5.0,1871.0,29.80927447676746,17.699936202021227,0.0,0.0,0.0,0.0,2.859444220700765,16.265976256630463,29.915878023133544,43.1664810878294,54.029990627928775,58.32320807528273,61.98356064204344,64.36728467382117,65.64516129032258
35,P28-31,6.0,1431.0,18.854311320260514,17.101510653267432,0.0,0.0,0.0,0.0,0.0,0.0,15.974114441416894,30.713840415332953,44.24860853432282,50.86550461768866,56.25838438756182,60.69905213270143,65.45584045584046
36,P32-35,6.0,23.0,1.232553957653808,4.307786652325727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.663646659116635,13.719560868285424,16.72130452352564,18.722466960352424
37,P32-35,7.0,566.0,14.631626905497614,15.145083637668403,0.0,0.0,0.0,0.0,0.0,0.0,11.275429750435713,24.27050153046771,37.42179273177079,43.776576204252194,50.0,56.9425557917878,60.76439283986454
38,P32-35,5.0,280.0,8.814038711968214,12.11574427529068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.356745074207598,27.438135525519925,32.43599068673426,39.61233574557227,47.62862591754124,55.81395348837209
39,Doxo,5.0,146.0,5.888180543433156,10.331691850288001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.472442009817424,23.828125,30.220462178715053,36.09460548241197,39.49928198975833,42.50700280112045
40,Doxo,7.0,176.0,4.781832741350679,8.625747393997896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.573494176372712,16.62840373996039,23.835761259717177,30.631700960728967,35.246127375942784,44.20152091254753
41,Doxo,6.0,367.0,11.010822371518325,15.04962139215283,0.0,0.0,0.0,0.0,0.0,0.0,0.6019261637239165,20.393037161329843,34.28420259838076,42.65218621145274,49.239642053171096,53.29889375364856,64.07766990291262
