,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7242.0,13794.0,9361.0,9705.0,8565.0,5565.0,3283.0,701.0,548.0
mean,17.760728003673773,19.50656728140109,20.748456774823943,20.126261474149416,17.517325162422747,18.799911311572167,23.272738033196468,12.864468589462657,8.617588657120033
std,16.583730823334726,17.17829414008524,17.572789386041674,17.357114087342346,16.71558511360788,16.967431426177185,18.227581777962172,14.656224721826515,12.823790506273435
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,2.6067627485049867,3.90625,3.745541022592152,0.0,0.0,7.147186147186147,0.0,0.0
50%,14.956709145427288,17.11795299048196,18.669527896995707,17.71771771771772,14.177215189873415,16.39511201629328,21.55555555555556,8.439490445859873,0.0
75%,29.197665352638136,31.675491460808285,33.54564755838641,32.566765578635014,28.808864265927976,30.41795665634675,36.99624657224605,21.806387225548903,13.871418757178585
90%,42.16031486437374,44.7169887838339,46.71610169491525,45.60962708278234,42.502318392581145,43.924695465684586,49.85430327341923,35.110410094637224,27.98093760046477
95%,49.09917182533042,51.63641582759229,53.223388305847074,52.45524178663714,49.91452966413893,51.22189108226439,55.367229237493916,42.82325029655991,37.77968717287211
97.5%,54.847555746140635,57.237959141334706,57.80730897009967,57.45658644816186,55.56378224549861,56.25485674954829,59.225528667974686,48.60747465603584,42.92842320977462
99%,59.423969513913775,61.52557609449427,62.23329479768783,62.41641025641019,60.67414017153253,60.873019201389916,63.376589868571976,54.18103448275862,48.89042594139436
max,65.6910569105691,65.7213316892725,65.703125,65.7949790794979,65.80333625987709,65.61085972850678,65.64516129032258,60.76439283986454,64.07766990291262
