,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1986.0,17200.978348439072,4993.583528535187,9360.0,9664.0,10368.0,11076.0,12016.0,13904.0,16376.0,19286.75,22870.0,26123.0,30110.0,35013.60000000001,50684.0
1,P6-12,5.0,1785.0,19509.423529411764,6339.766250934368,9360.0,10013.44,10768.0,11619.2,12812.0,15136.0,18500.0,22688.0,27095.2,30147.199999999997,34503.999999999985,38309.76000000005,86312.0
2,P6-12,2.0,1437.0,27635.810020876826,6440.407385984854,9408.0,13733.44,16677.2,18406.4,20601.6,23808.0,27248.0,30704.0,34417.600000000006,37789.8,42979.19999999998,52134.08000000012,63872.0
3,P6-12,1.0,2839.0,23636.091581542798,7270.716377162217,9600.0,11645.28,12799.2,14027.2,15756.8,18990.0,22748.0,26830.0,31942.40000000001,36147.59999999999,41536.0,49276.699999999946,84656.0
4,P13-15,1.0,1536.0,23052.418619791668,7588.669865201321,9456.0,11029.6,12464.0,14032.0,15624.0,18368.0,21730.5,25825.0,31714.0,36177.0,41677.375,51519.200000000004,76752.0
5,P13-15,4.0,1468.0,19029.882152588554,5826.914485998456,9360.0,10256.16,11113.5,11976.4,13130.8,15278.0,18144.0,21348.0,25537.599999999995,29451.05,33093.2,37733.119999999995,62848.0
6,P13-15,3.0,1293.0,19553.72699149265,7333.133938264268,9408.0,9947.68,10720.0,11486.4,12540.8,14920.0,18116.0,22288.0,27656.8,32843.59999999999,38665.200000000004,47207.03999999992,75744.0
7,P13-15,2.0,3506.0,28034.3981745579,7684.8912660639735,9680.0,13500.2,15268.0,17588.0,20164.0,23440.0,27072.0,31218.0,36426.0,41519.0,47254.375,54254.94999999999,92684.0
8,P13-15,5.0,1447.0,18123.729785763648,5634.934201934287,9376.0,9836.56,10354.4,11049.6,12080.0,14384.0,17276.0,20812.0,24252.800000000003,27266.4,31383.59999999995,37951.03999999999,61680.0
9,P13-15,6.0,4876.0,21284.60356849877,6803.623162640629,9360.0,10414.0,11388.0,12448.0,14064.0,16800.0,20336.0,24384.0,28904.0,33024.0,37557.5,45094.0,91108.0
10,P13-15,7.0,1238.0,23338.89983844911,8017.365547649691,9456.0,10363.84,11390.8,12915.8,14603.2,17764.0,22228.5,26939.75,33173.6,38749.45,42423.200000000004,49306.71999999999,72400.0
11,P16-18,2.0,1761.0,28036.620670073822,8313.63158048437,9680.0,13708.8,15472.0,17120.0,19404.0,22976.0,26916.0,31360.0,37232.0,43285.0,49025.0,58013.200000000026,82064.0
12,P16-18,3.0,4660.0,22295.559227467813,7461.176667346449,9392.0,10674.880000000001,11760.0,13087.6,14624.0,17520.0,21074.0,25421.0,30880.4,35440.8,40464.79999999999,48206.759999999995,95664.0
13,P16-18,4.0,1315.0,19097.555893536122,5938.125454785762,9376.0,10258.24,11069.6,11931.2,13084.8,15314.0,18248.0,21448.0,25278.4,29532.0,34994.399999999994,41047.999999999956,70881.0
14,P16-18,6.0,1608.0,21116.60509950249,8245.698027928853,9376.0,10097.12,10928.0,11805.800000000001,13089.6,15772.0,19302.0,24340.0,30724.8,36332.59999999999,42377.2,53807.68000000009,79960.0
15,P16-18,1.0,1215.0,25163.97037037037,9548.125116032536,9348.0,11096.96,11851.2,13300.0,15590.4,18654.0,23504.0,29152.5,36672.0,44159.6,49456.199999999924,58003.99999999994,76160.0
16,P19-21,7.0,2959.0,26536.897938492733,9258.316100783893,9344.0,11120.960000000001,12972.8,14876.8,17158.4,20704.0,25008.0,30474.0,36742.40000000001,43833.59999999999,50590.14999999997,59375.60000000003,97632.0
17,P19-21,5.0,2022.0,19412.24925816024,6670.219899030466,9376.0,10055.12,10633.2,11376.4,12678.800000000001,15146.0,18316.5,22048.0,26956.0,30471.6,36649.399999999994,44144.0,90204.0
18,P19-21,3.0,2967.0,21243.990562858107,7249.211129396239,9408.0,10468.48,11509.8,12761.6,14153.6,16664.0,20064.0,24016.0,29008.0,33759.99999999997,39301.34999999999,47173.36000000003,94304.0
19,P19-21,2.0,1270.0,30621.018897637794,10869.499181648043,9952.0,11310.76,13886.0,16057.4,18971.6,23837.0,28826.0,35104.0,43491.200000000004,50264.999999999985,60357.999999999985,68285.11999999998,87832.0
20,P19-21,1.0,696.0,26339.616379310344,11432.13633229806,9404.0,10141.4,11169.0,13144.0,14760.0,18967.0,24096.0,30285.0,41600.0,49046.0,56358.0,71074.3999999999,85132.0
21,P19-21,4.0,1329.0,20552.540255831453,8050.648846956389,9408.0,9968.32,11158.4,12019.2,13390.4,15648.0,19008.0,23040.0,28579.2,34431.99999999999,42883.19999999996,53052.40000000002,81392.0
22,P22-24,7.0,1195.0,29196.853556485356,12004.020576783829,9396.0,11544.32,12907.2,15493.6,17697.6,21416.0,26152.0,34496.0,44194.200000000004,51707.59999999998,60172.599999999904,74335.19999999995,97140.0
23,P22-24,6.0,1978.0,24528.420626895855,10991.64506409262,9416.0,10456.64,11602.0,12764.4,14411.2,17812.0,21936.0,27644.0,36961.59999999999,45212.6,55566.80000000002,68865.12,93852.0
24,P22-24,5.0,769.0,27910.99089726918,14399.168328528645,9520.0,10576.96,11830.4,13024.0,14851.2,18784.0,23888.0,33104.0,44557.000000000015,57955.2,68868.0,84826.87999999982,96312.0
25,P22-24,2.0,739.0,30696.738836265224,11726.886611647304,9360.0,10781.92,12637.6,14662.0,17334.4,22264.0,29432.0,36640.0,44803.4,53260.0,60072.799999999974,68712.78,87664.0
26,P22-24,3.0,2257.0,24365.31103234382,8351.633582285265,9360.0,10815.92,12390.4,14140.0,16043.2,19328.0,23104.0,27600.0,33513.600000000006,39075.19999999998,46220.79999999998,56185.76000000001,89104.0
27,P22-24,4.0,3046.0,20328.134931057124,8309.534987563266,9360.0,9911.2,10672.0,11460.0,12726.0,15072.0,18550.0,23203.75,29200.0,34422.0,41301.0,52948.0000000001,95528.0
28,P25-27,4.0,2165.0,19388.970900692842,6758.315989329719,9344.0,9850.24,10496.4,11331.2,12448.0,14896.0,18144.0,22149.0,27416.000000000004,31431.99999999999,35915.200000000004,44817.280000000006,68884.0
29,P25-27,5.0,1986.0,21520.59164149043,7968.958251049057,9376.0,10575.8,11258.0,12624.0,13906.0,16584.0,20092.0,24092.0,29984.0,35713.0,42797.5,51983.60000000002,89600.0
30,P25-27,6.0,128.0,28682.859375,15665.103866410309,9632.0,10154.4,11554.8,12212.0,13547.2,17142.0,25328.0,34896.0,48987.2,61041.799999999996,72536.40000000002,80437.68000000002,90301.0
31,P25-27,3.0,1117.0,25718.406445837063,12144.95844616302,10064.0,11139.52,12390.800000000001,13980.8,15219.2,18332.0,22400.0,29036.0,40476.0,48489.60000000001,62920.39999999998,75250.75999999978,96648.0
32,P25-27,7.0,1022.0,29440.14285714286,12350.902923019516,9408.0,10676.16,12154.800000000001,14070.400000000001,16656.0,20968.0,26680.0,35672.0,44518.399999999994,51807.6,60888.3,71972.31999999999,97848.0
33,P28-31,7.0,526.0,28889.290874524715,12218.950895227985,9520.0,10776.0,12084.0,13896.0,16872.0,21643.0,26568.0,32244.0,43568.0,52787.0,61704.0,71215.0,94396.0
34,P28-31,5.0,1871.0,23628.161411010155,8462.95868142172,9348.0,10916.4,11721.0,13448.0,15204.0,18208.0,22064.0,27090.0,33648.0,38964.0,43934.0,51465.59999999999,87888.0
35,P28-31,6.0,1431.0,25711.12928022362,10714.112641812982,9344.0,10344.0,11440.0,13080.0,14944.0,18764.0,23328.0,30384.0,38688.0,45608.0,54073.75,63291.200000000026,90568.0
36,P32-35,6.0,23.0,34031.913043478264,16253.856585474901,9792.0,10531.2,11640.0,13236.4,14221.6,18174.0,31744.0,45262.5,54729.600000000006,55819.2,61768.79999999999,66093.12000000001,68976.0
37,P32-35,7.0,566.0,37767.85159010601,16527.402454499006,9504.0,13534.4,15234.0,18602.0,21856.0,25752.0,32720.0,45616.0,61880.0,71898.0,80153.5,90213.80000000013,98324.0
38,P32-35,5.0,280.0,35800.1,18279.09112322162,10096.0,11955.4,12320.0,14392.8,16107.2,21284.0,32750.0,45032.0,61132.799999999996,71505.20000000001,80935.59999999993,93881.07999999996,96517.0
39,Doxo,5.0,146.0,33797.57534246575,17716.993123040676,9552.0,9674.4,11264.0,12590.0,14456.0,20294.0,30500.0,42934.0,56814.5,70134.0,79178.5,86137.15000000001,92633.0
40,Doxo,7.0,176.0,48851.52840909091,21026.291705638847,11552.0,12874.0,15196.0,17642.0,20824.0,32203.0,46344.0,66714.0,78390.0,81992.0,90870.5,94762.25,97125.0
41,Doxo,6.0,367.0,37725.56403269755,20283.48809799328,9824.0,10546.0,11846.4,13401.2,15814.4,21848.0,31920.0,51174.5,69284.00000000001,78061.5,83949.99999999999,93127.43999999996,95832.0
