,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8880.0,17465.0,11980.0,12642.0,10977.0,7197.0,5080.0,969.0,791.0
mean,21354.972747747746,22082.056742055538,22780.22754590985,23332.685730105997,24218.627676049924,22689.917326663886,24982.52677165354,38257.27244582043,42118.91529709229
std,7806.265956450398,8262.545979743927,8845.747906075572,10097.361041508002,11798.33682001816,11165.385423588525,10593.408591989722,21257.63908643202,26507.91551682717
min,224.0,16.0,112.0,16.0,64.0,64.0,240.0,64.0,208.0
1%,7808.0,8032.0,8237.48,8166.5599999999995,7897.12,7727.360000000001,8448.0,7959.04,7379.2
2.5%,9339.7,9671.2,10061.9,9936.400000000001,9510.400000000001,9303.2,10574.800000000001,10198.400000000001,9920.0
5%,10863.2,11299.2,11840.0,11536.800000000001,11296.0,10992.0,12351.2,14217.6,12558.0
10%,12784.0,13312.0,13872.0,13632.0,13376.0,12832.0,14649.2,17673.600000000002,15568.0
25%,15855.0,16672.0,17167.0,17008.0,17184.0,16128.0,18432.0,24336.0,22296.0
50%,20512.0,21016.0,21420.0,21424.0,21872.0,20268.0,23006.0,32928.0,35940.0
75%,25632.0,26124.0,26586.0,27263.25,27888.0,25808.0,29143.0,46604.0,54958.0
90%,30720.0,31648.0,32806.100000000006,34606.399999999994,37137.599999999984,35015.80000000006,37184.8,65590.40000000001,77864.0
95%,34177.39999999998,35975.999999999985,37840.79999999999,41360.0,44927.19999999996,43180.8,43985.600000000006,78199.79999999996,86220.5
97.5%,38208.399999999994,40928.0,44608.0,49119.30000000001,54776.0,51778.39999999999,51187.19999999995,96191.99999999999,98385.75
99%,45170.51999999999,49556.16000000003,54233.23999999996,60632.12000000001,68915.19999999998,67184.0,63389.44,109166.07999999989,125767.70000000004
max,113848.0,177989.0,108564.0,129444.0,168208.0,160544.0,128144.0,183416.0,275989.0
