,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7501.0,14212.0,9677.0,10142.0,8828.0,5701.0,3363.0,757.0,574.0
mean,0.7632823189200806,0.7697500591873018,0.7680464137195958,0.7499757836726316,0.752347057286143,0.7437942172687777,0.7608314180799419,0.7537639717064978,0.7722451364633773
std,0.11262289729372449,0.1056258439641392,0.1026035985130733,0.10808869317164065,0.1102969989636462,0.11011441912024333,0.11158760323691548,0.12409989231619423,0.11541338970362035
min,0.137218110737806,0.1608179521530927,0.15900726015437,0.1024323012029462,0.1395582216914984,0.1370559859177756,0.0782793211816259,0.1911031908488082,0.3078796752022327
1%,0.3942807399969767,0.4035050565121786,0.42408361481043194,0.392401685211368,0.39592384158036414,0.3914393214552997,0.38914296227411704,0.379239382574284,0.4038962195862034
2.5%,0.467585600011575,0.4955194456430529,0.5074650359438959,0.4755935986089411,0.4772779466856385,0.46199517190042433,0.48011137064541914,0.4571803321173002,0.4550382056188359
5%,0.5429926692657943,0.5640648017273481,0.5701583831088555,0.5447694836729396,0.5415932153734232,0.5298549452243555,0.537860748956353,0.5245217768096256,0.5344119899233527
10%,0.6150441105240845,0.6352523691867226,0.6355935061155218,0.6112654390773591,0.6085810763741264,0.5989665534609039,0.614231018869427,0.5829571757447589,0.6178935898536333
25%,0.7118817494136271,0.722495247866088,0.719440061896835,0.697285257974136,0.696310075061916,0.688600375962051,0.7099125397053103,0.69381353636866,0.7228618595671725
50%,0.7870759866622015,0.7910704516906348,0.7878914838004009,0.7691190581120858,0.7729751558087925,0.7644633701554998,0.7824184629068777,0.7681034220434668,0.7933886298071396
75%,0.8431292435926612,0.8420120021547843,0.839546885038134,0.8249438796677895,0.830623469592011,0.8211643613043859,0.8392202753071508,0.839009148145586,0.8518176126440032
90%,0.8812438932054684,0.8780885908245087,0.8764262985997019,0.8657193604270597,0.8701344645052124,0.8627755593008304,0.8779464002008998,0.898349098125632,0.9000213442676476
95%,0.8976501648937271,0.8984077234397136,0.8950644924776093,0.8881212060908524,0.891627728793416,0.8812570021555274,0.897991875305001,0.9294542254766066,0.9201171070240075
97.5%,0.9123000343248139,0.9133457430983097,0.9083388074844929,0.9050470899019096,0.9086458825228817,0.8968454581143104,0.9146015520052456,0.9397550386743339,0.9288149877969125
99%,0.9283808254186048,0.9282678125089584,0.9220905931943265,0.9223914354506104,0.923741199800751,0.9150522200629208,0.9318816790982776,0.9555685468998081,0.950011067320888
max,0.9553868385316604,0.9704662874587168,0.9609168627370748,0.9564150352845184,0.9654391959489794,0.975224454038114,0.9790912485857044,0.9774277079521488,0.967509871592082
