,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1986.0,1.0028579947432699,0.24782618962052314,0.17175830045944324,0.48906824051061787,0.5515606720154932,0.6184066688167944,0.686433431634442,0.8255110966596829,0.9976674056768702,1.1615835079363097,1.3277950694335132,1.4279515861842396,1.519871585928442,1.6076792765653418,1.9196031332227612
1,P6-12,5.0,1785.0,0.989350867755545,0.24386226949463988,0.296705767236075,0.5136993487801551,0.5702189084043551,0.6173881988728986,0.6954201120307788,0.8165262133822073,0.9722222634951486,1.1475531627691056,1.29992344425025,1.4009804666538337,1.4966473002326872,1.6253385108744263,2.252408283875017
2,P6-12,2.0,1437.0,0.9998361126103129,0.2466740290711352,0.36735571072773626,0.5220986779002736,0.5890637441607678,0.6525203000617114,0.7156743231021496,0.8340974476141751,0.9743281518710473,1.135422166445611,1.310177341115011,1.4433006136593016,1.5666075087977827,1.7548946905453204,2.1175382585992644
3,P6-12,1.0,2839.0,1.000500936472037,0.2564677014096486,0.029461896297057543,0.48124050834854565,0.553940219278374,0.6249188035797393,0.6939742955108242,0.8185292911378592,0.9778184281845872,1.1593572813339115,1.3487209846915154,1.4611373319525578,1.5409421525399403,1.6824881323542633,1.9501067612560663
4,P13-15,1.0,1536.0,0.9996491083171163,0.2652404753445219,0.08197799578670656,0.5077034296844042,0.5768984511555824,0.622702210601554,0.6887449977472935,0.803199047196879,0.9732357158198612,1.1629749295288159,1.346603559659382,1.4954910893443507,1.582823636919129,1.7035265600311102,2.044675552231933
5,P13-15,4.0,1468.0,0.998067036229037,0.25591725069157056,0.09441552274863657,0.4979000501133313,0.5728374674154562,0.6278196556161445,0.7002289837315466,0.8137405246069171,0.9714385747433574,1.1635609070361588,1.3416999130894494,1.4409666621381787,1.5390049854544203,1.6712481623053268,2.085085001975573
6,P13-15,3.0,1293.0,0.9925084651617484,0.24346820311705653,0.09047781347032287,0.4762723015235094,0.5619700977824611,0.6127574830760587,0.6887019046162033,0.8205667461501751,0.9767646502429695,1.1473458331857136,1.3197088765909468,1.4231905001143108,1.4886660612358416,1.598851062040584,1.8956164220138148
7,P13-15,2.0,3506.0,0.9952541643396895,0.2511979388144542,0.2746336929764734,0.5316961792804576,0.5851900997353014,0.6429552905909283,0.7073193018968473,0.8231990162857773,0.968768898836935,1.132869775840881,1.3224066925118332,1.454032526607219,1.5582489891027498,1.7599685402886964,2.628385868504935
8,P13-15,5.0,1447.0,0.9848070389523998,0.24591547811097692,0.42926870035209036,0.5018384713174739,0.5467736636144046,0.6062949087986418,0.6830156000929488,0.8055701178807476,0.9678780920851084,1.1488901445483304,1.3168497349459598,1.4155258049775052,1.4885546850152316,1.5961431217731497,1.93124391909194
9,P13-15,6.0,4876.0,0.9934506616584002,0.2742942735283251,0.2633829313788391,0.47125252330102,0.5396210535582026,0.591104309939612,0.6618171656500952,0.790772303794376,0.9641507202256206,1.1697762024148302,1.3783274407299964,1.4818344287547274,1.5863360745688417,1.71270297696214,2.205082613982173
10,P13-15,7.0,1238.0,0.9904390004956529,0.2501682110509689,0.25704415064186314,0.4414330577598926,0.5151753667123626,0.584447891153557,0.6614278760174352,0.8125433391044579,0.9956600006252886,1.151332923466887,1.3149261527989298,1.4084034202967282,1.5013129999505175,1.5889123552882525,1.6619059039166768
11,P16-18,2.0,1761.0,0.994019169181314,0.2643521239144028,0.3553258183464469,0.5171852375102526,0.5857018964686161,0.6252920865518988,0.693080587598369,0.8065449190157836,0.963823202677471,1.145783000502913,1.3275958817278606,1.4852194232142362,1.6139027327878466,1.7961995137873745,2.1548062433651105
12,P16-18,3.0,4660.0,0.9913256818438685,0.2578340662812284,0.10034780238167676,0.5148174504990286,0.564470866806385,0.6075406032824898,0.6726506018287801,0.8043331795767087,0.9666876894331663,1.1539093715098463,1.343986032357061,1.4426568621202243,1.5417989120751998,1.652942119740807,2.4115229024042235
13,P16-18,4.0,1315.0,0.9951977803403034,0.2508623879389148,0.2327182449158406,0.4781329600054207,0.5570008508938683,0.623818779167827,0.6948707980751897,0.8183347257899305,0.9715364769648176,1.160439845946489,1.3403477770426206,1.4411989431884589,1.5479722845664619,1.6389393098457912,1.7572997650530555
14,P16-18,6.0,1608.0,0.9950876155368255,0.2785815565330065,0.12492613373177125,0.47688265783019523,0.5206281203324498,0.5818336133468237,0.6525942414866276,0.7856456981656269,0.9741706233032921,1.1686886050463448,1.3770831237903984,1.4932187464257363,1.5848445889590528,1.6982065875898773,2.0017582144685897
15,P16-18,1.0,1215.0,1.0064807157350104,0.27265216236024914,0.026181431238614015,0.46778664256230695,0.5395621941141148,0.5938023673944391,0.6753153837540277,0.8113689525125223,0.9786067719871797,1.1833738156744007,1.3691020992014202,1.49370691335745,1.6031070924451838,1.7052901633772815,1.881627215222896
16,P19-21,7.0,2959.0,0.9977668754056304,0.28149909127769585,0.03590795621803674,0.474934211553935,0.5455595722018047,0.5979849544203423,0.6668310699137779,0.7861948558010745,0.9684170353027839,1.1833980161053266,1.3834396176836687,1.5134951806801478,1.6050924011739014,1.7242208078787304,2.1161511255180274
17,P19-21,5.0,2022.0,0.9949696838546567,0.26552983618954673,0.3597218516816482,0.49757163226329165,0.564457580693682,0.6158115823504074,0.6809846402975094,0.8047460598380192,0.968093898677464,1.1570549698538315,1.3403575277996795,1.4807544831019137,1.599536977555764,1.7174227720385382,2.242419925067277
18,P19-21,3.0,2967.0,0.9910505440111764,0.2555350447253522,0.3557495227245683,0.5150121583663824,0.5654556827375236,0.6110405329722838,0.6735403997422582,0.7976903046618569,0.973646875660235,1.1604406606826063,1.326502713034249,1.4431838410961297,1.5410096384651621,1.662252592016,2.149110574142418
19,P19-21,2.0,1270.0,1.0066535638702214,0.30417277837020384,0.35859034561716374,0.46091963059542085,0.5181796655028664,0.5946257785720008,0.6510292049079095,0.7900425195369274,0.9686629870294206,1.1797411152800115,1.4141617223050278,1.5624461284314177,1.7100509288711137,1.8955857498802742,2.406860992758554
20,P19-21,1.0,696.0,1.0116684725807146,0.28530741747968236,0.09534908692504705,0.44847212303520667,0.5386750435517643,0.6133336846459321,0.6921507487684928,0.806582720592959,0.9857345424526625,1.1736126058006966,1.3924438997568167,1.5447029812385549,1.6589313440166227,1.722962951398139,1.9976517810351264
21,P19-21,4.0,1329.0,0.9979013245552221,0.2658720956097035,0.03732785449572967,0.48970820381534236,0.5602159903836209,0.6156496552087095,0.6897845735145645,0.8132055377826727,0.9672845691452964,1.1618207409931096,1.381910925323297,1.4760781121444342,1.5661564380470125,1.6978952833790788,1.945577914093503
22,P22-24,7.0,1195.0,1.0025514560157658,0.2804250031438022,0.017230189181420403,0.4788418269962473,0.5258143203159195,0.594027126525024,0.6728364634927861,0.7980367246467245,0.9733808959801156,1.1669911240041833,1.3897248122118246,1.4956797641696529,1.621242274884942,1.750599195379528,1.9945535210448473
23,P22-24,6.0,1978.0,0.9971017370000371,0.28604726650449314,0.10429418866873827,0.4360769009989723,0.5256314309210626,0.5998464566836182,0.6675348618251632,0.7919485958701807,0.9700459594558468,1.15811966758377,1.375298563696931,1.5367220845402751,1.659251467232596,1.7723859597308707,2.090839226539573
24,P22-24,5.0,769.0,1.003999461719718,0.2966941223401587,0.1255876038248574,0.41809168231992483,0.5119208335162427,0.5757343930613902,0.6436140903673766,0.8022554838251916,0.9808951546631004,1.1891790431802447,1.369535419695535,1.5363307011417113,1.6999015742504886,1.8440434906310226,2.0708243566664692
25,P22-24,2.0,739.0,1.0043365931355237,0.3208996865537458,0.024314025285801084,0.37021509924819096,0.4891387719212852,0.5624465994684053,0.6506270401972388,0.782439546067422,0.9677165370696507,1.1874387440843988,1.421918400951901,1.593226993111518,1.701985270223039,2.009275349083393,2.2112873234524573
26,P22-24,3.0,2257.0,0.9922448302751457,0.2819028240483267,0.1596709445970389,0.4708673347230143,0.5464097362738685,0.5899671338318447,0.660023159211548,0.7853177659783813,0.9621632688583877,1.170961622339086,1.3638686897279353,1.4921576913658081,1.6406944456597647,1.8018189139960912,2.1285055257623533
27,P22-24,4.0,3046.0,1.0035780321610905,0.2707768592554782,0.029430568341439926,0.4787978062255344,0.5390147337749909,0.6037234600256102,0.6667920584703135,0.8154907760928007,0.984293322776641,1.1711750664274314,1.370907799555725,1.4799358233067559,1.5808039863980328,1.6982487785230655,2.0423516031640894
28,P25-27,4.0,2165.0,1.0130193217530223,0.28406411245541424,0.029519399112342096,0.3555193653449142,0.5081064600607305,0.605801142926245,0.6888812968641363,0.8257315459417701,0.9876385846791214,1.1775490303975276,1.3794016524356767,1.5111180770196764,1.6229662395474893,1.7789829654257598,2.4320817495600346
29,P25-27,5.0,1986.0,0.9955143063157705,0.27387099307593,0.19866317604189043,0.46984565844996223,0.5446633762707824,0.6123079559704246,0.6851650903842886,0.8000550027767666,0.9677464123843806,1.1555557733045159,1.34730664994348,1.4948002922923849,1.6158174367483076,1.7619527937373791,2.268292324733829
30,P25-27,6.0,128.0,1.047269927696227,0.3207759149148923,0.05293572192489101,0.4319702583440212,0.5285003872248998,0.5727760135973792,0.6931352121487205,0.8385061034700164,1.0178752387639054,1.2501607344510446,1.471018361317134,1.6080779536772882,1.6766214837128208,1.7581416934116878,1.9733837491556943
31,P25-27,3.0,1117.0,0.9938280762090815,0.26548332028449106,0.019545718996521435,0.4517653877807641,0.5508536606768878,0.6096497042468582,0.6841236754753653,0.8217937849459186,0.9680694081619241,1.1458662608152763,1.3463238220978593,1.4442739126567996,1.5661362093824824,1.7512805244170295,2.0299854012654066
32,P25-27,7.0,1022.0,1.0102606415113609,0.27361497879595387,0.04942596919823806,0.44879337417437876,0.5455925874641918,0.6144851164510472,0.684364954293522,0.8174469211309786,0.9884322145984339,1.1734792815350545,1.3693887322224765,1.492342789919664,1.566502801466929,1.692230399199196,2.292546902215089
33,P28-31,7.0,526.0,0.9956898835812684,0.30413897269405893,0.06298702450651193,0.44743172245836293,0.5303406515472839,0.5762955712484259,0.6397479118715446,0.7717467508071054,0.9510629539736725,1.1787066084519515,1.4170412994955301,1.5353396894396605,1.6000513508267897,1.765027004011996,2.117524270245239
34,P28-31,5.0,1871.0,1.004292308285984,0.29302134425267096,0.13890876370985503,0.3176649720977011,0.48515357500062395,0.5842604338312896,0.6688866755018357,0.8065895934087818,0.9853646992458819,1.1655777171308626,1.3642143145697325,1.5164270783066058,1.656781956227774,1.8282601764001492,2.5801506006583774
35,P28-31,6.0,1431.0,1.0052567013411136,0.2948287986974605,0.02125639874986864,0.35584285568093876,0.4958376164289348,0.5722274456954595,0.6667908591399765,0.8139822472461415,0.9812736631536009,1.1826727994457018,1.376874578482853,1.5114650993734713,1.6526722763914745,1.8237278369136247,2.692790751465101
36,P32-35,6.0,23.0,1.2000174345023862,0.5627166996433306,0.02889082049612319,0.03539112807809311,0.04514158945104799,0.10742142168916866,0.5958892410154175,0.8343232807752659,1.1908771976632295,1.5897781424034636,1.866275094255757,2.012660398377212,2.0360582720834968,2.042295116228107,2.0464530123245135
37,P32-35,7.0,566.0,0.9975817950214491,0.2795747042375072,0.24656063451175103,0.4514693451826838,0.5123961164227492,0.5980552812440703,0.6806976388571575,0.8039565258515359,0.954356323054552,1.1724586391554672,1.3408620274323169,1.497733797516404,1.6123444260523372,1.8246595042259666,2.1153280605535483
38,P32-35,5.0,280.0,1.0313459981929023,0.3082640165107985,0.015959692442380068,0.18610944764107376,0.46590089131101065,0.594324477996443,0.6997683112153984,0.8349443275387788,1.0217172725373818,1.1974075632697687,1.4268555652070198,1.5604211604904137,1.7307858423479492,1.8055300752284118,2.0665946659594043
39,Doxo,5.0,146.0,1.0442725268899513,0.34393866014516167,0.022377854383312273,0.023166114411268816,0.08549488248542196,0.4753931547981942,0.6308397136351981,0.8397216489961399,1.069472111899033,1.26297788523434,1.5180600846059527,1.5360388794344901,1.546984631742968,1.6310012646253254,1.6503464748059096
40,Doxo,7.0,176.0,1.03032667571839,0.3361137356641327,0.018803359026049384,0.06296391536558522,0.30236738701843957,0.5345294148035374,0.6641344537741919,0.8056628508030961,1.0353713252249053,1.254655522120364,1.4384775939347878,1.564401182579645,1.6069859424579556,1.7264412438312684,2.0317969573171206
41,Doxo,6.0,367.0,1.0286144698275441,0.28312407724004135,0.06975713529996701,0.4837691965442077,0.5823972838925158,0.6285628695724911,0.686444898823062,0.8292077253666296,0.984140150996537,1.2053588893201639,1.4000131334817434,1.4908750217870954,1.6619642680901818,1.7583555517439629,2.0534671886766076
