,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7242.0,13794.0,9361.0,9705.0,8565.0,5565.0,3283.0,701.0,548.0
mean,0.9945429315268629,0.9868165934221981,0.9835237845372731,0.9839984448647202,0.9841682606770769,0.987753780342365,0.9926722921194112,0.9980975998176322,1.017434751070631
std,0.21018943507634041,0.21625229791276313,0.21681640688108328,0.21866616843353126,0.21865149499813794,0.20982823593102565,0.21811417465919192,0.21813060759995326,0.22583721124709047
min,0.5535114175372203,0.5529906017482642,0.5539920372134981,0.5530024789844419,0.553549529927322,0.5552593526362742,0.5539171987659453,0.5534186390937232,0.5685329211164224
1%,0.589681217571924,0.583750928389288,0.5828472517441714,0.5849322565642454,0.5811731985084763,0.589741394696391,0.5875737850725107,0.5928840311771029,0.6002562814399618
2.5%,0.6302640327502739,0.6168933754534786,0.6120221509220554,0.6167154642166356,0.612344349607202,0.6224593997659155,0.6185924517071456,0.6300990801642612,0.6365394529097741
5%,0.6690826547862352,0.654919523593726,0.6504051788892998,0.6526280673366067,0.6477529215861914,0.6693126310483368,0.6625339161027957,0.6657317323291465,0.6712891934456424
10%,0.725712915232046,0.7130244787342904,0.706093921719278,0.7048394151884276,0.7005747523336471,0.720104753769799,0.7180595641430295,0.7310206167816891,0.7325888329552975
25%,0.8344345077315242,0.8209803714496049,0.8175232250673797,0.8150142029158581,0.8164031564616235,0.8293091066149783,0.8215199614913961,0.8356198117606052,0.8369509753894183
50%,0.9817790037390229,0.9719079215234685,0.967988024928064,0.9687741077667631,0.9698600625894142,0.9744029019380959,0.9804632780474384,0.9711398804576794,0.9897230872940896
75%,1.1394296700373991,1.1351558133172874,1.1373624826649982,1.1392896219475106,1.1361105766124593,1.1314989689537047,1.1440321755596123,1.1504037764069666,1.182325615753809
90%,1.2834943101206524,1.2895775907945128,1.2875230803225708,1.286867521014125,1.2888591433321752,1.285708222889273,1.3019406541861602,1.3037446176883176,1.3389095390425807
95%,1.3692349395399925,1.3769254274968652,1.372061764702296,1.37173518763651,1.371977341712114,1.3654418865042128,1.3773575046905198,1.380073476067219,1.4111436519800218
97.5%,1.4348647080042043,1.437555042302592,1.431761223109532,1.4350764626820631,1.4349373627709627,1.4232024772431286,1.450584904948229,1.4655701144470898,1.4615203819127602
99%,1.4879141845691313,1.489792241355202,1.4853032134119128,1.493734232286812,1.48447936720646,1.4786772576626457,1.5073774123205914,1.5054654758204566,1.5290816878321454
max,1.540904750582844,1.5415854542936807,1.5414856733163442,1.541415006694908,1.5415854257210253,1.541609362710427,1.5387203038406632,1.5374310928296542,1.5411470498176554
