,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,2245.0,0.42366210055643305,0.11394328117051436,0.0656748339533805,0.1743849915266037,0.22242618948221207,0.25185626149177553,0.2856427788734436,0.3449149429798126,0.4185091853141784,0.4926832914352417,0.573696506023407,0.6194278120994567,0.6644983530044557,0.7169097447395321,0.99847412109375
1,P6-12,5.0,2067.0,0.29156933131212764,0.07288854125354412,0.0850843042135238,0.1486454534530639,0.16706645190715785,0.17978637218475335,0.2028625965118408,0.2397344931960106,0.287571519613266,0.3399862647056579,0.382214093208313,0.41422445774078365,0.4444495245814323,0.49113115787506073,0.6409704685211182
2,P6-12,2.0,1495.0,0.3456075987080891,0.09030274708773965,0.0047760740853846,0.17564110994338988,0.1974494524300098,0.21921874135732647,0.239008167386055,0.281994342803955,0.338475614786148,0.39868009090423584,0.45375447273254393,0.504914915561676,0.5432639002799987,0.6391656589508056,0.7427481412887573
3,P6-12,1.0,3073.0,0.4109552628430394,0.13455098994549813,0.0054627298377454,0.18515907704830167,0.21166705191135401,0.2338170379400253,0.26058440804481503,0.3134966194629669,0.3871213793754577,0.4907606542110443,0.5997192502021791,0.6628671884536742,0.7175311088562009,0.7875157022476195,1.0
4,P13-15,1.0,1898.0,0.3814586078631814,0.11264497066083776,0.0061951628886163,0.1796975646913051,0.20402609407901762,0.22885175347328182,0.25308157205581666,0.3050774335861206,0.3682688772678375,0.44790568947792053,0.5319340705871582,0.5780544757843015,0.6357190713286403,0.701733751296997,0.9259632229804992
5,P13-15,4.0,1611.0,0.4251939906610938,0.12811077297668613,0.0439765006303787,0.1909254565834999,0.23222324252128598,0.25692377984523773,0.2856488823890686,0.3342183530330658,0.4040131270885467,0.4953154921531677,0.5877622365951538,0.6780880689620972,0.7174067497253418,0.8023803830146791,0.963164746761322
6,P13-15,3.0,1436.0,0.31483129112433883,0.08054227014159075,0.0286411847919225,0.15122377127408976,0.17770275473594657,0.1927367001771927,0.21441214531660074,0.25859081745147705,0.3121309280395507,0.365896075963974,0.4236591160297393,0.4567177891731262,0.4784313626587391,0.5162584781646729,0.6078431606292725
7,P13-15,2.0,3835.0,0.3909693447380015,0.11257152537637984,0.0257114525884389,0.1893678152561188,0.21790951192378996,0.24160830527544014,0.2664682984352112,0.3140611946582794,0.372411698102951,0.45098802447319025,0.5341359734535217,0.5992461800575256,0.6516823172569277,0.747589548826217,0.9643396735191344
8,P13-15,5.0,1757.0,0.27387509984799113,0.07128819284303767,0.1163805574178695,0.1347933161258697,0.15174028575420376,0.1653864294290542,0.186843666434288,0.2227054238319397,0.2694438099861145,0.3200885057449341,0.3655756413936615,0.3972625315189356,0.42128634452819813,0.4522236943244935,0.6476234197616577
9,P13-15,6.0,5576.0,0.23069527128897072,0.0681623530861174,0.0199588015675544,0.10565347038209436,0.11742198746651406,0.13184557855129234,0.1498893648386001,0.18099869787693018,0.22339971363544464,0.2737964391708374,0.3222705423831939,0.3534981310367584,0.3765468895435333,0.4081826508045196,0.6123903393745422
10,P13-15,7.0,1352.0,0.6251483912188449,0.1645184931836853,0.0523231849074363,0.26755260705947875,0.31689287424087526,0.36373387575149535,0.40933090448379517,0.5120622515678406,0.6262607574462891,0.7319676280021667,0.8342977285385133,0.9210582256317139,0.9764492273330688,1.0,1.0
11,P16-18,2.0,1920.0,0.3483336991708105,0.09333244333135858,0.0435339882969856,0.17941985607147212,0.2018207874149084,0.21923629269003866,0.24475013911724086,0.2832379639148712,0.337376981973648,0.399893194437027,0.46354466378688824,0.5199259877204895,0.5726043581962585,0.6385066205263137,0.7597925066947937
12,P16-18,3.0,5529.0,0.33730819679730667,0.13169067135626744,0.0233920812606811,0.1514311426877975,0.168487074971199,0.18428016006946563,0.2058594673871994,0.2482490241527557,0.3089951872825622,0.389761209487915,0.5082535982131958,0.6127901196479797,0.6951613664627077,0.8013354611396791,1.0
13,P16-18,4.0,1459.0,0.4184905041246646,0.11862487625987467,0.0643015205860138,0.17334156811237333,0.21233157217502588,0.2503059387207031,0.2855390191078186,0.337956815958023,0.4083466827869415,0.4877851605415344,0.5707057237625122,0.6220065534114836,0.6607720971107482,0.7229526162147523,1.0
14,P16-18,6.0,1758.0,0.23007702516774362,0.06570189070149786,0.0035706111229956,0.10429312884807583,0.11918593049049372,0.13280689716339106,0.1495811372995376,0.18176928162574763,0.22486457228660575,0.27195391058921814,0.3190203696489334,0.3441321372985839,0.3654283940792084,0.39552101701498044,0.4675516784191131
15,P16-18,1.0,1314.0,0.4266737341792911,0.1262669031801705,0.011123826727271,0.1563320408761501,0.20983519926667207,0.23757762610912322,0.2740428775548935,0.33785381913185114,0.4163271486759186,0.5080758333206177,0.5900465369224549,0.6389059543609619,0.6834104046225545,0.7423537015914915,0.9431295990943908
16,P19-21,7.0,3268.0,0.5206430425247317,0.15372718242037275,0.0135194938629865,0.24287846624851223,0.27161898016929625,0.2997733995318413,0.33653619289398196,0.4074349701404571,0.504646360874176,0.6218547224998474,0.7288426280021668,0.8040177106857298,0.854047095775604,0.9298159742355346,1.0
17,P19-21,5.0,2237.0,0.2157907005004788,0.0607884665398892,0.0265506990253925,0.1000381484627723,0.11614404618740075,0.1305256783962249,0.1460685193538665,0.1721065044403076,0.2096437066793441,0.2511787712574005,0.295020979642868,0.3263141870498654,0.3541649430990218,0.38964646100997846,0.4588082730770111
