,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,24383.0,11962.0,12209.0,10154.0,7377.0,6991.0,970.0,266.0,597.0
mean,0.3433304408665847,0.3809905038692871,0.3461519916611214,0.31217792441683967,0.3218770410416233,0.29299246272239515,0.31302724030329704,0.25127983620806943,0.23581545437698626
std,0.14114955799696455,0.15189074982616133,0.1329484090201552,0.1469157797313491,0.1374312893129615,0.14410399004095192,0.14288103272095753,0.14989352775019868,0.1362063157406422
min,0.0150606548413634,0.0035706111229956,0.011123826727271,0.0040894178673624,0.0030518043786287,0.0049439230933785,0.0121766999363899,0.0032806897070258,0.0037384603638201
1%,0.12555276453495026,0.13471671700477594,0.12851759195327758,0.09766048669815056,0.1002603164315223,0.0628137655556202,0.10272480070590967,0.018402380309998956,0.020456245392560888
2.5%,0.14716258943080895,0.1570500522851944,0.14863202571868891,0.12149424105882642,0.1270832359790802,0.10062943398952477,0.11663805618882173,0.051182574592530686,0.07810787931084633
5%,0.1656855165958404,0.18021287024021143,0.168712905049324,0.14059433937072752,0.1453940659761428,0.1277637928724289,0.13872968554496762,0.1068589314818382,0.09955596178770058
10%,0.1914122223854065,0.2106202840805053,0.19497673511505118,0.16142976582050314,0.1666163176298141,0.1512321680784225,0.1583886429667473,0.12924391776323313,0.1190508902072906
25%,0.24518959224224085,0.2697375416755676,0.2514839470386505,0.20561151206493378,0.2154421359300613,0.19196613132953644,0.19904249906539911,0.16404211521148676,0.1526054739952087
50%,0.3176775872707367,0.35522240400314326,0.3269245326519012,0.277622640132904,0.2982223331928253,0.2531624436378479,0.2831158936023712,0.20997177064418784,0.1956511735916137
75%,0.4090180695056915,0.46415656805038447,0.4148317575454712,0.3859578967094421,0.4100556969642639,0.3675135374069214,0.4050659835338592,0.2709544524550438,0.2676890194416046
90%,0.5321492195129394,0.5915342688560485,0.5250507116317749,0.5133897662162782,0.5130662798881531,0.4909590184688568,0.5186160206794739,0.4732890874147415,0.43964293003082267
95%,0.6246875762939452,0.6706943035125732,0.5989074349403383,0.6012428522109986,0.5773220539093017,0.5717936754226685,0.5638620704412459,0.5630922317504883,0.5404898047447203
97.5%,0.7031746387481694,0.7522228837013245,0.664673829078674,0.6807923078536984,0.6333531618118285,0.6521667838096619,0.6342572450637817,0.6680514067411423,0.6163592159748078
99%,0.798977062702179,0.835135130882263,0.7473099684715272,0.7880599832534787,0.6925050711631767,0.7448432326316843,0.7097795164585099,0.7725688397884377,0.6679453778266903
max,1.0,1.0,1.0,1.0,1.0,1.0,0.8830090761184692,0.8924391269683838,0.922865629196167
