,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1797.0,0.9985339374709702,0.2199906254576992,0.5348326011461315,0.578294786327974,0.6173606762304085,0.6563101991136899,0.7121848748409652,0.8375743256245588,0.9901106888848787,1.1583113028940353,1.2996912843319868,1.3829742658712476,1.4487844868384598,1.5124686170794015,1.5631588916062793
1,P6-12,5.0,1653.0,0.9713632204420328,0.2161282020967797,0.5407643436903194,0.5702345010974985,0.6017310334698339,0.6482310369923264,0.6953108318217855,0.8109730964057233,0.9514101307596033,1.1238509852423082,1.2699297013482138,1.3572176594970116,1.41753509688756,1.4926208961424492,1.5643360610458505
2,P6-12,2.0,1309.0,0.9853335177952866,0.17674100663077885,0.5367830976614136,0.6020687091609308,0.6481687793873212,0.6968843702883625,0.759346226779712,0.8650242898888926,0.9853143340332309,1.1020445701827914,1.2162019270562279,1.2827118977379235,1.3540285875158515,1.4250933276564814,1.524896907965776
3,P6-12,1.0,2483.0,0.9979139809017148,0.22313964790493868,0.5340956785142854,0.5612906169244005,0.6017907092588363,0.6451106221863171,0.7167381481465173,0.825742763980269,0.9818902059011684,1.1556121350766997,1.309260359973905,1.3900496533304634,1.457790087350012,1.5007781213288436,1.5584574614442106
4,P13-15,1.0,1326.0,0.987763531777902,0.2415136761499241,0.5338880409355097,0.5638766594729191,0.5881718232000447,0.6292435048970353,0.6864494401549295,0.8025398147843966,0.9627690661031797,1.165116475678444,1.3314969726129302,1.4178622282483313,1.4794528771675703,1.536701577017292,1.5647738618455
5,P13-15,4.0,1324.0,0.9885399686078186,0.22971334836196675,0.53257433309879,0.5657029383553653,0.5958350973075152,0.6456724813573191,0.703210813463366,0.8083489564281955,0.9651457735448314,1.1543375397655102,1.3112524686644755,1.4010915103421473,1.4560675768595068,1.5374829793802192,1.5672091462356312
6,P13-15,3.0,1150.0,0.9939608068926723,0.22050511545550538,0.5364561155846762,0.5638051703107348,0.5970148141767962,0.636574220143663,0.71372668618008,0.8286694228596182,0.977072269743229,1.1548353697234552,1.2905279890328432,1.3754825483701494,1.451495383165022,1.5033905837233015,1.5603231746541126
7,P13-15,2.0,3224.0,0.9794463304854939,0.18273452286359387,0.5336744361293431,0.5970577897176096,0.6507408201658098,0.7000655676838627,0.7453046775981571,0.8485701727356126,0.9719504956743847,1.0990232553390815,1.2186345611865559,1.2959563170663286,1.3678677980728755,1.432527808217776,1.5617766185858024
8,P13-15,5.0,1325.0,0.9717239458060515,0.22588509289204833,0.531535849171379,0.567745283356053,0.6020987845362521,0.641978658038486,0.6892604458816649,0.7925310425707025,0.9536381351910482,1.1314490284936598,1.2924840859226123,1.3821215388263983,1.4442520285233842,1.5059999329616778,1.567326508300155
9,P13-15,6.0,4357.0,0.9840083365976673,0.22476217335894055,0.5308592011972312,0.5662347037195691,0.6036188562789139,0.6374642619227278,0.7019294887366828,0.8147432283209973,0.9596970163756732,1.1394562065171316,1.3049731057629903,1.3855564578209032,1.4458621384854036,1.5064015823465013,1.5657430683200482
10,P13-15,7.0,1088.0,0.9797902308578322,0.2206444837060669,0.5396169781642199,0.5614655381197967,0.5957466824203564,0.6332011391849177,0.6844350727205195,0.8113633996530638,0.9756037946874733,1.1404927200385424,1.280158351619236,1.3569413383413593,1.4083632715047525,1.4548293010597984,1.560308964454115
