,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7242.0,13794.0,9361.0,9705.0,8565.0,5565.0,3283.0,701.0,548.0
mean,0.9897336203257389,0.9830550660365689,0.980436718613133,0.9773869992641656,0.9792720605822721,0.980460604760376,0.9857492704117423,0.979544041806338,0.9707746604947671
std,0.213291021517354,0.21734293475778246,0.2238084776522458,0.2292831360091496,0.23594477091568997,0.23289883404712608,0.22876382829838038,0.22757226939345487,0.2272535670319009
min,0.5340956785142854,0.5308592011972312,0.5298359151145479,0.5307536889915513,0.5301919982342833,0.5304222178677477,0.5311386627103574,0.5306391772243222,0.5379272936959053
1%,0.5719447799723922,0.5694198911775911,0.5639389405224913,0.5606648267813307,0.5568618297687258,0.5601667166006572,0.5598919331669839,0.5771902350876638,0.54926488648882
2.5%,0.611463638431583,0.6045011931114621,0.6008292918829059,0.5930082106519585,0.5882870012711793,0.5896380062857344,0.5937108403092012,0.6176156865654653,0.6072073500344748
5%,0.6560829144555611,0.6482620682180451,0.6380909839459405,0.6330995636101759,0.6257550037128262,0.6307556095308857,0.6410244421607171,0.6654681675925745,0.6365796325790318
10%,0.7176382042381488,0.7094768751628642,0.6956789090590203,0.6845490312606058,0.6791813566533255,0.685634209615129,0.7003449570601152,0.7016201994817138,0.6908832630632584
25%,0.8329298571297148,0.8196082993204531,0.8080080112728476,0.8011826238532483,0.7951782167354217,0.8008998884023881,0.8116956166716509,0.8066703816931983,0.8032787311266293
50%,0.9766878597976683,0.9661077941909166,0.965240242522055,0.9568704204580281,0.960295106039946,0.9611664636218306,0.9653139222668048,0.9556327139033588,0.9392647551051858
75%,1.1373742142922663,1.1332306898657034,1.1367318027909303,1.139182960851322,1.1429852781996397,1.1387682145936895,1.143010317921839,1.1277218171170669,1.1239075336526567
90%,1.2798447882258224,1.284603554761192,1.2885554784735542,1.3001085205574188,1.3132857563159213,1.314073545035129,1.3047460258447814,1.2914575885329058,1.2895099639216594
95%,1.3667689040608477,1.3739950808486536,1.381232262043153,1.3860764550411697,1.402900146240697,1.404861545915057,1.4057396986318005,1.4126917907453778,1.4078052427057688
97.5%,1.4322571971582219,1.4333429298278193,1.4512533744398983,1.4584465195288483,1.4689145347561343,1.4710544855523315,1.4666526641016355,1.487190403832285,1.4569686825079076
99%,1.4941420666542937,1.5029424553631519,1.5075894195440869,1.5144145970389935,1.5257665981634205,1.523888368561951,1.5260538146656388,1.527014140398215,1.5034122633624283
max,1.5643360610458505,1.567326508300155,1.5674065641045523,1.565723667733032,1.567262678827923,1.5664105512731346,1.5633984425413823,1.5620526051006893,1.5641237750832944
