,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,24214.0,11880.0,12135.0,10078.0,7332.0,6896.0,960.0,263.0,594.0
mean,0.11889558609541902,0.12485720934266845,0.11267094507900664,0.09667240404979917,0.1006849207956865,0.09289134480586626,0.08483323918349575,0.05905957453926314,0.057917021319076036
std,0.050519482215815474,0.05397600192415865,0.044728765161916324,0.04687026412695213,0.04662945436968265,0.050622974705093186,0.039507485849837175,0.034963017810788345,0.03390930538775689
min,0.0071730780783331,0.0028820067010555,0.0051718270918069,0.0026684482310675,0.0025583511871517,0.0025155129303254,0.0052834282431585,0.0025007127750907,0.0025818142399208
1%,0.043786096690583406,0.043379626339363,0.04160567298048096,0.028175322364033605,0.029592455024625465,0.023605368564778437,0.026504947699985033,0.0050366557029241305,0.00414776656614317
2.5%,0.05136815522780132,0.05080462746228089,0.04843622307072825,0.03523508673834869,0.03775811468724207,0.031077247580787414,0.032486351434245,0.014722289440248901,0.0191477332915638
5%,0.058004101381823846,0.058249968173428146,0.05530788056015754,0.04191810666729442,0.043413844690903924,0.037491755293285245,0.038026314453860385,0.02519217633884912,0.024113317639140132
10%,0.06662657107470253,0.06784647991701087,0.06415089630229742,0.049220737720718534,0.0513135916505025,0.045369198698205604,0.043071731228074256,0.030607780272839162,0.02871459342180439
25%,0.08477164670234193,0.08733840962295297,0.08215724080942875,0.06442163824517386,0.0658691314064285,0.05912295688930283,0.05530805465969605,0.0382584088757905,0.03644460780152215
50%,0.10986164407983275,0.1152672273541224,0.1063067892132191,0.0867897485440483,0.09006603230210006,0.07846500722390484,0.0773977624624657,0.048029108333591,0.04836310654996115
75%,0.14106099789950935,0.15093738994028816,0.13390852581582635,0.1183868360449934,0.12773720727636337,0.11605400645228556,0.10843509870765228,0.06981866614040999,0.07202391583293902
90%,0.18216378107948755,0.19566603874367414,0.16939951290458424,0.1548176331527218,0.16626522013148015,0.1604010363120713,0.13666920899268378,0.10677686600321236,0.10075432228004194
95%,0.21303061282958952,0.22427285404530692,0.19475141890091996,0.18226550038487407,0.190150687461931,0.1888787730087355,0.1578643338914064,0.12641065857486458,0.11850037758999496
97.5%,0.2440235471169925,0.25457307951301233,0.22030156054184555,0.2141327184252874,0.21225499838972628,0.21881392556630386,0.17634118530438897,0.14855087918373625,0.1439220193555832
99%,0.27884501504668785,0.2892916685582586,0.2514315756862561,0.25832343691206416,0.24030944784826738,0.25384318492868013,0.21096333919754925,0.18491181066942575,0.1777806803928411
max,0.7912937594231472,0.8423412415293493,0.7610045080706731,0.6328331731382033,0.3827535603249159,0.8076621672362014,0.2813109649554302,0.2290911648085857,0.2835068601680893
