,AllGroups,Replicate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-10,7,1340.0,55972.69801218702,19996.718236430057,2648.347932725999,22733.899608229578,26889.801170407103,30010.77755388529,34363.45373487396,42976.359855110815,53916.92703837352,66239.64031939821,77096.94245108592,85583.14410848707,94575.1522466844,130902.37476458705,210109.55975750575
1,P6-10,3,3154.0,26825.081801312488,10079.114704668826,2271.678206220707,10583.179112682616,12507.779720460088,13863.89429980685,15637.417953102175,19476.55157463081,25346.352133451895,32511.68559373988,39521.20159010708,44995.54027965609,49945.386764170165,56900.22408571465,105267.587890625
2,P6-10,5,3755.0,26401.137621345762,8464.053595665691,7598.762102185583,11729.60866629815,13437.720490787673,15071.949672708226,16855.028409440965,20414.83656078308,25480.937273345426,31127.685665666497,36938.61324109393,40554.49727110615,44178.62181269019,50347.111932504726,93901.76603701826
3,P6-10,6,5512.0,22039.940242320663,7093.862726576012,3177.8571614583334,9397.692695084195,10848.892897457463,12271.064568490681,13906.047504027125,17098.01249996451,21106.491399775005,26147.066671178516,31383.568308246075,34834.657021543164,38031.33446403319,41319.15032825704,83717.62468882705
4,P6-10,2,3620.0,28825.220658665796,7823.6548504291995,5720.960420971074,14381.682109287534,16219.919895495743,17945.993982651828,19949.304105535648,23641.271397908873,27962.00475818875,32912.43775948602,38406.08651398726,42081.07746696436,47672.89021452733,54185.15654929787,77033.73711057482
5,P6-10,4,3800.0,37485.93235167319,12318.833967227312,3272.3168604651164,12410.192819822561,16019.596099079334,19409.4260152448,22888.41316796704,29317.361976247907,36497.037177911596,44629.556429135366,53473.483259717905,59041.37545316665,63658.89981580648,69504.12301031833,140477.51647183846
6,P6-10,1,3033.0,36303.580855979664,13006.250124167042,2612.2627314814813,13994.185332542345,16890.52468635354,19082.022894610152,21843.537502578565,26795.44787735849,33949.49350602755,44466.01591350826,54315.805691974114,60418.93282694219,65384.66283559861,71267.40078950474,120348.919919128
7,P11-13,1,1864.0,30924.43178558128,11460.168366741877,4148.153592139175,10457.52721286644,13262.58556236762,15266.305901524513,18065.959420862113,22873.104401242294,29276.250564062884,37232.54806786631,45855.39626246482,52379.32237820772,57380.03242207711,62052.46507361382,118082.72759529602
8,P11-13,6,1725.0,20754.83699028282,6799.565100030715,1111.3131115459882,8338.529847615404,9792.675167432171,11116.590629621198,12994.679616300366,15995.83015523189,20025.9324977518,24695.16046592489,29541.366349554246,33546.20814945634,36362.57243063676,40541.593389158996,54097.521205357145
9,P11-13,4,1435.0,34911.92626353998,14729.43660589562,1980.609231639365,9767.971887267904,13593.366484291015,17161.95061027765,20963.432973158637,27507.778842069663,33607.37624501992,41084.25763893088,48893.4732058548,54165.196921297604,58491.69004659051,65355.48230407205,308517.34696641384
10,P11-13,3,3719.0,29342.182895095815,13462.017499873129,7382.946557971014,11242.154621708785,13116.675800114557,14554.840707066267,16502.65838384305,20289.978196603584,26200.269033837933,34437.23253955212,47121.28228280342,56084.45456528762,65261.23016477862,76908.11877199444,130223.125
