,0,1,2,3,4,5,6,7,8
AllGroups,P6-10,P11-13,P14-16,P17-19,P20-22,P23-25,P26-28,P29+,Doxo
count,24383.0,11962.0,12209.0,10154.0,7377.0,6991.0,970.0,266.0,597.0
mean,30405.308359326136,31695.734317726958,28570.18743128774,24606.646676257733,25904.373843156183,23548.0364628311,21469.296704788027,14703.59543030625,15201.713528820857
std,13445.254226402403,14247.667758557978,11989.189762698248,12461.816426052843,12433.738893579752,13248.923773892213,10055.767591138974,9001.84986586148,8981.99575379936
min,2271.678206220707,1111.3131115459882,2027.351789871944,1040.2761879049676,1005.6018093049972,1015.0523908857508,1929.7556330472105,946.4670009328358,1028.5761010964504
1%,10808.548522563797,10254.76568398001,10052.432330638521,6709.363863955765,6842.572345414201,5291.351516891138,6446.201262328123,1494.473894536512,1541.2596255701735
2.5%,12791.4923067915,12463.348774582448,12007.721460950215,8641.399412027507,9297.059352535252,6685.513042333816,8013.73178670387,3541.245836015417,4789.4322364751815
5%,14549.607625427407,14458.117009921742,13750.600794585585,10242.453730947243,10733.133474271068,8604.734392431237,9240.028081174007,5685.715006173329,6309.5852917242
10%,16765.84939936151,16803.851670162523,16006.584903607845,12208.05531340997,12831.654808840074,10792.2318914956,11034.411420607994,7252.584919922141,7475.524319573736
25%,21293.30771723076,21811.25957151936,20399.969709995414,16156.029512651003,16758.670414025357,14694.712429322706,13993.771885318516,9473.444159084067,9369.035894785206
50%,27725.28588489536,29070.230309634808,26528.485212651893,21809.601847174923,23049.06351647206,19991.60887784091,19411.857738355415,11827.177982016223,12702.210394232525
75%,36189.67911625476,38485.69204856065,34214.84066967645,30248.82736822055,32984.70090027701,29489.468389979607,27154.562518765593,17465.444280336826,19051.45909090909
90%,47666.714730263964,50084.15813176164,43711.52791924535,40193.0626975826,43231.513775904146,40871.22305928595,34674.823927747035,27238.945623643474,25815.139789004315
95%,55993.97163301653,57716.20844004813,50747.03907158275,47825.60660325562,49988.363187247436,48558.39713224426,40734.59925441993,31626.407116780418,30426.61276240884
97.5%,64088.934216134905,65809.62037227767,57759.24168598254,55131.16300324001,56075.13073774603,55975.91494598748,45330.946153295496,38158.677848255364,36162.695276744904
99%,74058.41471321185,75514.94014764504,66652.178709995,67229.165934691,63187.716696913885,67119.85552187653,55738.506644721405,46919.03826489846,46977.19978623311
max,210109.55975750575,308517.34696641384,214727.83319161,170509.92109728506,106426.68349358976,182723.94896673388,64856.6709453822,64269.23025056366,79587.36846689896
