,AllGroups,PlateNumber,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4,2244.0,1.0,0.30631878486938485,0.2085010288423046,0.39621552600055887,0.4768877056161178,0.549601322877602,0.6381422293573042,0.7992104015595581,0.984634633547215,1.1832095642984544,1.365785771962309,1.4897249619931838,1.5776110575440303,1.6888038043003804,3.6865673938955568
1,P6-12,5,3278.0,1.0,0.3368399260838715,0.25281636009742364,0.4413333813376702,0.5078457174338561,0.5653268193250881,0.6419623685539503,0.7902218441008418,0.9515009242518513,1.1678024082192673,1.370887769069429,1.5123998641380698,1.7393495980586233,2.1842708338224077,4.016929876700865
2,P6-12,2,1495.0,1.0000000000000002,0.23051619673196574,0.02953807865024872,0.5089790207317979,0.5737431443755729,0.6391498143585942,0.7219100236020155,0.8511933677919437,0.9887923119437515,1.1398127026190243,1.2670203252011183,1.3869159385423548,1.5099385800879812,1.6543743066365995,2.130384677636994
3,P6-12,1,3068.0,1.0,0.30236800903945205,0.017490560535990362,0.4190279224520974,0.4818631645235527,0.5507168314711742,0.6388147415211675,0.7855601849946416,0.9815539694101297,1.185498444334639,1.3781668209381557,1.5035412148905705,1.6337904009522837,1.7825232052068063,3.5362301701037278
4,P13-15,1,1896.0,1.0,0.3416790106168672,0.08724207817338483,0.3768273745146289,0.4546528386908483,0.5136323577489701,0.6009575566005153,0.7537631362905417,0.9605581141263455,1.2192123362528697,1.4411245762736171,1.5829784983888426,1.724973864967403,1.9011149058733323,3.369527584070862
5,P13-15,4,1611.0,1.0,0.3081064260135726,0.09122583239361272,0.4121943266871246,0.47651226257077495,0.5573788734032811,0.6513173228220629,0.7804437832723035,0.9716816823459548,1.192894081977192,1.4067881762903476,1.526073736637775,1.632416725274277,1.77396420181339,3.635221693773056
6,P13-15,3,1435.0,1.0,0.3132719386309246,0.06488606782265127,0.4075405710064922,0.47667463725244485,0.5371156147610823,0.6257047512282266,0.785742837967388,0.9683129360500848,1.1888167425535823,1.3820600247410955,1.5075826217276973,1.6550810632983188,1.7936730450431926,3.3775697570377528
7,P13-15,2,3831.0,1.0,0.23904473344089266,0.06276430353543477,0.5091227786485636,0.5805776546160253,0.6514203244769493,0.715368431612376,0.8368958265089623,0.9855502496823862,1.1429935712734731,1.2949324212450106,1.4160563564386004,1.514894203870008,1.6617011547252503,2.3094231337148496
8,P13-15,5,2311.0,1.0,0.33341617133710905,0.3263209546449885,0.4398579777985507,0.5059155926964082,0.5579476652083868,0.632877249462628,0.7764347463419288,0.9693579798498286,1.1712377117128132,1.3904761096716458,1.5217301177874996,1.674521258590874,1.8565298673562676,3.898851585063601
9,P13-15,6,5969.0,1.0,0.3059210751852281,0.11236468117938947,0.4307764460885016,0.49793573383033757,0.5527068424303088,0.6352135487755072,0.7810671500002929,0.9694132070090387,1.1896679146059612,1.3928751673872755,1.5224123986891867,1.6469657454593303,1.795831332894304,4.073464421009361
10,P13-15,7,1713.0,1.0,0.3742398419463644,0.034938722352945054,0.411277887033434,0.4907241140774385,0.5492347091900617,0.6232576725167781,0.7738640811317277,0.9645244889679672,1.1555605947374954,1.3456231594307142,1.4797353027117448,1.6437031064293526,2.700727766896413,3.7165708562378392
11,P16-18,2,1920.0,1.0,0.27434734624451357,0.1524689447271201,0.5109923951341695,0.5742985120097104,0.6218329521673938,0.6830401522138027,0.8145772319421891,0.9676640894093316,1.1572168805260268,1.3339400522749927,1.4581242120599882,1.5902711844251065,1.8048463422705365,4.476464351956323
12,P16-18,3,5523.0,1.0,0.31987115978450575,0.06727035098849386,0.4436926511027587,0.49654200139792165,0.5525409173647969,0.6291218336813463,0.7713118384193716,0.9737047370189825,1.1852693708143764,1.392323744872572,1.5312656992200835,1.6762486328871142,1.8522078722231516,4.647595322632331
