,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,10085.0,18766.0,11974.0,13683.0,12665.0,8563.0,9391.0,1645.0,910.0
mean,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0,1.0,1.0
std,0.30565022874105774,0.30874588303672257,0.32363011133506403,0.3490439433556903,0.3608370441617609,0.3594085704835452,0.3605036621649534,0.41272384477296675,0.4482796042286532
min,0.017490560535990362,0.034938722352945054,0.031650092897977725,0.0293289527406074,0.02199682003117582,0.03286893861258349,0.0392391212204954,0.03254856006138897,0.03638638562706309
1%,0.42844827787911316,0.42983505352442664,0.4133958705704058,0.39138330144613265,0.35983855889438865,0.3282789913416004,0.3177009114355871,0.07907565459317291,0.06049646150773524
2.5%,0.49915966265822576,0.5001367470275199,0.4871382919029239,0.46684217929305954,0.44246479525079685,0.4326178566444138,0.4220569718702003,0.29676724862275794,0.11407407596612637
5%,0.5680299743215315,0.5598691078769971,0.5467784047894381,0.5337426307403826,0.5070745857943637,0.5049478728600055,0.5044883407554758,0.4893397299953483,0.48434193416527666
10%,0.6497734171465205,0.6480454319945007,0.6293397705003908,0.6136879729038761,0.5854792182423804,0.5943474629276828,0.6043021530139059,0.6003886819298603,0.5895500543325155
25%,0.8004018824531033,0.7908685311604211,0.7745837176642223,0.7627652645976366,0.747538890665666,0.7508890956358054,0.7595337876109898,0.7380270773405763,0.727057725794112
50%,0.9735114822563949,0.9716829837834416,0.9689088454356575,0.9581045090184322,0.9578388315409018,0.9540059230908357,0.9578294812902072,0.9389659412977166,0.9046798904706497
75%,1.1708341353641791,1.1755638747881578,1.184212662398398,1.192238321452876,1.2031467046860318,1.2000280621296668,1.1952059144045744,1.1955016744280846,1.1895398655025615
90%,1.3588851914958582,1.375215809831683,1.401852826647845,1.4271174069038493,1.4623800783522247,1.4705102270446413,1.4464980764888782,1.5274571157932526,1.5986823944583148
95%,1.4909358326259468,1.5045887750233493,1.5492849132460689,1.5806337321949482,1.6486259610000424,1.6540505164530102,1.6154003528510845,1.762890724954834,1.9194654201575694
97.5%,1.6179593727196688,1.6398844624543425,1.6878432820848253,1.7462229417200157,1.814543075759071,1.810463362595441,1.7760294168426418,2.020433473235976,2.203242256371744
99%,1.8181342032279724,1.8158994729022664,1.873378744812293,1.9578819646205585,2.0225727913496785,2.0064264541295262,2.01885329478723,2.3022148915219955,2.386741469020763
max,4.016929876700865,4.073464421009361,7.080010730979028,5.486469807740116,4.090932400129996,3.932951896008154,5.820157428091073,3.3080951169145623,3.0153632634405048
