,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1797.0,0.9714842917337603,0.2304164613601228,0.46773238078174284,0.49721254640249374,0.5449298926293107,0.6146569067849186,0.6852622729785949,0.8128004926343552,0.9577082417513528,1.1105200075167905,1.2800000882914984,1.3860705680857441,1.4824088157531732,1.5827245683598226,1.7217669901755324
1,P6-12,5.0,1653.0,0.9603757361563503,0.22423977735002434,0.46564549894691826,0.5024359726450014,0.5394775533963826,0.5992499546564825,0.6854945455480489,0.8056908444002517,0.946545853461091,1.106803586766743,1.2518655764561613,1.3476003645955275,1.4434908611316493,1.5349927718797056,1.7387216297413768
2,P6-12,2.0,1309.0,0.9486622218411302,0.3203819098141102,0.4657822817385818,0.4965357898699081,0.5145972208799687,0.5442179891159856,0.5834862471792059,0.6628279370711412,0.8966786920988359,1.18706702858594,1.4238942986224261,1.5431890479493675,1.597790087370422,1.7032026890283203,1.7548077321980928
3,P6-12,1.0,2483.0,0.9856289789770039,0.27063959908197477,0.4646321688328282,0.480364101134488,0.5062285528017467,0.5369506548806822,0.6245242334044616,0.7906338431627289,0.9770471485804585,1.1676034107081956,1.3458119034197615,1.4645655768990617,1.5463502799119642,1.6476845092816026,1.746918362086935
4,P13-15,1.0,1326.0,0.974667130509051,0.2626414700365441,0.46514126192128424,0.48552520297336255,0.511634047387697,0.5607108525347155,0.6346433786252026,0.783063879197456,0.9490543106026939,1.146690752936291,1.3300820491668657,1.4595869284148912,1.5433709962833189,1.5964590120664044,1.704131596490777
5,P13-15,4.0,1324.0,0.9716854918883373,0.24880425214080876,0.47110197343836224,0.4982701343770483,0.5331821488505264,0.5859662488013392,0.6610799453715331,0.7957552860580642,0.9540860048683835,1.1218901535209016,1.306996987217093,1.4281501911378418,1.520099363020145,1.641571876014608,1.7464891208437505
6,P13-15,3.0,1150.0,0.9703816285891756,0.26852671615999774,0.4638564812356713,0.47405871453850434,0.49466001477217647,0.5262750943270161,0.599146114947705,0.7743251678524042,0.9638145849487818,1.1679005875187543,1.3254655578221661,1.4246065595648338,1.4822209761170801,1.5675251920101891,1.7551463021611722
7,P13-15,2.0,3224.0,0.9311656515671545,0.27917272411884114,0.46474833299520363,0.5038645362955665,0.5442876675418346,0.5756806842939787,0.6218882283486036,0.721744187961948,0.8660918852819153,1.0993686351440628,1.3416835381204664,1.487749082766908,1.606063689112062,1.67938752285455,1.755790378617791
8,P13-15,5.0,1325.0,0.9451047405530493,0.2343653262618401,0.4677016847877862,0.5060958567655011,0.5571282221180097,0.6077226148121676,0.6657241271501398,0.7847477998420742,0.9158805862363212,1.0747140400053654,1.249013543176463,1.3970884292264334,1.4984832114838695,1.6192741714948695,1.7436563003499956
9,P13-15,6.0,4357.0,0.9654657788520491,0.2336339570155703,0.46555754433066543,0.5010690319192158,0.539387194861593,0.5919691329633672,0.6637381650555552,0.8061104791128438,0.956586366761759,1.1130847868791152,1.2703914922829433,1.3693412939339518,1.4783689656766195,1.5981187912422579,1.7520257766020453
10,P13-15,7.0,1088.0,0.9664436138300073,0.24579053948294283,0.4665618271145,0.49989830431466653,0.5479168689652543,0.5946067173261245,0.6751629233375737,0.7914711144518862,0.9419726404401555,1.112973100227069,1.3097950612338447,1.4091291121224767,1.5046224432126905,1.6182075469517598,1.7562932357381926
11,P16-18,2.0,1612.0,0.9487664136042108,0.27575204723571517,0.4712211917778462,0.5211688836792663,0.5506966065307949,0.5820955475943463,0.6302876790514207,0.7284578810092289,0.9081932315428793,1.126269998450271,1.3401485580324297,1.4821941489531651,1.5796904026933085,1.6580109555352773,1.726249380740199
12,P16-18,3.0,4183.0,0.9588757425662612,0.2769653788750043,0.4643937562744468,0.48058415301009033,0.5042900977774072,0.5338875254210106,0.5945084297484999,0.7447162650023318,0.9430262122213238,1.1504509137458423,1.3240929467327371,1.4433507191548638,1.5532732264722071,1.6619591620242242,1.7576377485488042
13,P16-18,4.0,1147.0,0.9498786041423357,0.2361326300976677,0.46383997651370035,0.49171421910920987,0.5243315295237686,0.5831697837156579,0.6488051111002741,0.7819853201662537,0.9373385929180472,1.0937417393383384,1.2429171152586052,1.3703694259957688,1.4856929213437085,1.6194827894646484,1.7374724951043026
14,P16-18,6.0,1423.0,0.9693294769207321,0.23701474530864533,0.4711762492085767,0.5182514567740114,0.5511121203429793,0.6072855590034105,0.6719228291266506,0.803533197352915,0.9493850155171482,1.1129690334791662,1.2794605534921564,1.3853988141856393,1.5021034320940048,1.6005315195967225,1.7543771650927744
15,P16-18,1.0,996.0,0.980403832570264,0.2778243593720323,0.46448003140744365,0.48252552320636055,0.5016934245829179,0.5470201874177975,0.6320580364762116,0.7805632960081705,0.9541036825184975,1.1703127139456273,1.3727497156233373,1.4804339924962109,1.5711084471265528,1.6531068078711098,1.749554463006561
16,P19-21,7.0,2435.0,0.9784132611779203,0.2799769978410266,0.4646856994353776,0.48775779975859945,0.5091837668973158,0.5454075821284147,0.6144940105943192,0.7683393070985991,0.9619190972489575,1.1711826751110297,1.363616377409038,1.4900827036206332,1.5639033186380957,1.6591677643057083,1.75520915158459
17,P19-21,5.0,1809.0,0.9539244861670595,0.24180816283161977,0.4643559774709936,0.4836830444511218,0.51255185281853,0.553369063482677,0.6314855292302585,0.7832572231401019,0.9450996708075058,1.1216695122969258,1.2600757262198363,1.3608603645148705,1.478032123664975,1.5399574577313015,1.712229109820954
18,P19-21,3.0,2663.0,0.9718140922694108,0.26338631375282345,0.46473254087523974,0.4803181996778113,0.5082450141830458,0.5412718519392389,0.6188081865799422,0.7833125967319957,0.9655765445726006,1.148031523234289,1.324931464801594,1.424721847220974,1.5075995498620596,1.6100627450161342,1.74723478887003
