,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,7242.0,13794.0,9361.0,9705.0,8565.0,5565.0,3283.0,701.0,548.0
mean,0.9696732901549233,0.9574616479181844,0.9599121367091233,0.9613796933851576,0.9598688548950953,0.9622720833993016,0.9516057073415096,0.9268439459231571,0.8972863243165539
std,0.26167927549726416,0.2536123718979617,0.2664956051677784,0.26542327975162944,0.2647244402119814,0.2451555234123589,0.25008617426309276,0.2931593611734725,0.2603153781771755
min,0.4646321688328282,0.4638564812356713,0.46383997651370035,0.46425663302157366,0.46383050324986536,0.4643453109199996,0.46433565653312525,0.4667816225181587,0.4724409335294963
1%,0.49013207111556467,0.4950254636961088,0.48659970504375105,0.4832223499555442,0.4893947661482448,0.49730953550462087,0.4914965198887348,0.4922945141166902,0.49824469754136896
2.5%,0.5199926322872837,0.5310124192541849,0.5171759269858203,0.5082587237879554,0.5165699920758402,0.5308163959962995,0.5250146177786795,0.516193190667608,0.5138901306483159
5%,0.5613564977160238,0.5778321224430361,0.5557735310267273,0.5441427093562312,0.5577395356446831,0.5784850398352368,0.5644327232137252,0.5361680799195166,0.5482523127789426
10%,0.6327047604619227,0.6438163419871642,0.6234689445693847,0.6147640102470776,0.614922097203469,0.645152807763873,0.6232650245390124,0.5887364937949561,0.5957752362257953
25%,0.7794864778190271,0.7733924630111907,0.7603279133033815,0.7656102423750354,0.7615093030944029,0.7842782850888034,0.7700320636128746,0.6896593341709892,0.6989609944282131
50%,0.9534725223139717,0.9325122700245398,0.9393056969431427,0.9475044677878043,0.9453541674328948,0.9492826832596031,0.933327532951423,0.8901937623614222,0.854633804392257
75%,1.135314718309471,1.1160964729560603,1.1335752428221937,1.140333004749398,1.135858601668046,1.1209337914129942,1.1150122560122173,1.1117659012151506,1.0527921037681298
90%,1.3255659519007543,1.3035064522004305,1.318053513186138,1.315525996494369,1.3166167886381377,1.2872765102574273,1.2895626612975966,1.3614299800778469,1.2509185454309129
95%,1.4434235016815218,1.424861969364877,1.4432572462196427,1.4358395398885149,1.4318520813080298,1.3975939705569038,1.3886961388393648,1.5011794839052301,1.397561355939029
97.5%,1.5356238174746508,1.5280309648667072,1.5551461967289364,1.5261387886770459,1.5289864039976784,1.4901824577762834,1.4825273455581525,1.6158633934414728,1.5009226749006574
99%,1.634380242994524,1.6340484914988818,1.6476527363620528,1.6370418580162176,1.6296947426150181,1.5957437145140756,1.6041436269766356,1.7010194842107416,1.6398725495631121
max,1.7548077321980928,1.7562932357381926,1.7576377485488042,1.757041635655744,1.7574490320004323,1.750115872430679,1.756962694261917,1.752496337457177,1.7511810602826885
