,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,2245.0,0.011526814773201662,0.003698781712016975,0.0028381780721247,0.0047522699087858,0.00551155894063412,0.006292820628732361,0.0075226980261504,0.0092774853110313,0.0112153813242912,0.0133363856002688,0.015619134902954104,0.0175173580646514,0.019237049482762742,0.02121553324162955,0.0701304674148559
1,P6-12,5.0,2067.0,0.008304901800109775,0.0025786104140649298,0.002761882962659,0.003489127946086146,0.004139772639609796,0.00475013367831705,0.00550240343436598,0.0066834515891969,0.0080262459814548,0.0095216296613216,0.011236743628978701,0.012584115192294047,0.0141977570019662,0.016538033485412523,0.027450980618596
2,P6-12,2.0,1495.0,0.006590080765203638,0.0028994187850706447,0.0027466239407658,0.002989852749742514,0.0032043945975601,0.0034637979697436,0.003723201341927,0.0043945983052253,0.0060120546258986,0.008140688296407399,0.0101319905370473,0.011209277808666198,0.012583352252840923,0.014238498304039155,0.0426794849336147
3,P6-12,1.0,3073.0,0.009196612111793092,0.003597632624206443,0.0024872205685824,0.0033112077508121,0.00373540855944148,0.0041046771220862,0.0049744411371648,0.0067139696329832,0.0087739378213882,0.0112306401133537,0.013699550181627202,0.015188830532133494,0.016861218959093,0.019300221055745987,0.0513008311390876
4,P13-15,1.0,1898.0,0.008554289784543442,0.003556820443352631,0.0025635156780481,0.003341268023941607,0.0037144274043384674,0.0041657132096588,0.004969863500446051,0.0065156025812029,0.0081788357347249,0.010269321501255,0.01215075906366105,0.0136568248271942,0.015115205943584438,0.017395743653178173,0.0956893265247345
5,P13-15,4.0,1611.0,0.010701935481503187,0.0038365382083754883,0.0025940337218344,0.00381780727766453,0.0046234838664531,0.0055008775088936,0.0065613794140517,0.00824750121682875,0.0101167317479848,0.01264209952205415,0.0153658352792263,0.01738765556365245,0.020298313349485324,0.02356298137456179,0.0369726084172725
6,P13-15,3.0,1436.0,0.007419529486568154,0.002682296404183843,0.0027924010064452,0.0030975814443081,0.0033112077508121,0.0035706111229956,0.004150453954935,0.0055542839691042,0.00723277637735,0.008899824693798925,0.0105592431500554,0.0117341876029968,0.013483253424055788,0.015312428539618833,0.024155031889677
7,P13-15,2.0,3835.0,0.006660402012257902,0.0033779056055780023,0.0025787746999412,0.003179064621217488,0.003402761882171,0.0036316472105681,0.0038910505827516,0.0044861524365842,0.0057679102756083,0.007896543946117149,0.0103303575888276,0.0124055845662951,0.014670786401256904,0.01727290790528051,0.0696116611361503
8,P13-15,5.0,1757.0,0.008067975616889255,0.0028951355869259636,0.0027161058969795,0.0035333791095762917,0.00405584801919757,0.0046356908977031,0.0052796215750277,0.0063477531075477,0.0076142521575093,0.0092164492234587,0.0113893343135714,0.012683299370109983,0.014163424167782048,0.017028457969427053,0.049607079476118
9,P13-15,6.0,5576.0,0.007106325829132987,0.0024074213181044016,0.0022430762182921,0.0031280994880944,0.0034332799259573,0.003856717783492025,0.0044556343927979,0.005569543223828,0.0067902649752795,0.00825513061136,0.009887846186757,0.011219196021556825,0.012582970783114362,0.014496070565655751,0.031448844820261
10,P13-15,7.0,1352.0,0.014084765777651713,0.006098929429077268,0.0032806897070258,0.004784771613776626,0.0056153200566768,0.006732280692085575,0.0083787287585437,0.0107576102018356,0.01316090673208235,0.016285190824419198,0.019742123037576602,0.022831311449408528,0.02851072028279302,0.04034775182604787,0.0646524727344513
11,P16-18,2.0,1920.0,0.006723681478373035,0.002411379681457989,0.0029297322034835,0.0034637979697436,0.0036316472105681,0.0038910505827516,0.0042420080862939,0.0049439230933785,0.0062561989761888,0.0079346913844347,0.009842068888247,0.011096360953524627,0.012604715488851021,0.013903258219361206,0.0289463642984628
12,P16-18,3.0,5529.0,0.007488473421941298,0.003438444235770545,0.0023346303496509,0.0028992141596972,0.0031738765537738,0.0034790569916367,0.0039978637360036,0.0052185854874551,0.0068665598519146,0.0088349739089608,0.011584649607539098,0.013818570412695352,0.016018920764327003,0.019434501081705063,0.0496528558433055
13,P16-18,4.0,1459.0,0.010872225792098018,0.010615193535645348,0.0026703288313001,0.0041593043226748035,0.004752422496676425,0.00549019607715307,0.0065766386687755,0.008201724383979949,0.0100099183619022,0.01190966647118325,0.014593728631734821,0.016591134667396444,0.018442816659808122,0.02120424225926399,0.2302128672599792
14,P16-18,6.0,1758.0,0.006756326980969317,0.00214676881353318,0.0022430762182921,0.002992904554121191,0.0033863584336358177,0.0037689784076064,0.004287785384804,0.005355916917324,0.00647745491005475,0.007869840599596474,0.0093842986971139,0.010531014390289773,0.011445411294698688,0.01330220539122819,0.0328679345548152
15,P16-18,1.0,1314.0,0.00893421549934044,0.003373547351582364,0.0027313649188727,0.003315175096504319,0.0036926832981407,0.0040283817797899,0.0048523689620196,0.00659571227151895,0.00852216407656665,0.0108644235879182,0.013266193959861922,0.0149233238771557,0.016868086066096917,0.018569008223712335,0.0309300366789102
16,P19-21,7.0,3268.0,0.01054654297932711,0.004676527286261047,0.002761882962659,0.0035960936895571443,0.004023422673344588,0.004501411691308,0.0054169530048966,0.0075684748589992,0.0100404368713498,0.0127870608121156,0.0154879074543714,0.017516594473272473,0.02044174843467768,0.024358435273170425,0.073014423251152
17,P19-21,5.0,2237.0,0.006469484323083598,0.0021358471208089867,0.0022125581745058,0.002763103684410384,0.0030975814443081,0.0034607461653649602,0.0039917602203786,0.0050659952685236,0.0062104221433401,0.0075532160699367,0.009033340960741,0.010119783505797297,0.011326772347092546,0.01309651337563986,0.0205844212323427
