,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8880.0,17465.0,11980.0,12642.0,10977.0,7197.0,5080.0,969.0,791.0
mean,0.009139334566462192,0.008160140592327003,0.007829131670929721,0.008289844565847984,0.007638350634940731,0.007875092894579543,0.006335654123924534,0.006310259147957532,0.005493479453830185
std,0.0036872802469028717,0.00395252651123513,0.004868875232879969,0.0038002988843611556,0.0036784168162951724,0.0034649705978568967,0.002985145510112374,0.004035919626074257,0.003297077793303153
min,0.0024872205685824,0.0022430762182921,0.0022430762182921,0.0021362630650401,0.0020752269774675,0.0018768596928566,0.0018616006709635,0.0018463416490703,0.001815823605284
1%,0.003277485312428249,0.0032196536194533,0.0030212863348424,0.003082322422415,0.002758220797404632,0.002868696115911,0.0027771419845521,0.0022638284880667843,0.00221103227231648
2.5%,0.0036621652543544,0.0035248340573161,0.0033722438383847,0.0034485389478504,0.0030212863348424,0.00318760967347768,0.0030060273129493,0.0024597543291747202,0.0023041123058646
5%,0.0040588998235762,0.0038605325389653,0.0037384603638201,0.0038605325389653,0.0033264667727053,0.0035553521011024,0.003295948728919,0.0027008468750864,0.0025482566561549
10%,0.0047913328744471,0.0043793395161628,0.0042725261300802,0.004487678362056583,0.003830014495179,0.0041809719987213,0.0037079423200339,0.002975509269163,0.0028534370940178
25%,0.0066071567125618,0.0056610973551869,0.0054474710486829,0.0058289463631808,0.0050965133123099,0.0054627298377454,0.0046540019102394,0.0038147554732859,0.0034943160135298
50%,0.0087129017338156,0.0073853665962815,0.0071717402897775,0.0075989929027855,0.0068970778957009,0.0071412222459912,0.0057984283193945,0.005523765925318,0.0046234838664531
75%,0.0111543452367186,0.0096437018364667,0.0093080038204789,0.0099336234852671,0.0093842986971139,0.0096437018364667,0.0071412222459912,0.007797360420227,0.0063477531075477
90%,0.013688868377357706,0.0126955062150955,0.0118867782875895,0.0127870608121156,0.0122072175145149,0.0123750669881701,0.009263752400875055,0.0103608760982751,0.009002823382616
95%,0.0153963528573513,0.0149691002443432,0.0138246743008494,0.014754711464047358,0.014193942584097284,0.014209201373159798,0.011170366965234229,0.011944762244820556,0.011474784463644
97.5%,0.017212176695466,0.0173647664487361,0.0158236064016819,0.0167391467839479,0.01631494686007491,0.01614557057619094,0.013444342487491634,0.0144777597859501,0.014484626473858925
99%,0.0198062099516391,0.02086457632482051,0.0186923015862703,0.020132143273949608,0.01941252805292601,0.0191055170446634,0.01700572194531555,0.019913633614778437,0.01908751130104065
max,0.0701304674148559,0.0956893265247345,0.2302128672599792,0.073014423251152,0.0578316934406757,0.0360418111085891,0.070664532482624,0.0680552348494529,0.0339208059012889
