,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8881.0,17467.0,11983.0,12648.0,10985.0,7200.0,5082.0,970.0,791.0
mean,0.12273392635964418,0.13076086334230264,0.12334140031711592,0.10135989879822897,0.08848429676832044,0.0775,0.17197953561589926,0.016494845360824743,0.03286978508217446
std,0.3458603354705486,0.35453113723849955,0.3468750028406036,0.31814186962511076,0.29129036822060966,0.27609157764107817,0.42683316996644766,0.12743432503585714,0.17840852560893428
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
95%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
97.5%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
99%,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
max,3.0,3.0,2.0,3.0,2.0,2.0,4.0,1.0,1.0
