,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8881.0,17467.0,11983.0,12648.0,10985.0,7200.0,5082.0,970.0,791.0
mean,0.6182025371399689,0.6221617821660157,0.5649544126849244,0.47376534843848117,0.4037378403080888,0.37282185240969057,0.776728430748369,0.05134953533541141,0.10641572378289836
std,2.150608151018208,2.1024632271264934,1.9289526297741604,1.8093218164506455,1.665211560352394,1.6227820249749658,2.423326326217934,0.4562728653249903,0.6452764174629583
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,1.6,1.885370247463733,1.591804425462983,0.5450450450450615,0.0,0.0,2.674075704225363,0.0,0.0
95%,4.859335038363171,4.737111807247557,4.5153358011634035,3.71900826446281,3.0104712041884816,2.8498713356747905,5.521957879774061,0.0,0.0
97.5%,7.831325301204819,7.291342189647261,6.810785368477662,6.350528134179546,5.729509194982331,5.601217088922005,8.48637391449101,0.0,1.9691119691119692
99%,11.155500180860914,10.88453437951684,9.735207861699939,9.425257731958798,8.893471524735547,8.790617995517152,12.076176534374309,2.051964698054852,3.4369853514778583
max,26.57894736842105,28.286852589641438,21.4,20.973782771535586,24.822695035460992,22.71186440677966,27.55905511811024,7.8671328671328675,7.510729613733906
