,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,62889.87052896726,37929.51777325884,22944.0,24147.84,25788.0,27590.4,30564.0,38360.0,51744.0,74864.0,108504.00000000007,133453.7999999999,166849.39999999994,209030.8800000001,384564.0
1,P6-12,5.0,1780.0,74799.48314606742,46098.810576146214,22816.0,25845.89,28346.2,31818.4,36098.9,47163.0,64810.0,88001.25,122861.10000000005,150561.14999999997,183346.59999999983,237227.28000000006,715515.0
2,P6-12,2.0,1437.0,143397.624217119,68297.86822830849,26636.0,44049.76,52658.5,60439.2,72009.6,96976.0,131608.0,175899.0,222905.40000000002,256332.00000000012,304006.7999999999,385850.3600000007,724084.0
3,P6-12,1.0,2838.0,98818.94432699084,59654.589002399385,24284.0,29981.48,34435.7,39437.6,47125.2,61335.0,84818.0,117079.0,162703.90000000014,201914.80000000002,248830.69999999966,335152.3100000001,655361.0
4,P13-15,1.0,1535.0,104050.51530944626,64378.302323781194,22828.0,31048.32,35505.0,41093.6,49192.0,63322.0,87904.0,124528.0,176436.60000000003,223274.39999999997,286731.1999999998,344163.74,662534.0
5,P13-15,4.0,1468.0,71634.60286103543,43943.48071823926,22816.0,25108.12,27808.8,30184.6,34428.8,44348.0,61326.0,86123.0,116484.0,148177.29999999984,172232.9250000001,215685.1199999998,582831.0
6,P13-15,3.0,1292.0,82384.60681114551,54809.51681277983,24200.0,28329.72,30852.175,33960.0,39150.8,48776.75,67582.0,95615.0,141116.80000000005,180226.40000000008,217847.5999999996,302308.4499999997,621604.0
7,P13-15,2.0,3506.0,139799.303479749,78776.72311012988,24480.0,37645.6,44833.5,53541.0,65602.5,89600.0,122678.0,170951.0,228491.0,280003.25,321895.625,430545.99999999837,1246156.0
8,P13-15,5.0,1447.0,64551.07878369039,39975.20176382848,22792.0,24590.72,26304.0,28060.8,31795.199999999997,40230.0,54192.0,75808.5,102688.00000000003,134089.20000000004,170480.99999999994,218820.45999999985,549262.0
9,P13-15,6.0,4875.0,78893.46994871795,49631.30078764082,23280.0,25710.16,28792.8,31718.4,37120.8,48388.0,66568.0,94232.0,131056.80000000002,166934.8000000001,201813.1999999999,253333.3000000003,960108.0
10,P13-15,7.0,1236.0,110354.7281553398,71612.96550192208,22872.0,29794.8,34649.125,40554.0,47308.5,64339.0,92924.5,132964.0,190786.0,247657.5,303822.5,373332.0000000009,633618.0
