,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,92598.26156716418,96091.14714499642,105928.44329701563,114159.86993679337,132960.31317689532,119755.90767311292,115132.59984276729,276834.93518518517,309722.01608187135
std,60642.05008596592,65812.06384728514,76619.15767271332,87199.32439907535,112751.31590016691,109869.57404086292,91393.70672150061,195619.71261753223,267169.97048286285
min,22816.0,22792.0,22800.0,22816.0,22800.0,22848.0,22972.0,25600.0,23556.0
1%,25953.56,26601.28,27964.32,27455.36,27371.36,26695.04,28677.2,47866.33,31952.0
2.5%,28539.9,29792.0,31488.0,31606.4,31815.3,29972.4,33372.0,63228.9,39074.1
5%,32130.600000000002,33519.2,36329.6,36318.4,36448.0,33345.2,38078.0,75430.2,45492.2
10%,37755.200000000004,39686.4,42972.0,43222.4,43656.8,39553.6,45058.0,95304.8,62127.6
25%,51984.0,53454.0,58170.5,60744.0,63455.25,55153.25,61419.0,136533.0,107888.0
50%,76638.0,78656.0,85016.0,88908.0,99467.5,85526.0,89455.0,219024.5,221473.0
75%,115118.0,117472.0,127420.0,137631.0,159697.0,140998.0,134848.0,361020.25,408746.0
90%,166145.60000000003,173608.00000000006,190045.60000000003,209313.00000000006,259187.2,233698.80000000002,203372.5,522023.2000000002,730237.8000000004
95%,203767.59999999995,215776.39999999982,242996.29999999993,275780.19999999995,350850.74999999924,322563.8,281709.75,647688.6999999994,903085.65
97.5%,242184.9,266020.34999999974,314446.6,346472.79999999976,452965.52500000026,428841.1249999997,364204.5,842006.3249999998,1036886.9499999998
99%,306353.77999999956,333839.84,401769.15999999974,461830.52000000066,606100.3999999971,596012.2100000018,508241.39999999997,997940.61,1152928.3599999992
max,724084.0,1246156.0,1136256.0,1150771.0,1222038.0,1212164.0,970964.0,1187455.0,1246657.0
