,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,3.504114915394119,1.281511308229505,1.928343949044586,1.9714797156001673,2.052313571319253,2.1404512413166454,2.2752727784875706,2.613983488132095,3.2062937062937062,4.077192164179104,5.037760566624439,5.942047812846451,6.822545924225029,8.05479188807566,18.533798952357195
1,P6-12,5.0,1780.0,3.7122763947450355,1.3109942580925953,1.9272116461366184,1.9999053605987682,2.1071450672693093,2.2734160288524112,2.481727980564908,2.8595443275756294,3.4564209546408113,4.24123367912863,5.1368375805229265,5.924136289954442,6.98398500581813,8.650836991688355,17.14711944018405
2,P6-12,2.0,1437.0,5.083052987516807,1.7123453611630948,2.026910233745826,2.3662940727251365,2.565042774365224,2.7749984673337735,3.1548432072157646,3.8315629742033375,4.862368257904525,6.034958129246326,7.245442158272331,7.986201080893355,9.115278574922968,10.11903593811027,18.58204269568857
3,P6-12,1.0,2838.0,4.042972124242362,1.5309964228255635,1.9286847712744253,2.0640539542941574,2.19067701655971,2.3691983282574665,2.572847872003686,3.0027004031779914,3.6976482715642476,4.651299693682702,5.9311362885447645,6.884237934198388,8.025231138513792,9.301755901622771,18.400233675191483
4,P13-15,1.0,1535.0,4.3923982890053175,1.8036992824993139,1.9360019175455416,2.0622638620689657,2.1942376110467134,2.381548413263991,2.6138677035328066,3.144814904355659,3.973840419657648,5.162016095572131,6.595696960592525,7.718797269140049,8.922296591360862,10.46655095343507,19.56958400321544
5,P13-15,4.0,1468.0,3.632087915000233,1.283458215363712,1.9353703703703704,2.0049645362466806,2.085529706096157,2.1725384636999228,2.3260294128961276,2.706408287289144,3.339008779978082,4.251565036990133,5.297518598576014,6.071391832807279,6.780922267506405,8.018324173762373,13.44506476105404
6,P13-15,3.0,1292.0,4.070859485304623,1.5253855194260626,1.927772126144456,2.030053916246664,2.1741653263078744,2.3500694868590872,2.607902312881885,3.0674977824435143,3.730274498991525,4.617538904764304,5.89500090973828,6.852116064605476,8.018621710526311,9.824164917735457,14.462105969148222
7,P13-15,2.0,3506.0,4.851901846148386,1.8679188391061645,1.9475728155339809,2.149324445899727,2.336152055028625,2.5737904662526727,2.8696210616277873,3.55872575791013,4.498266674665589,5.738772144916076,7.165911771828253,8.260339102151189,9.250122837474557,11.089586534705038,20.385057471264368
8,P13-15,5.0,1447.0,3.4444972919360928,1.244720554064342,1.924711282203139,1.9964499732127687,2.0717385020554984,2.160047406817013,2.2776566138956533,2.567725325922047,3.1181122448979592,3.916396713143408,5.031075536863214,5.791105767884251,6.808393813758571,7.762696248423699,15.058028860914952
9,P13-15,6.0,4875.0,3.5743618569149898,1.3307450071105407,1.92542101042502,1.9808602322972546,2.048016326530612,2.1481982877467143,2.2889221533544846,2.66547277252174,3.2787106736151324,4.1374514861905975,5.150512866073304,5.931970344604103,6.878426312296427,8.40215492137449,18.32205882352941
10,P13-15,7.0,1236.0,4.533692098651365,1.7769026564654724,1.9474327628361856,2.167237722316111,2.3518865983647066,2.516243773264108,2.793216165112433,3.329743751620497,4.147325930433018,5.233276560462862,6.692720930232558,7.917900870879892,8.837081292808053,10.55080306660923,16.790083867784904
11,P16-18,2.0,1761.0,5.414427707566589,2.1777881020262253,1.9403263984053816,2.2318504349880057,2.4782204622595767,2.76294776119403,3.107742606628028,3.902097902097902,5.006338601224892,6.417399391274941,8.301126760563381,9.566278337531486,11.05575422626788,12.541773835576699,18.57597866854196
12,P16-18,3.0,4657.0,4.309231635778938,1.7189183202463978,1.9365401987353208,2.0814008565712983,2.2179941765759894,2.399953878728149,2.645358700140548,3.1687143310082435,3.933090024330901,4.999834574028123,6.374480772281822,7.488800185211171,8.690601603457345,10.56466556195732,19.544040930979133
