,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,4.022614691712061,4.059990873642718,4.361263327385592,4.555356951837708,5.03103767933483,4.793395611663969,4.376931710178136,7.34087055609693,7.122823051998603
std,1.5573927942184345,1.6541719003462532,1.8385539095536705,1.9767967666759232,2.445353485814102,2.490729187259907,2.115106832509549,3.4545754395339117,3.8343774567184927
min,1.9272116461366184,1.924711282203139,1.924863387978142,1.9260700389105057,1.9244791666666667,1.9258572752548655,1.9271791099669,1.9328218477417,1.9277083333333331
1%,2.02428937207565,2.01121271150773,2.055552583374964,2.0593028044018458,2.0738249626904937,2.0338568206132135,1.9961874065246774,2.1156898262421278,2.04642741316446
2.5%,2.133660833633255,2.111727252855347,2.178188445218148,2.2059280281091938,2.2331791326775434,2.152504578754579,2.072212873531423,2.52993553507821,2.1799749698366897
5%,2.2701034493064243,2.2338241199303974,2.3391364657814093,2.3809990205680704,2.3899971392311476,2.298928094545812,2.1816590122974917,3.033909949006553,2.518737018693082
10%,2.4811010166523957,2.4374901269847733,2.5723052447177435,2.61453020558476,2.6632481949782654,2.529614558712683,2.405506211540694,3.507274177975907,2.9742284013117786
25%,2.935956208474309,2.9014363791044007,3.0866439208882652,3.2059672762271414,3.3342359115004467,3.0876640780216507,2.9128701086147895,4.89913427326577,4.2351784289794585
50%,3.6606958071190476,3.670815736830407,3.9375,4.092041350105866,4.4073583761431205,4.0922041103442925,3.8143319886392204,6.6161782164963565,6.178018378426124
75%,4.703351242550254,4.771678576863689,5.125632720300019,5.371023513139695,6.007299601292994,5.716797396004958,5.177240119127857,9.051424533353629,9.17988100669764
90%,6.033498841602451,6.129228028560031,6.611973720142002,6.996054455309941,8.164751601943582,7.836756722253174,7.0272197501467,12.167212435964228,12.670738565495741
95%,6.949892861342727,7.14351831317018,7.797501895450129,8.277636966496985,9.884186405556571,9.705017281233614,8.5438755367322,14.098818350063278,15.104261001352176
97.5%,7.945674345204443,8.279038484406268,9.007444285955994,9.823988981005938,11.53729461915395,11.398034445605774,10.198040024338955,16.38050282747141,17.027440881490254
99%,9.237561279911327,9.594135735488475,10.942657718207249,11.648662849017217,13.723087607411351,14.249873487521251,12.177437666994162,17.942197136877194,18.202410412158947
max,18.58204269568857,20.385057471264368,19.544040930979133,19.741165560328,20.028418284789645,20.365105540897098,18.84644750795334,19.956178221141755,20.15312784201637
