,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,145.2926952141058,86.08805197929044,1.0,35.0,47.0,55.0,66.0,88.0,125.0,174.0,249.60000000000014,303.79999999999995,379.7999999999997,444.1600000000001,782.0
1,P6-12,5.0,1780.0,152.20505617977528,95.19801012823,24.0,41.0,52.0,62.0,73.0,96.0,129.0,180.0,253.10000000000014,311.04999999999995,369.52499999999986,505.84000000000015,1340.0
2,P6-12,2.0,1437.0,297.66109951287405,139.19645531524083,57.0,89.72,110.0,132.8,159.0,208.0,270.0,358.0,450.8000000000002,549.0,656.5999999999995,819.8000000000045,1272.0
3,P6-12,1.0,2838.0,208.46194503171247,124.30599076824643,21.0,55.0,67.0,78.0,95.0,131.25,182.0,250.0,336.0,415.0,546.2249999999995,697.340000000002,1346.0
4,P13-15,1.0,1535.0,303.96026058631924,227.67141138461292,17.0,50.34,68.35,87.0,108.4,151.5,232.0,385.0,583.0,723.3,958.0,1191.500000000002,1910.0
5,P13-15,4.0,1468.0,159.41280653950955,90.6956822302623,18.0,39.67,54.675000000000004,65.0,78.0,101.75,141.0,191.25,257.29999999999995,310.0,380.2750000000003,470.96999999999935,1023.0
6,P13-15,3.0,1292.0,168.32275541795664,117.63576105110137,17.0,51.82,56.275,67.0,76.1,99.0,135.0,198.0,290.0,380.35000000000014,499.7249999999999,613.8099999999993,1358.0
7,P13-15,2.0,3506.0,307.26326297775245,167.44481664559066,27.0,90.0,108.0,125.0,150.0,200.0,272.0,375.0,497.0,604.75,720.375,873.6499999999987,2758.0
8,P13-15,5.0,1447.0,122.33448514167243,79.93289071968175,23.0,39.0,46.0,52.0,59.0,77.0,104.0,138.0,199.4000000000001,265.10000000000014,333.0,461.6399999999994,901.0
9,P13-15,6.0,4875.0,158.59364102564103,102.89713043002135,11.0,43.0,52.0,60.0,72.0,95.0,135.0,191.0,267.0,333.0,417.7499999999982,540.0,2108.0
10,P13-15,7.0,1236.0,199.96925566343043,130.55948380376446,32.0,53.0,64.0,76.75,88.5,114.0,163.5,244.25,362.0,455.75,551.5,701.3000000000002,1210.0
11,P16-18,2.0,1761.0,420.15616127200457,254.45029436875623,20.0,86.60000000000001,115.0,138.0,171.0,245.0,361.0,527.0,750.0,903.0,1068.0,1313.400000000002,2152.0
12,P16-18,3.0,4657.0,232.06441915396178,165.48846438904704,8.0,55.56,67.0,78.0,92.0,128.0,187.0,283.0,421.0,523.1999999999998,643.5999999999995,855.8799999999992,2261.0
13,P16-18,4.0,1315.0,170.31178707224333,106.18870572340478,3.0,44.28,54.0,63.0,75.4,105.0,145.0,202.0,277.60000000000014,357.29999999999995,438.59999999999945,619.9799999999957,1147.0
14,P16-18,6.0,1607.0,184.0690728064717,140.03264459494116,16.0,43.12,54.150000000000006,63.0,73.0,99.0,142.0,214.5,330.0,445.0,599.1999999999989,772.5400000000022,1348.0
15,P16-18,1.0,1215.0,235.66090534979423,166.75349101365845,17.0,55.14,64.35,77.0,93.0,129.0,188.0,290.0,433.60000000000014,546.0,672.2999999999997,823.7199999999998,1666.0
16,P19-21,7.0,2953.0,258.5265831357941,180.39682635911777,12.0,56.0,70.0,82.6,100.0,141.0,211.0,311.0,473.0,603.2000000000003,749.0,933.1600000000003,2287.0
17,P19-21,5.0,2022.0,174.96439169139467,108.95153568561676,24.0,44.0,53.0,64.0,75.0,103.0,152.0,211.0,295.0,371.9499999999998,452.0,577.0,1119.0
18,P19-21,3.0,2965.0,242.7433389544688,190.0834266030169,10.0,51.64,60.0,71.0,87.0,122.0,186.0,298.0,461.0,600.5999999999995,753.7000000000003,1002.760000000002,1737.0
19,P19-21,2.0,1269.0,369.6966115051221,244.186927730845,32.0,72.0,87.0,109.4,149.8,205.0,312.0,462.0,669.2,823.7999999999997,973.3,1286.9999999999968,2422.0
