,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,196.35385572139305,207.86893677973828,248.85892941733775,246.44289148045937,321.26293622142,286.90112289457267,249.5725890985325,582.9143518518518,669.7675438596491
std,125.34114774837329,154.45623508436162,192.12891428163988,190.41611391915245,274.4212806471313,271.1868560985063,186.9238530512715,404.68903653838345,556.768883920176
min,1.0,11.0,3.0,10.0,3.0,5.0,4.0,56.0,29.0
1%,45.0,46.0,51.0,48.0,45.0,42.0,42.3,98.26,63.980000000000004
2.5%,56.0,55.0,63.0,59.80000000000001,58.0,55.0,60.0,124.72500000000001,80.0
5%,67.0,65.0,73.0,71.0,72.0,68.0,73.0,157.0,95.15
10%,81.0,79.0,89.0,88.0,93.0,85.0,91.0,212.0,132.3
25%,112.0,109.0,126.0,127.0,142.0,128.0,132.0,306.75,265.0
50%,166.0,164.0,191.0,192.0,234.0,206.0,201.0,453.5,501.5
75%,246.0,258.0,307.0,301.0,408.0,345.0,303.0,759.0,897.5
90%,345.0,388.0,470.60000000000036,466.0,660.0,570.0,447.5,1102.0000000000005,1491.4
95%,416.0499999999993,494.09999999999854,621.0,607.3999999999996,873.4499999999989,783.0,590.5,1403.6999999999998,1829.5500000000002
97.5%,504.02499999999964,609.0499999999993,775.0,755.1999999999989,1049.7250000000004,1002.4499999999989,775.875,1696.6999999999998,2066.625
99%,651.829999999999,787.0,960.4599999999991,997.6800000000003,1338.8699999999972,1412.7800000000007,996.0999999999995,1979.7800000000004,2425.3599999999997
max,1346.0,2758.0,2261.0,2422.0,3043.0,3284.0,1961.0,2619.0,3890.0
