,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,62.27858942065491,48.09190284213139,5.0,10.0,14.0,18.0,22.0,32.0,49.0,77.0,117.0,152.79999999999995,193.79999999999973,235.9600000000005,656.0
1,P6-12,5.0,1780.0,71.60786516853932,54.790460317598175,6.0,12.0,16.0,20.0,26.0,40.0,60.0,87.0,125.0,161.0,201.52499999999986,262.6300000000001,893.0
2,P6-12,2.0,1437.0,140.27000695894225,76.67438858194431,1.0,32.36,43.0,52.0,65.6,91.0,124.0,171.0,231.0,280.0,321.0999999999999,398.400000000001,923.0
3,P6-12,1.0,2838.0,119.39570119802679,80.1397629769054,12.0,26.0,32.0,40.0,50.0,70.0,101.0,146.0,199.0,253.0,333.0,436.0,979.0
4,P13-15,1.0,1535.0,125.28599348534202,85.58330208859952,11.0,26.68,34.0,42.0,52.0,73.0,102.0,151.0,221.60000000000014,282.4999999999998,366.59999999999945,486.98000000000025,762.0
5,P13-15,4.0,1468.0,69.33923705722071,57.73529292419504,4.0,11.0,15.0,18.0,24.700000000000017,36.0,55.5,86.0,125.29999999999995,157.0,203.0,292.64999999999964,823.0
6,P13-15,3.0,1292.0,69.06037151702786,58.65533833306597,4.0,9.0,12.0,17.0,23.0,34.0,53.0,84.0,127.80000000000018,168.9000000000001,247.7249999999999,293.8999999999992,638.0
7,P13-15,2.0,3506.0,145.780946948089,98.25540645650638,5.0,28.050000000000004,38.0,48.0,60.0,86.0,123.0,176.0,257.0,314.75,383.375,501.89999999999964,1776.0
8,P13-15,5.0,1447.0,59.72425708362128,43.79819004590971,1.0,10.46,13.0,17.0,23.0,34.0,49.0,72.0,106.0,138.0,173.69999999999982,214.0,550.0
9,P13-15,6.0,4875.0,78.81866666666667,66.03639168629445,3.0,12.0,17.0,20.0,26.0,40.0,62.0,96.0,144.0,191.30000000000018,256.0,343.0,1364.0
10,P13-15,7.0,1236.0,103.56553398058253,78.89281249748431,11.0,20.0,25.875,30.0,36.0,53.0,80.0,127.0,200.0,263.25,315.5,398.0,759.0
11,P16-18,2.0,1761.0,178.59625212947188,125.80916269399327,6.0,29.6,39.0,53.0,67.0,96.0,147.0,222.0,329.0,427.0,495.0,642.8000000000002,1550.0
12,P16-18,3.0,4657.0,101.41378569894782,83.21991375451476,4.0,16.0,20.0,25.80000000000001,33.0,51.0,80.0,126.0,190.0,248.19999999999982,311.0,444.3199999999988,1260.0
13,P16-18,4.0,1315.0,74.17566539923955,63.32649819697123,4.0,10.0,13.0,18.0,24.0,37.5,59.0,90.0,132.60000000000014,184.5999999999999,241.29999999999973,338.9399999999971,684.0
14,P16-18,6.0,1607.0,86.71997510889857,81.51267574340015,7.0,14.0,16.0,20.0,26.0,40.0,63.0,104.0,165.0,237.39999999999964,325.5499999999997,442.0,910.0
15,P16-18,1.0,1215.0,129.80246913580248,102.92896973657022,10.0,21.0,27.0,34.7,43.0,64.0,98.0,159.5,247.20000000000027,335.0,412.9499999999996,515.5799999999997,1095.0
16,P19-21,7.0,2953.0,136.25973586183542,109.48448087454783,3.0,20.52,28.0,34.0,45.0,67.0,105.0,165.0,261.0,344.8000000000002,438.0,572.9200000000001,1005.0
17,P19-21,5.0,2022.0,80.72601384767557,63.91314233646266,3.0,13.0,16.0,21.0,26.0,41.0,63.0,101.0,150.9000000000001,198.94999999999982,249.4749999999999,328.9499999999998,724.0
18,P19-21,3.0,2965.0,88.47824620573356,80.4863754215713,3.0,13.0,18.0,22.0,29.0,43.0,67.0,105.0,162.0,220.0,300.0,408.5200000000009,1280.0
19,P19-21,2.0,1269.0,210.33333333333334,170.43215622005442,6.0,22.0,36.400000000000006,48.0,64.0,101.0,165.0,261.0,411.4000000000001,525.5999999999999,671.3,851.2399999999996,1610.0
20,P19-21,1.0,695.0,148.3525179856115,138.6997910458333,7.0,19.94,27.35,32.0,44.0,65.0,111.0,173.5,293.0,398.29999999999995,544.9499999999995,691.8999999999965,1163.0
21,P19-21,4.0,1329.0,91.94431903686983,92.10887628272756,6.0,10.0,14.0,18.0,25.0,40.0,66.0,110.0,174.20000000000005,236.79999999999973,346.1999999999996,512.0400000000002,1022.0
22,P22-24,7.0,1190.0,194.0201680672269,170.79601769417928,4.0,20.0,30.725,40.0,52.900000000000006,86.0,137.0,242.75,421.10000000000014,549.0999999999999,665.5499999999997,804.4399999999996,1698.0
23,P22-24,6.0,1976.0,136.36487854251013,140.32441963395212,1.0,14.0,21.0,28.0,36.0,56.0,92.5,161.0,281.5,390.0,538.875,748.5,1457.0
24,P22-24,5.0,767.0,186.66101694915255,167.5134843736654,9.0,12.66,22.0,31.0,43.0,72.0,132.0,246.0,399.79999999999995,531.0,681.0,809.540000000001,1045.0
