,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,98.4450248756219,97.21381600364607,111.92818569398389,117.52452595032493,142.31317689530687,131.85495945102932,145.89150943396226,344.0520833333333,378.3201754385965
std,74.17463055527524,81.29440508886638,97.59752272271253,112.84488268177104,143.76830505684646,136.08336576655614,121.78324543595343,261.2171808905574,333.3954534439976
min,1.0,1.0,4.0,3.0,1.0,1.0,1.0,13.0,4.0
1%,14.0,13.0,14.0,14.0,13.0,12.0,20.0,32.63,17.0
2.5%,18.0,18.0,19.0,19.0,18.0,17.0,28.0,47.150000000000006,27.0
5%,23.950000000000045,23.0,25.0,24.0,24.0,22.0,35.0,73.15,38.15
10%,31.0,30.0,33.0,32.0,33.0,30.0,46.0,100.0,59.0
25%,50.0,46.0,51.0,51.0,57.0,52.0,72.0,158.0,125.0
50%,81.0,75.0,84.0,84.0,97.0,89.0,113.0,266.5,281.0
75%,127.0,122.0,138.0,142.0,173.25,158.25,179.0,466.75,522.5
90%,180.0,186.0,220.0,236.0,303.0,282.0,277.0,676.0,875.5000000000007
95%,227.0,247.0,292.0,321.0,422.0,389.0,366.25,825.5499999999997,1107.0000000000005
97.5%,282.0,307.0,380.0,430.0,557.7250000000004,519.7249999999995,477.25,1012.349999999999,1272.2249999999983
99%,369.829999999999,400.84000000000015,494.0,581.0,718.289999999999,684.8900000000003,661.5499999999997,1350.33,1473.0599999999993
max,979.0,1776.0,1550.0,1610.0,1698.0,1761.0,1288.0,1853.0,1684.0
