,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,0.9895654258290981,0.33105237129009824,0.2827446153962903,0.442628632069041,0.5043875327053738,0.5544425474127563,0.6318007155677816,0.7717538257975082,0.9478370146192864,1.1607709179865269,1.3718872982360957,1.5391323579641067,1.6941920213128543,1.995142204366154,5.279944604320392
1,P6-12,5.0,1780.0,0.9693859843689481,0.3484552229708777,0.2717910266339618,0.4383052629013134,0.479885055200102,0.5315026674112701,0.5906788582546755,0.7323055779450444,0.9100805410709577,1.135884109264036,1.4209311375222968,1.6220080118222033,1.8361745502801192,2.1300237528181754,3.544169185626771
2,P6-12,2.0,1437.0,0.9957116943674313,0.3559536705318478,0.36923264729168437,0.4551660704210957,0.5043617881358984,0.5549182373008937,0.6231760129824093,0.7447116794744418,0.9245639140771916,1.1808801451725355,1.4552225741066498,1.6826076962596945,1.8737300141734612,2.214864075105932,2.773413490279735
3,P6-12,1.0,2838.0,0.9851991870450257,0.3363052219144728,0.08354745144210103,0.42792864460594887,0.49093583451087824,0.545135286235844,0.6102046826298759,0.7464959617981624,0.9299352922312967,1.1638871445636287,1.4260475041015992,1.5806920462586167,1.7554985958623035,2.059400223587473,2.972787978429589
4,P13-15,1.0,1535.0,0.9983379396733129,0.35567685251563974,0.3285150894364068,0.46649706785450196,0.5042223684176524,0.5557926022829471,0.6177253618705226,0.7596133954110778,0.93799291791889,1.1721929256547527,1.4309793708725007,1.6362757971287287,1.8755680238146573,2.0902663590315886,4.137411619642377
5,P13-15,4.0,1468.0,0.9967392203543145,0.3530882785938039,0.16700025257307127,0.3745166079784137,0.47635698248412994,0.5147381216079927,0.5994458379487732,0.756678533350409,0.9551699942389545,1.184678061895354,1.4317904846266476,1.618153921846136,1.7884362819059543,2.0420691871677885,3.687212297754324
6,P13-15,3.0,1292.0,0.9741825699103218,0.6026884334767698,0.2919540820063649,0.3894387839260715,0.4412964263926012,0.48920395030162966,0.56077577639209,0.6880855191775732,0.8964838023452864,1.1491287493543954,1.4471238372703368,1.675551865465413,1.920862765368048,2.399971683890056,17.58885256916539
7,P13-15,2.0,3506.0,0.9799391235826835,0.3754138554135333,0.27537169425729396,0.40412105648000446,0.45836858975691375,0.5076926271673945,0.5670371755619544,0.7123275438416163,0.9102299249586322,1.1700549728821752,1.4643661716611827,1.7183148646586133,1.9086713356356897,2.1868752904976483,3.1718571644656346
8,P13-15,5.0,1447.0,0.9620305321443384,0.3634901561697885,0.2699466961161714,0.41885985602381526,0.46549267012475243,0.5085636123769728,0.5726640740927611,0.7068420421880794,0.8937103055864986,1.1460720363790922,1.4320613211814444,1.629827111535768,1.8327068634840737,2.1025893387522547,3.0501908159586706
9,P13-15,6.0,4875.0,0.9784886014142488,0.3962257312962811,0.17685502176012008,0.4017326565049195,0.4495457480202308,0.49837310711992777,0.5607553810177037,0.6943102771387845,0.9011403843405601,1.1791850489659246,1.4770941473735004,1.7137832337921093,1.928779844700698,2.2372393517308327,5.683220507235467
