,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,0.9846551517521478,0.9806000026254321,0.9883500051435086,0.9832369791846787,0.994824007477552,0.9949541229282685,0.988059023127268,0.9990498519170127,1.0192704372644008
std,0.34138571249340843,0.40412728266138964,0.3916433432935543,0.42124358360353487,0.42904632044101304,0.438900204587012,0.3802628341802783,0.41774786551414617,0.48058015788100006
min,0.08354745144210103,0.16700025257307127,0.2057247967747686,0.22600209130798224,0.21863916349518425,0.11877099813372981,0.2395851573840304,0.22070413198959962,0.12699708101125892
1%,0.4380939446862353,0.397659996341096,0.38938465923463106,0.3620850842436099,0.386574550264411,0.27606729238231,0.3680897685319715,0.3861902295653004,0.30032878535376406
2.5%,0.49210616403961616,0.4564219131826671,0.4418238407178652,0.4113347932921377,0.437485098889201,0.3498633227608721,0.41669930671369365,0.4330144348614169,0.37069215028516916
5%,0.5460891716996386,0.5051853788905618,0.48755775136015855,0.4658958600146289,0.4903503483507637,0.43288511842869054,0.4743828350865762,0.48855230225765317,0.44514646656153634
10%,0.6123650650181838,0.5708361606277066,0.5641185707706382,0.5400359086760653,0.559660647039855,0.5221576378848622,0.5555646125062621,0.5535713503485055,0.5309261348175404
25%,0.7489005969676015,0.7095934603661346,0.7098320059393717,0.6820943053943895,0.7050120811412424,0.6935592229329999,0.7119259774363883,0.7094914225808173,0.6813494783230989
50%,0.9296049186457382,0.9113644846556749,0.9218457487229696,0.901255559719753,0.9143304271334042,0.9280071808122063,0.9355538863014004,0.9169642712763799,0.9163880929673205
75%,1.1595475897306275,1.1712096655778559,1.184550614847911,1.1932443531124732,1.1912255870639332,1.2218866806969295,1.199316463538156,1.2039090628650817,1.2649073321890731
90%,1.4170191490203452,1.4623582910438115,1.4883081513903678,1.5278955501464186,1.5154260728849507,1.5273380223571904,1.4887806180378633,1.583058511919268,1.6389677152816444
95%,1.5989723212804516,1.6939316579983539,1.7042801245261716,1.7816288710144819,1.7713258186905803,1.7805143332987443,1.6772061148390245,1.7911394666434508,1.8829351075980278
97.5%,1.7886008331362484,1.905181509190368,1.9269204336261627,2.0212116036607872,1.991389180138564,2.02104378154486,1.8750449529892301,1.9815254418803157,2.2229534207605552
99%,2.091924814088699,2.1750244387424438,2.202227991728819,2.389343798969673,2.3578222105513076,2.4459516850108325,2.0967008801805997,2.2597250021458377,2.4491893183562605
max,5.279944604320392,17.58885256916539,6.044631886549698,5.718832923064608,9.807741636343401,5.0994079963103065,3.450862105675334,3.708075805069581,3.5166742202354877
