,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,0.9986982590568588,0.21665974781800443,0.4620810445284947,0.5810501725338268,0.6348661978509299,0.6795075998126241,0.737306506046604,0.8445845504375664,0.9784925852517309,1.1370153946636776,1.2798623964967553,1.3741908103941205,1.4742157921822163,1.5878708681205553,1.8461080997337727
1,P6-12,5.0,1780.0,0.990140177823379,0.22587728092234766,0.4808549140761421,0.5668297523522903,0.6213933646164693,0.6768801895685265,0.7290425499927343,0.8302044889632331,0.9655977389127157,1.1133696146611807,1.2894122433330937,1.3958484235706559,1.5191228779955321,1.670143871954593,2.189021490048529
2,P6-12,2.0,1437.0,1.004036675082027,0.2329213410084156,0.4221818158712641,0.5881473719022853,0.6363380711466745,0.6909572339877075,0.7394795927934661,0.8453730236409518,0.9695355207179903,1.1205156291799452,1.304883760411442,1.414755495698045,1.569853156054696,1.7239762732796748,2.3447190397837914
3,P6-12,1.0,2838.0,1.0017082582811019,0.2031450201989563,0.4563690221716987,0.6275567227545678,0.6693539417784167,0.7123935013118659,0.7720456003900814,0.866233198087148,0.976715850309765,1.1142638335547852,1.2507099866759257,1.3744545925226772,1.4717179776240854,1.607501854160734,2.2216505354599363
4,P13-15,1.0,1535.0,1.0028137630837506,0.22534791779727412,0.5228770192421899,0.6013605931443133,0.6534757510296161,0.6992728233521402,0.7561725261785648,0.852292737895268,0.9732912188171985,1.1230784822698419,1.2895261249427405,1.3886272885059048,1.4967668708967539,1.6062646967073562,3.219870792777098
5,P13-15,4.0,1468.0,1.0047040397003415,0.24283929047847436,0.3945200439434622,0.5437332222975908,0.5973722396216329,0.6509149538103889,0.7212675797868726,0.8436185444995967,0.9788348987391668,1.1411119450046254,1.3088707327252889,1.427884705187651,1.5862290632252083,1.730395709663255,2.0162294997431647
6,P13-15,3.0,1292.0,0.9959338686277992,0.2483701675628344,0.42350370136218124,0.5558535687153978,0.6317131819101652,0.666575271103173,0.725931009743706,0.8274836573213329,0.9745629159293954,1.123426613447928,1.2903797350142205,1.4127310066814658,1.54932556645797,1.7107956661828831,3.9029045113139587
7,P13-15,2.0,3506.0,1.000963143572578,0.21765512242500049,0.44452180064767877,0.5909004130637259,0.6537074847850378,0.7026179402036621,0.759848551655338,0.8536193824342719,0.9737929502216367,1.1187230720827874,1.2713940176025937,1.3909982326637436,1.5170853129417687,1.6827137377862624,2.360127148153674
8,P13-15,5.0,1447.0,0.9909276387794251,0.2656167863407473,0.35401972523320013,0.5569003751804376,0.5919541158132301,0.63202814463861,0.6951271848489419,0.8072354553715007,0.9421691087888385,1.1388943379732153,1.360603815729522,1.5022933310598503,1.605346280673673,1.7372959474346141,2.2394488928673826
9,P13-15,6.0,4875.0,0.9980259064501236,0.2218910123394151,0.335380186511454,0.5682642860016602,0.6349216061533952,0.6751539637094499,0.7343777213215656,0.8460089292489416,0.9722884334866069,1.1253877246011776,1.2961301928817603,1.4041864388508516,1.5121592011153542,1.6257043285936255,2.336345604025306
10,P13-15,7.0,1236.0,0.9934378205308627,0.21787139600616837,0.44355379891347657,0.5992764757793598,0.6357402181686318,0.6784728744224845,0.7383156229488892,0.8454809745875738,0.9613402928170249,1.1220955731685813,1.27407987274813,1.4037640630739199,1.4833406651210412,1.5501030522124541,2.384543936227714
