,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,0.9988201865482734,0.9985992401641096,1.0021676201445475,1.0006820291880154,0.999575032985033,1.0044317210333928,1.011206056076154,1.0075263647588253,1.0039529036494774
std,0.21715163564346557,0.2297877875812231,0.23677024815599815,0.22658251058003454,0.24794175353939338,0.24433938048881632,0.2511233148080615,0.22046040071968817,0.25244369732077404
min,0.4221818158712641,0.335380186511454,0.2913907739077224,0.3662864114949976,0.3218439169888971,0.3761537622415781,0.3953008092944873,0.5007012941902526,0.4058370973379163
1%,0.5884941633618709,0.5691214900404853,0.545486128091949,0.5861171702477398,0.545330345354453,0.5633690075464093,0.5852863084862421,0.620257754337862,0.5331222507868514
2.5%,0.6404395368156166,0.627862580959694,0.6149247295145974,0.6376570926747963,0.612338311114606,0.6179525057047983,0.6397002529583147,0.673680933232515,0.6410803121503248
5%,0.6949186678155715,0.6758253920637608,0.669976390153965,0.6887260426092061,0.6634775122815121,0.6679797969542541,0.6832424524228615,0.7120533374096143,0.7124168236774662
10%,0.748315416655843,0.7347532048589357,0.7279826492828472,0.745265408587124,0.7248870832670399,0.7240322719262068,0.7408534333061969,0.7775954518658692,0.7450886246510373
25%,0.8496883613541945,0.8429189338109359,0.8388986515836192,0.8444390268275198,0.8292926847793534,0.835362389025063,0.8456776453165881,0.8624553131710737,0.8316232927292669
50%,0.9740513545814358,0.9704784434819859,0.9757360983506451,0.9748230423802537,0.9687990150859386,0.9766075219728176,0.9740839005023292,0.9817162362265153,0.947437660208506
75%,1.1203428251253333,1.1258927045474882,1.1359075043976765,1.1244592256394779,1.1307958108432512,1.133761428453977,1.1334163635030818,1.1187152645596556,1.118622327631623
90%,1.2726781608158964,1.2948375113140929,1.3079496414387002,1.2843472475138777,1.3152026525468334,1.3256442566423046,1.3216455587556881,1.263133998983553,1.3270620991149413
95%,1.387085328348471,1.411728675760779,1.4284102631544475,1.3997861593780816,1.4476280140421323,1.4549312417791054,1.4535084231301574,1.3753845406067815,1.4587557526413346
97.5%,1.5053187091949796,1.5316908805178757,1.5512676727663115,1.5189492474128292,1.584763894697071,1.5792260518758336,1.610807891481104,1.500773550791381,1.6522336298362512
99%,1.6472525399959694,1.667614115186894,1.6903644975018663,1.6786314945748624,1.7607876680833248,1.7251346378589851,1.8468484512995187,1.7300922746879772,1.8403221878655744
max,2.3447190397837914,3.9029045113139587,2.602941660623659,3.9090314813010925,3.4905836052083132,2.7736813488184513,2.9019947621134605,2.744726668364087,2.4436823401665198
