,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,1.0095717884130981,0.875523500086494,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
1,P6-12,5.0,1780.0,1.3224719101123596,0.9384968557661914,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
2,P6-12,2.0,1437.0,1.07098121085595,0.9136689926873157,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
3,P6-12,1.0,2838.0,1.138125440451022,0.9120380883306402,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
4,P13-15,1.0,1535.0,1.501628664495114,0.95182043665638,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
5,P13-15,4.0,1468.0,1.0006811989100817,0.8842326011743806,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
6,P13-15,3.0,1292.0,1.1006191950464397,0.909081262049791,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
7,P13-15,2.0,3506.0,1.221905305191101,0.9433841520625186,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
8,P13-15,5.0,1447.0,1.2591568762957843,0.9510190252037563,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
9,P13-15,6.0,4875.0,1.2393846153846153,0.9094901729042416,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
10,P13-15,7.0,1236.0,1.2354368932038835,0.8873779161410281,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
11,P16-18,2.0,1761.0,1.3174332765474162,0.9112786965209663,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
12,P16-18,3.0,4657.0,1.4627442559587718,0.9497451874318764,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
13,P16-18,4.0,1315.0,1.0228136882129277,0.8746887201710846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
14,P16-18,6.0,1607.0,1.1151213441194774,0.8821258679521148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
15,P16-18,1.0,1215.0,0.9893004115226337,0.8784725892559002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
16,P19-21,7.0,2953.0,1.3427023366068405,0.917531970628434,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
17,P19-21,5.0,2022.0,1.066271018793274,0.9033227144893843,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
18,P19-21,3.0,2965.0,1.612141652613828,0.9322463728896048,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0
19,P19-21,2.0,1269.0,1.0228526398739164,0.862986375204367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
20,P19-21,1.0,695.0,0.7856115107913669,0.7862801517911667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0
21,P19-21,4.0,1329.0,1.1376975169300225,0.8891080182259347,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
22,P22-24,7.0,1190.0,0.9882352941176471,0.8631485843424367,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
23,P22-24,6.0,1976.0,1.1305668016194332,0.9157728326964633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
24,P22-24,5.0,767.0,0.984354628422425,0.8730160316786716,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
25,P22-24,2.0,738.0,0.8495934959349594,0.7954286608338659,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
26,P22-24,3.0,2256.0,1.4419326241134751,0.929056258576618,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
27,P22-24,4.0,3045.0,1.0078817733990149,0.9011255258566013,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
28,P25-27,4.0,2164.0,1.066543438077634,0.886644561436503,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
29,P25-27,5.0,1983.0,1.3827534039334342,0.9509913480701071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
30,P25-27,6.0,128.0,0.671875,0.8239464759774087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0
31,P25-27,3.0,1116.0,1.3136200716845878,0.9289721283043281,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
32,P25-27,7.0,1021.0,0.8873653281096964,0.822506339884151,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0
33,P28-31,7.0,522.0,0.9252873563218391,0.8719187116495823,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0
34,P28-31,5.0,1866.0,1.7883172561629153,0.9289462784804089,0.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
35,P28-31,6.0,1428.0,1.214985994397759,0.945983024199802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0
36,P32-35,6.0,23.0,0.08695652173913043,0.28810406552003043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999986,1.0,1.0,1.0
37,P32-35,7.0,565.0,1.015929203539823,0.9000163879202833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0
38,P32-35,5.0,276.0,0.6521739130434783,0.7642196153942659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,3.0,3.0
39,Doxo,5.0,145.0,0.4206896551724138,0.6310151160062273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0
40,Doxo,7.0,173.0,0.4046242774566474,0.5481273647719384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.6999999999999886,2.0,2.0
41,Doxo,6.0,366.0,0.6693989071038251,0.7781207916927524,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,2.0,2.0,2.0,3.0,3.0
