,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,1.1351990049751244,1.2286607200989648,1.2762671719564187,1.2692068013887652,1.1145206578419575,1.1709295071740486,1.455712788259958,0.875,0.5497076023391813
std,0.9160589015626862,0.928802323648259,0.9359032065704721,0.9361715960100259,0.9162731331828776,0.9245993673146038,0.9872736014630002,0.8735192735166742,0.706909987125798
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
50%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
75%,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
90%,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
95%,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0
97.5%,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
99%,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
max,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
