,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,16.258471002000284,16.028630683765204,0.0,0.0,0.0,0.0,0.0,0.0,13.258575197889185,27.5092936802974,39.7182480582913,46.88166774667699,52.47669832241452,57.135122665774816,65.06849315068493
1,P6-12,5.0,1780.0,20.78588619199905,17.002598909704965,0.0,0.0,0.0,0.0,0.0,4.892449117485177,19.195112674717123,32.991708757120776,45.66314763460641,51.63640940247066,56.10712005108555,59.73458591045241,65.48463356973996
2,P6-12,2.0,1437.0,14.803966541172823,15.489738663283743,0.0,0.0,0.0,0.0,0.0,0.0,10.933660933660931,24.548192771084334,38.77542118107546,45.869910108741706,52.054575269528534,56.8777394034537,65.05376344086021
3,P6-12,1.0,2838.0,18.05333958578538,16.84250341828194,0.0,0.0,0.0,0.0,0.0,0.0,15.11423268492262,29.663019514025706,43.09365407728775,49.81120356832824,55.79477810896567,61.091175360337346,65.6910569105691
4,P13-15,1.0,1535.0,25.099422414202508,18.179758693036707,0.0,0.0,0.0,0.0,0.0,9.73379248163596,24.24607961399276,38.88778553541,50.63777994157741,56.793253978013325,60.38313845336167,63.507028674503964,65.50976138828634
5,P13-15,4.0,1468.0,15.945730165425001,16.262724940015453,0.0,0.0,0.0,0.0,0.0,0.0,12.235731366504364,27.217563733462008,39.024122033260404,48.38764856523737,54.589558456910034,59.53946032820159,65.43062200956938
6,P13-15,3.0,1292.0,17.541671183123007,16.913615048254332,0.0,0.0,0.0,0.0,0.0,0.0,14.193799047163015,29.2937510184129,42.08602766636656,49.472174435469356,56.08671558511044,61.583692695782034,65.45768566493955
7,P13-15,2.0,3506.0,18.754973260851667,17.37804578936484,0.0,0.0,0.0,0.0,0.0,0.48644903072353235,15.331656216306392,31.22708338120452,44.725224760219035,51.811608250620345,57.74617661797732,61.729443836510576,65.7213316892725
8,P13-15,5.0,1447.0,19.729198179961486,17.301699446961393,0.0,0.0,0.0,0.0,0.0,2.872985170857511,17.338709677419356,32.080479452054796,45.36655274094857,52.304622825783646,56.233419048422,60.449387827527055,65.6842105263158
9,P13-15,6.0,4875.0,19.794609787092515,16.857299678901548,0.0,0.0,0.0,0.0,0.0,3.6787176756789517,17.87531806615776,31.740976645435243,43.96709644383842,51.094829678776605,56.637460162689685,61.27701555869874,65.53524804177546
10,P13-15,7.0,1236.0,17.868683400276264,16.00681882133502,0.0,0.0,0.0,0.0,0.0,3.3722704428479564,15.318662818662819,28.927809659235184,40.13331060302534,48.85723939832007,55.12040953662757,60.611865284694545,65.0103519668737
11,P16-18,2.0,1761.0,20.375550796047527,17.11934395998485,0.0,0.0,0.0,0.0,0.0,4.901960784313726,18.163024217365624,32.86749482401656,46.57320872274144,52.3841059602649,57.03188879803761,61.210962884955734,65.65096952908587
12,P16-18,3.0,4657.0,23.82527155214467,17.977177131076314,0.0,0.0,0.0,0.0,0.0,8.291457286432161,22.76077097505669,37.1977240398293,49.63984071828951,55.22238731536274,59.57158614893699,63.10617620204582,65.703125
13,P16-18,4.0,1315.0,16.921093855942367,16.650563481549334,0.0,0.0,0.0,0.0,0.0,0.0,13.9218009478673,27.944840660828742,41.33683494190444,48.95061728395062,55.29684688314129,60.329874213836455,65.21739130434783
14,P16-18,6.0,1607.0,17.91603067704964,16.461131146362757,0.0,0.0,0.0,0.0,0.0,0.0,15.193602693602694,29.327478351085652,42.241217488675126,49.12219312716721,54.26184581976113,58.99887315187199,65.69478908188586
15,P16-18,1.0,1215.0,15.925889875466156,16.566423332223504,0.0,0.0,0.0,0.0,0.0,0.0,11.475409836065571,27.37205247602645,41.16786339400734,48.94549798868826,52.92759584044699,59.81195950275526,65.09433962264151
16,P19-21,7.0,2953.0,20.496804279742094,16.871272642370364,0.0,0.0,0.0,0.0,0.0,5.836431226765799,18.52409638554217,31.93979933110368,44.83495491682307,52.38907431373885,57.58120580127051,62.293001776198935,65.69548872180451
17,P19-21,5.0,2022.0,17.154703442807932,16.841915092696176,0.0,0.0,0.0,0.0,0.0,0.0,13.503658317385465,29.478558706672146,41.60063391442155,48.043006895743964,54.974385245901594,60.91954022988506,65.7949790794979
18,P19-21,3.0,2965.0,26.13593157329464,17.713326235303892,0.0,0.0,0.0,0.0,0.0,11.494903737259342,25.0,39.68058968058968,51.13784596667905,56.182201076762674,59.793341196000824,63.20692867676319,65.75471698113208
19,P19-21,2.0,1269.0,14.994023886998901,15.495621361705124,0.0,0.0,0.0,0.0,0.0,0.0,11.182519280205655,23.86018237082067,38.900063724267866,45.74490055772742,51.25661082652633,58.866552172386584,65.60052219321149
20,P19-21,1.0,695.0,11.76248578924677,14.3238981317884,0.0,0.0,0.0,0.0,0.0,0.0,5.459183673469388,20.408947609677913,32.30424645108874,40.80823873292094,48.27185844393988,53.84418607788383,62.92270531400966
21,P19-21,4.0,1329.0,18.521876639871238,16.82649348432209,0.0,0.0,0.0,0.0,0.0,0.0,15.517241379310343,30.622837370242216,42.99715889012962,49.47132805628847,55.57382244781945,60.603892263856785,65.28132992327366
22,P22-24,7.0,1190.0,14.393215730968883,15.688990140794209,0.0,0.0,0.0,0.0,0.0,0.0,9.71872012920663,23.83339016260497,36.97821108308664,46.99361880092817,53.75716397623451,59.09473422752111,65.46894031668697
23,P22-24,6.0,1976.0,17.96048123501317,17.02426408220584,0.0,0.0,0.0,0.0,0.0,0.0,14.944464138012524,29.16221902959102,42.58805692982905,51.415764214519385,56.79157849111446,61.53801441525227,65.6926406926407
24,P22-24,5.0,767.0,16.055283179328807,16.213894651221,0.0,0.0,0.0,0.0,0.0,0.0,12.806372549019608,26.661631419939575,40.654544265908314,45.913006268616876,50.62483931890996,59.608127530121926,65.1356993736952
25,P22-24,2.0,738.0,11.249356866972244,13.03937574178857,0.0,0.0,0.0,0.0,0.0,0.0,7.115110672802981,17.66880695940348,31.504933306327946,37.64089870525513,44.05514314749828,50.459021844825955,64.74285714285715
26,P22-24,3.0,2256.0,22.20846576913463,16.988392051348928,0.0,0.0,0.0,0.0,0.0,8.255019353061162,20.518468104236845,33.646138807429125,46.6335037555112,53.32147653309285,59.25415757341363,62.92091038406827,65.80333625987709
27,P22-24,4.0,3045.0,16.000546650472415,16.443810340497485,0.0,0.0,0.0,0.0,0.0,0.0,12.079510703363914,27.287581699346404,41.208869709737144,48.44234055828337,52.72871663252732,58.97541528239203,65.52315608919382
28,P25-27,4.0,2164.0,17.211294085264896,16.2584100310039,0.0,0.0,0.0,0.0,0.0,0.0,14.411891745532376,28.152835236507165,40.689365836424656,47.74877777777777,53.86931742876074,58.66493532677812,65.49450549450549
29,P25-27,5.0,1983.0,21.99395359087263,17.43684549327851,0.0,0.0,0.0,0.0,0.0,6.734660064870927,20.26496565260059,34.83567170315551,47.52244205765969,53.17958110064947,58.31675313611389,61.97519214660235,65.61085972850678
30,P25-27,6.0,128.0,10.882288592749548,15.234816530431912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.467765190766677,33.975931186868685,43.951768362248686,47.37708256955477,56.5006596306069,65.20165460186142
31,P25-27,3.0,1116.0,21.492960834495403,17.57616221363727,0.0,0.0,0.0,0.0,0.0,5.688368353410067,19.396698073168665,34.28705249867633,47.49072876471188,53.923100101497084,58.66657573925944,62.931521803268964,65.70080862533693
32,P25-27,7.0,1021.0,13.180313860371971,15.313455322126538,0.0,0.0,0.0,0.0,0.0,0.0,7.893120393120393,22.39105504587156,36.26168224299065,45.3810623556582,51.48729008433824,58.423583662714066,63.11745334796927
33,P28-31,7.0,522.0,12.510727222863457,14.370750079996066,0.0,0.0,0.0,0.0,0.0,0.0,7.799443852419653,20.57317024729609,33.32211745314178,41.208903227570985,50.12425750489667,55.25155481129159,62.78158667972576
34,P28-31,5.0,1866.0,29.79495346179677,17.69398614404151,0.0,0.0,0.0,0.0,2.9167109579340256,16.26382924981056,29.900382626106648,43.16732462799878,54.029647328616406,58.26088830369323,62.003681044036824,64.37143775946684,65.64516129032258
35,P28-31,6.0,1428.0,18.822662589880157,17.078910908294482,0.0,0.0,0.0,0.0,0.0,0.0,15.962517343407832,30.6624821005352,44.240684255212095,50.83880607841004,56.26786996405342,60.700575490859855,65.45584045584046
36,P32-35,6.0,23.0,1.232553957653808,4.307786652325727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.663646659116635,13.719560868285424,16.72130452352564,18.722466960352424
37,P32-35,7.0,565.0,14.63313814289181,15.158461470539596,0.0,0.0,0.0,0.0,0.0,0.0,11.23517096999302,24.27130044843049,37.44800820354353,43.81491175705251,50.0,56.94291954122735,60.76439283986454
38,P32-35,5.0,276.0,8.941778403446015,12.156481044811281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.414406567686838,27.443385208827074,32.59238618920023,39.63471243572653,47.805950012576886,55.81395348837209
39,Doxo,5.0,145.0,5.9287886851120035,10.35580534074158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.778012684989427,23.828125,30.375631735591917,36.16414275512261,39.529577347750674,42.50700280112045
40,Doxo,7.0,173.0,4.864754696403003,8.677298749962077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.613976705490849,16.70510429828742,24.265571513706362,30.643725548457386,35.452388182725265,44.20152091254753
41,Doxo,6.0,366.0,10.901866886503583,14.924574533722014,0.0,0.0,0.0,0.0,0.0,0.0,0.46225340444260343,20.177200058234494,33.77368532169813,42.09619180720886,48.9981843226266,53.30320344424987,64.07766990291262
