,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,17.634405475728002,19.368922838140982,20.580567549734894,19.987966572133146,17.25413442964961,18.667409241082694,23.324618697168855,12.458336378600702,8.320702050115893
std,16.56829327791337,17.182400162629776,17.568791986055395,17.33938921228644,16.650198917622696,17.039637873510355,18.287287669913823,14.427141175186861,12.977579906699805
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,2.110696041289914,3.506084333615685,3.4653465346534653,0.0,0.0,7.004317432638108,0.0,0.0
50%,14.730608609310202,16.896551724137932,18.49925705794948,17.5,13.923624907473332,15.967444824007746,21.65807560137457,8.020469728785791,0.0
75%,29.12911432133674,31.571008551255773,33.41711314213678,32.34265734265734,28.452075914183965,30.353705829097727,37.11364354142542,21.43038127413127,13.051149547166986
90%,42.07582685254383,44.60137559421267,46.60871439347678,45.425054202035795,42.08860759493671,44.105116119271656,50.05598419701846,33.971884628551884,28.653502262928516
95%,48.957785079182145,51.60003695739818,53.016418054779294,52.36338422178918,49.75151716741111,51.0281418911214,55.5271673667064,41.453184766117424,37.53498262750756
97.5%,54.74721217600964,57.221436574865834,57.57703438883214,57.338208986635784,55.41577605957768,56.26667923257082,59.844562863320725,47.99803059053529,43.731009510485876
99%,59.350056618834564,61.42998634100869,62.0593372319688,61.98464381119583,60.75137677274713,61.02996482683983,63.41163677831488,54.69724875016024,49.55556790433666
max,65.6910569105691,65.7213316892725,65.703125,65.7949790794979,65.80333625987709,65.70080862533693,65.64516129032258,60.76439283986454,64.07766990291262
