,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,17204.46901763224,4992.417629714906,9360.0,9664.0,10387.2,11090.4,12016.0,13904.0,16384.0,19289.0,22871.2,26124.8,30111.99999999999,35015.04000000001,50684.0
1,P6-12,5.0,1780.0,19531.548876404493,6333.87705775617,9360.0,10016.0,10783.4,11647.2,12848.0,15166.0,18536.0,22706.0,27100.0,30167.999999999993,34518.999999999985,38341.56000000003,86312.0
2,P6-12,2.0,1437.0,27635.810020876826,6440.407385984854,9408.0,13733.44,16677.2,18406.4,20601.6,23808.0,27248.0,30704.0,34417.600000000006,37789.8,42979.19999999998,52134.08000000012,63872.0
3,P6-12,1.0,2838.0,23640.411557434814,7268.352600604809,9600.0,11681.48,12814.8,14045.6,15765.6,18992.0,22750.0,26831.0,31945.600000000006,36151.40000000001,41536.0,49281.550000000054,84656.0
4,P13-15,1.0,1535.0,23060.05667752443,7585.2345244850585,9456.0,11029.44,12480.8,14043.2,15633.6,18368.0,21732.0,25826.0,31716.000000000004,36180.399999999994,41693.54999999991,51519.68000000001,76752.0
5,P13-15,4.0,1468.0,19029.882152588554,5826.914485998456,9360.0,10256.16,11113.5,11976.4,13130.8,15278.0,18144.0,21348.0,25537.599999999995,29451.05,33093.2,37733.119999999995,62848.0
6,P13-15,3.0,1292.0,19561.49303405573,7330.652353819666,9408.0,10053.56,10728.8,11505.6,12547.2,14932.0,18118.0,22296.0,27660.4,32847.05,38666.1,47217.91999999991,75744.0
7,P13-15,2.0,3506.0,28034.3981745579,7684.8912660639735,9680.0,13500.2,15268.0,17588.0,20164.0,23440.0,27072.0,31218.0,36426.0,41519.0,47254.375,54254.94999999999,92684.0
8,P13-15,5.0,1447.0,18123.729785763648,5634.934201934287,9376.0,9836.56,10354.4,11049.6,12080.0,14384.0,17276.0,20812.0,24252.800000000003,27266.4,31383.59999999995,37951.03999999999,61680.0
9,P13-15,6.0,4875.0,21287.036512820512,6802.199445545841,9360.0,10439.68,11395.4,12481.6,14064.0,16800.0,20336.0,24384.0,28905.600000000006,33027.20000000001,37557.799999999996,45095.200000000026,91108.0
10,P13-15,7.0,1236.0,23361.05339805825,8004.882626519443,9456.0,10425.0,11498.0,13072.0,14626.5,17776.0,22244.0,26952.75,33188.0,38749.75,42428.0,49309.60000000001,72400.0
11,P16-18,2.0,1761.0,28036.620670073822,8313.63158048437,9680.0,13708.8,15472.0,17120.0,19404.0,22976.0,26916.0,31360.0,37232.0,43285.0,49025.0,58013.200000000026,82064.0
12,P16-18,3.0,4657.0,22302.904444921624,7457.869865139804,9392.0,10724.48,11776.0,13104.0,14640.0,17524.0,21088.0,25424.0,30881.600000000002,35443.2,40467.19999999998,48207.83999999998,95664.0
13,P16-18,4.0,1315.0,19097.555893536122,5938.125454785762,9376.0,10258.24,11069.6,11931.2,13084.8,15314.0,18248.0,21448.0,25278.4,29532.0,34994.399999999994,41047.999999999956,70881.0
14,P16-18,6.0,1607.0,21122.38767890479,8245.002715161694,9376.0,10096.96,10928.0,11804.4,13104.0,15792.0,19308.0,24344.0,30726.4,36334.79999999999,42377.6,53821.440000000075,79960.0
15,P16-18,1.0,1215.0,25163.97037037037,9548.125116032536,9348.0,11096.96,11851.2,13300.0,15590.4,18654.0,23504.0,29152.5,36672.0,44159.6,49456.199999999924,58003.99999999994,76160.0
16,P19-21,7.0,2953.0,26568.669150016933,9240.768558370919,9344.0,11224.96,13129.6,14953.6,17283.2,20720.0,25040.0,30504.0,36761.600000000006,43862.40000000001,50605.599999999984,59398.40000000001,97632.0
17,P19-21,5.0,2022.0,19412.24925816024,6670.219899030466,9376.0,10055.12,10633.2,11376.4,12678.800000000001,15146.0,18316.5,22048.0,26956.0,30471.6,36649.399999999994,44144.0,90204.0
18,P19-21,3.0,2965.0,21251.4023608769,7246.002281424569,9408.0,10512.0,11537.6,12787.2,14161.6,16672.0,20064.0,24016.0,29008.0,33775.999999999956,39304.90000000001,47177.440000000024,94304.0
19,P19-21,2.0,1269.0,30636.840031520882,10859.145699972107,9952.0,11355.52,13985.6,16121.6,19192.800000000003,23840.0,28828.0,35104.0,43494.4,50279.99999999997,60360.0,68288.63999999998,87832.0
20,P19-21,1.0,695.0,26354.81582733813,11433.330082770877,9404.0,10140.08,11163.6,13136.0,14758.4,18984.0,24096.0,30302.0,41612.8,49047.2,56379.99999999998,71094.0799999999,85132.0
21,P19-21,4.0,1329.0,20552.540255831453,8050.648846956389,9408.0,9968.32,11158.4,12019.2,13390.4,15648.0,19008.0,23040.0,28579.2,34431.99999999999,42883.19999999996,53052.40000000002,81392.0
22,P22-24,7.0,1190.0,29247.3512605042,11983.536484576876,9396.0,11736.96,13066.5,15689.4,17774.4,21490.0,26164.0,34504.0,44217.700000000004,51840.59999999998,60263.099999999904,74381.19999999991,97140.0
23,P22-24,6.0,1976.0,24542.67206477733,10988.043992656561,9416.0,10467.0,11692.0,12796.0,14440.0,17836.0,21936.0,27648.0,36984.0,45213.0,55582.0,68868.0,93852.0
24,P22-24,5.0,767.0,27953.314211212517,14394.018070474722,9520.0,10575.52,12092.0,13260.0,14880.800000000001,18872.0,23904.0,33152.0,44617.99999999999,57958.399999999994,68869.25,84884.56000000008,96312.0
25,P22-24,2.0,738.0,30716.59891598916,11722.396931048812,9360.0,10780.08,12632.4,14659.0,17416.8,22304.0,29434.0,36640.0,44805.1,53266.0,60089.19999999995,68724.47,87664.0
26,P22-24,3.0,2256.0,24369.508421985814,8351.103700755464,9360.0,10813.35,12390.0,14139.0,16048.0,19328.0,23112.0,27600.0,33520.0,39081.0,46226.0,56187.79999999996,89104.0
27,P22-24,4.0,3045.0,20329.861083743843,8310.353559896575,9360.0,9911.04,10672.0,11459.2,12724.800000000001,15072.0,18556.0,23205.0,29200.0,34424.79999999999,41303.20000000001,52953.59999999997,95528.0
28,P25-27,4.0,2164.0,19392.158040665436,6758.250476524551,9344.0,9850.08,10496.3,11330.4,12448.0,14905.0,18154.0,22155.75,27418.0,31433.999999999996,35916.39999999999,44817.759999999995,68884.0
29,P25-27,5.0,1983.0,21536.624810892587,7964.269685732227,9376.0,10605.12,11297.6,12659.2,13920.0,16608.0,20096.0,24102.0,30003.199999999997,35786.79999999993,42817.000000000015,51991.52000000002,89600.0
30,P25-27,6.0,128.0,28682.859375,15665.103866410309,9632.0,10154.4,11554.8,12212.0,13547.2,17142.0,25328.0,34896.0,48987.2,61041.799999999996,72536.40000000002,80437.68000000002,90301.0
31,P25-27,3.0,1116.0,25727.78136200717,12146.359230216434,10064.0,11138.8,12388.5,13980.0,15216.0,18332.0,22400.0,29041.0,40476.0,48502.0,62925.5,75277.64999999976,96648.0
32,P25-27,7.0,1021.0,29456.299706170423,12346.145489715622,9408.0,10675.2,12152.0,14192.0,16656.0,20992.0,26704.0,35680.0,44544.0,51808.0,60890.0,71974.4,97848.0
33,P28-31,7.0,522.0,29025.96743295019,12164.943945399613,9520.0,11175.16,12522.2,14389.6,17041.6,21683.0,26898.5,32406.75,43785.60000000002,52902.99999999999,61723.2,71224.12,94396.0
34,P28-31,5.0,1866.0,23654.57127545552,8457.929412061862,9348.0,10925.2,11726.5,13468.0,15312.0,18224.0,22088.0,27101.0,33754.0,38970.0,43939.0,51475.19999999998,87888.0
35,P28-31,6.0,1428.0,25729.43557422969,10717.343078761902,9344.0,10341.6,11435.2,13077.6,14944.0,18771.0,23344.0,30392.0,38697.6,45634.39999999998,54108.77500000002,63306.08000000001,90568.0
36,P32-35,6.0,23.0,34031.913043478264,16253.8565854749,9792.0,10531.2,11640.0,13236.4,14221.6,18174.0,31744.0,45262.5,54729.600000000006,55819.2,61768.79999999999,66093.12000000001,68976.0
37,P32-35,7.0,565.0,37810.569911504426,16510.743474443552,9504.0,13533.44,15433.6,18649.600000000002,21897.6,25776.0,32752.0,45712.0,61888.0,71961.59999999995,80190.79999999996,90272.48000000008,98324.0
38,P32-35,5.0,276.0,36052.97101449275,18256.72047297235,11520.0,12088.0,13048.0,14502.0,16464.0,21344.0,32846.0,45156.0,61376.0,71670.0,81222.0,93975.0,96517.0
39,Doxo,5.0,145.0,33902.22068965517,17733.069456632024,9552.0,9671.68,11228.8,12576.8,14368.0,20360.0,30500.0,42960.0,56899.799999999996,70273.59999999995,79240.80000000002,86148.08,92633.0
40,Doxo,7.0,173.0,49359.242774566475,20843.260450239828,11552.0,12871.36,15164.8,18057.6,21300.0,32736.0,46528.0,67104.0,78624.00000000001,82064.0,91086.79999999997,94823.0,97125.0
41,Doxo,6.0,366.0,37760.27868852459,20300.33450710116,9824.0,10545.0,11840.0,13395.0,15808.0,21844.0,31956.0,51195.25,69314.0,78068.75,83965.0,93144.60000000003,95832.0
