,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,21855.867537313432,22512.4490526727,23009.787020369495,23611.531113682897,24497.768551945446,22946.07751091703,25165.780660377357,37148.52546296296,39876.0716374269
std,7397.065865871999,7813.064205762209,8288.845011639867,9351.412760359623,10758.771543510233,10169.705059786054,10070.747500859028,17088.927134110778,20704.829612975027
min,9360.0,9360.0,9348.0,9344.0,9360.0,9344.0,9344.0,9504.0,9552.0
1%,10299.12,10448.0,10609.28,10351.68,10304.0,10276.44,10665.6,12238.880000000001,10469.12
2.5%,11311.6,11392.0,11622.8,11408.0,11373.1,11104.0,11740.0,14108.7,12088.0
5%,12252.0,12543.6,12816.0,12708.0,12544.0,12134.2,13308.0,16068.8,13500.0
10%,13540.0,14112.0,14499.2,14304.0,14208.0,13712.0,15304.0,18840.0,16436.8
25%,16416.0,17104.0,17484.0,17416.0,17632.0,16608.0,18729.0,24876.0,22656.0
50%,20956.0,21300.0,21564.0,21728.0,22168.0,20512.0,23072.0,32756.0,35372.0
75%,25936.0,26384.0,26688.0,27436.0,28112.0,26064.0,29072.0,45330.0,52492.0
90%,30848.0,31850.400000000005,32784.0,34592.0,37102.399999999994,34964.5,37076.0,61591.20000000001,72216.0
95%,34304.59999999999,36112.399999999994,37620.0,40944.0,44481.799999999996,42654.399999999994,43720.0,71395.59999999996,79525.65
97.5%,38227.99999999994,41084.2,44081.2,48177.799999999945,53586.80000000002,50134.79999999989,51053.5,80562.69999999998,85102.4
99%,45092.31999999996,49383.14,52245.3599999999,57648.0,65231.919999999765,63089.92000000004,62934.99999999999,93624.8,92908.90999999993
max,86312.0,92684.0,95664.0,97632.0,97140.0,97848.0,94396.0,98324.0,97125.0
