,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,0.9953766235321106,0.27507337124998366,0.17555516147633127,0.42748180318568274,0.48423062052062527,0.5621748664980865,0.6465593417708643,0.8043283662184431,0.9831488281725246,1.181414925009835,1.350644018798333,1.4736351318747865,1.5707997059633803,1.642075711891873,2.3849474863793616
1,P6-12,5.0,1780.0,0.9721123604483872,0.2676929117219921,0.25868684098374495,0.4659001450689941,0.5310931548213812,0.5780604531777555,0.6540828304655276,0.7902274488000804,0.9432155196085599,1.1325399458892427,1.3164800067835103,1.4310183224944613,1.5647577313088794,1.7318578654740788,2.293471948177055
2,P6-12,2.0,1437.0,0.9996165982302733,0.2219144621114916,0.4307174137511844,0.530625506801423,0.5791637194910513,0.6455166425729039,0.7211558676295163,0.849525051639036,0.9904941310317906,1.135437117178508,1.264422993596892,1.364336457963549,1.4985062461953502,1.628405727987402,2.023246912837749
3,P6-12,1.0,2838.0,0.9977989041599028,0.2845939968327809,0.040242253225966786,0.4275435475033748,0.4854981286222683,0.5591278485968101,0.644047411966275,0.7896084024510142,0.9796076531316769,1.186254357714119,1.3706056292402542,1.491915123876583,1.61160170998564,1.7332957887787142,2.186304109827838
4,P13-15,1.0,1535.0,0.9976798094373556,0.331486070462373,0.08406568769060876,0.38609619872326933,0.4505924796682035,0.5196957551834217,0.5987427174270943,0.7550906643498347,0.9569341094642905,1.2183170555334302,1.4441965046220562,1.5873455225793454,1.720849940307315,1.8836768273594433,2.4098744387623703
5,P13-15,4.0,1468.0,0.9922564334246133,0.290580596930676,0.0628362810092896,0.43506407712646833,0.48287240975482787,0.5609730070967515,0.6461476737057436,0.7795197171997575,0.9674990102330643,1.1841552735083833,1.385979598327233,1.4981272862301622,1.6142046633213862,1.7147395819845144,2.0578977918760066
6,P13-15,3.0,1292.0,0.9863088816920085,0.2781754742413321,0.0690762861124646,0.4122288973938409,0.4853571074163987,0.5388193858745919,0.6344001358439952,0.7953850041181982,0.9657385438054225,1.1703444714225206,1.355227231511842,1.473966146940295,1.5771338800090602,1.6986228817417826,1.907119814603102
7,P13-15,2.0,3506.0,0.9952807138315968,0.2297821858778679,0.1678861943344964,0.5103915140553287,0.5843235112893409,0.6541696451213439,0.718201720294701,0.8392364650495832,0.9812790364595205,1.13400960333695,1.274537941319545,1.3947126925381466,1.487654601094398,1.6157315575805125,2.2221205004061835
8,P13-15,5.0,1447.0,0.9769167265007785,0.2804972439868337,0.34034396153658164,0.47134688139506,0.5339621401120876,0.5729116337513307,0.639266001246752,0.7708344060417267,0.9562316033448457,1.1476639329424643,1.358850589081356,1.4757471688517234,1.5817926648673202,1.743510358215492,2.4941672669752815
9,P13-15,6.0,4875.0,0.9907925790851887,0.2857027521871382,0.19783627849376673,0.44171457105044853,0.5058539304713169,0.5634724512319527,0.6413052594849293,0.7870385170150176,0.9589190220242889,1.1741298828834152,1.3718058443534455,1.4965304503700687,1.6065921206573084,1.7435940189312038,2.260287184615315
