,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,0.991838923006477,0.9890425183379862,0.9907029702003999,0.9919592260239,0.9962399501315552,1.0029669458448682,0.9970040409708709,1.0073985758512236,1.0251965684420736
std,0.2683736093953983,0.2772682896614774,0.2938870561181565,0.3099896060776479,0.33497654309895103,0.3396731236015447,0.33268200192938674,0.36191456920226645,0.4039211486788608
min,0.040242253225966786,0.0628362810092896,0.03881498480125018,0.03946063217693988,0.03474211363178534,0.0349245300249584,0.054514594339285335,0.05908507649831327,0.052827750156087594
1%,0.44561510059630377,0.4404261717950387,0.4209489791332317,0.40756594016116066,0.3764041217662003,0.3683495849045515,0.33293027643650097,0.3092298912101833,0.08979366330190053
2.5%,0.5102108016866138,0.5088153537280152,0.4956338554839072,0.4791720418901005,0.4556355292425329,0.4540226573296207,0.4302528329100575,0.4669300539301836,0.44635516255399843
5%,0.5793101981153621,0.5685658968879603,0.5556735158501079,0.5443579768249153,0.5189819125861408,0.5236473264120565,0.5112729469173158,0.5472874412019891,0.5208212236399649
10%,0.6595754509489288,0.6524301271289377,0.633929206667949,0.6240709465870342,0.5994399616268115,0.6113171454931308,0.5985292335387737,0.6332654225206403,0.6282152120806205
25%,0.8063699918274871,0.7942113605800389,0.7793199266207144,0.769825403276479,0.75618155269777,0.7610762981201864,0.7709408951229371,0.7554214942096182,0.7588900459245719
50%,0.9747057304779283,0.9661035614195003,0.9653998936648954,0.9572147062407743,0.961362583168184,0.9600544153991084,0.9614589606527889,0.9549466943417437,0.9308222587024411
75%,1.163490426215484,1.1625073924660834,1.1733803131289036,1.1816804746011809,1.1956299443418226,1.2010360982891966,1.194751584684963,1.1927207806068156,1.2113813837866323
90%,1.3404189824044355,1.354238194293774,1.37403512072676,1.4024779634632283,1.438122697056553,1.4616955748654687,1.4476205768191561,1.475596901385491,1.5667793012705638
95%,1.4588876140930858,1.4767438467357565,1.5164871688024504,1.555095103328934,1.615874724231125,1.626477653071948,1.5971412615169576,1.6807319970692574,1.846128528755266
97.5%,1.570651370379412,1.593637620066258,1.638258395282448,1.6984033396251477,1.758404941683931,1.776424723708644,1.7391425391910373,1.9586949467664097,2.082266854004638
99%,1.6764061065932376,1.7318770222807376,1.796446305179837,1.8583271675481858,1.927877942583755,1.9744421275233879,1.9405999396836844,2.1588953498112473,2.3468966520641215
max,2.3849474863793616,2.4941672669752815,2.473861278469091,2.355513154896987,2.466898966616696,2.4746145971134768,2.498505512638482,2.483435808759304,2.495665077008358
