,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,0.10982367758186398,0.3127486416378937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
1,P6-12,5.0,1780.0,0.10393258426966293,0.30525882816033584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2,P6-12,2.0,1437.0,0.05080027835768963,0.21966608566668416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
3,P6-12,1.0,2838.0,0.09725158562367865,0.2963522577720526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
4,P13-15,1.0,1535.0,0.0996742671009772,0.29966282348561024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
5,P13-15,4.0,1468.0,0.10626702997275204,0.30828410409434565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
6,P13-15,3.0,1292.0,0.09442724458204334,0.2925354271063743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
7,P13-15,2.0,3506.0,0.0681688533941814,0.25207138678138735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
8,P13-15,5.0,1447.0,0.1243953006219765,0.33014608222304087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
9,P13-15,6.0,4875.0,0.11425641025641026,0.31815506689591283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
10,P13-15,7.0,1236.0,0.07766990291262135,0.2677597710565683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
11,P16-18,2.0,1761.0,0.06303236797274275,0.24309019925625616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
12,P16-18,3.0,4657.0,0.09856130556152029,0.29810410406689364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
13,P16-18,4.0,1315.0,0.09581749049429658,0.29445276772065687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
14,P16-18,6.0,1607.0,0.11200995644057249,0.3154768750326783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
15,P16-18,1.0,1215.0,0.07160493827160494,0.2579388111328115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
16,P19-21,7.0,2953.0,0.05113443955299695,0.22030920284968436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
17,P19-21,5.0,2022.0,0.09693372898120672,0.2959406953439403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
18,P19-21,3.0,2965.0,0.09780775716694773,0.29710464630746664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
19,P19-21,2.0,1269.0,0.04412923561859732,0.20546316609680315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
20,P19-21,1.0,695.0,0.053237410071942444,0.2246682338764591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
21,P19-21,4.0,1329.0,0.07599699021820917,0.26509305025243346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
22,P22-24,7.0,1190.0,0.037815126050420166,0.19082909567870796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
23,P22-24,6.0,1976.0,0.06831983805668017,0.252357814948826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
24,P22-24,5.0,767.0,0.08865710560625815,0.2844336519724401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
25,P22-24,2.0,738.0,0.032520325203252036,0.1774977294372786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
26,P22-24,3.0,2256.0,0.0797872340425532,0.271023597922302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
27,P22-24,4.0,3045.0,0.08407224958949097,0.27754171479451684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
28,P25-27,4.0,2164.0,0.07393715341959335,0.2617290699957568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
29,P25-27,5.0,1983.0,0.0680786686838124,0.2519443859792891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
30,P25-27,6.0,128.0,0.0546875,0.22826265262341355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6499999999999915,1.0,1.0,1.0
31,P25-27,3.0,1116.0,0.05197132616487455,0.22206867414847223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
32,P25-27,7.0,1021.0,0.04603330068560235,0.20965993676917766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
33,P28-31,7.0,522.0,0.0210727969348659,0.14376483806398313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
34,P28-31,5.0,1866.0,0.13129689174705253,0.33781529728359766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
35,P28-31,6.0,1428.0,0.07142857142857142,0.2576295990590803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
36,P32-35,6.0,23.0,0.08695652173913043,0.28810406552003043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8999999999999986,1.0,1.0,1.0
37,P32-35,7.0,565.0,0.012389380530973451,0.11071394948438601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
38,P32-35,5.0,276.0,0.010869565217391304,0.10387739809021061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,1.0
39,Doxo,5.0,145.0,0.027586206896551724,0.16435173942758732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4000000000000057,1.0,1.0
40,Doxo,7.0,173.0,0.023121387283236993,0.1507252708489285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41,Doxo,6.0,366.0,0.04371584699453552,0.20474204584604952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
