,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,0.09353233830845771,0.09785793345920958,0.09123638086215063,0.07397845633401584,0.07099879663056559,0.06347473487211479,0.09381551362683438,0.013888888888888888,0.03508771929824561
std,0.29119510055868336,0.2971321365606233,0.28795860757559577,0.2617474803731606,0.25683571108350667,0.24383388886190172,0.2916100944995698,0.11709764241938299,0.18413620403169154
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
97.5%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
99%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
