,AllGroups,Plate_Number,count,mean,std,min,1%,2.5%,5%,10%,25%,50%,75%,90%,95%,97.5%,99%,max
0,P6-12,4.0,1985.0,0.5731216248031001,2.0504304281909094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4769817278626094,4.12825174219798,7.839291048491484,11.294056814142138,19.215686274509803
1,P6-12,5.0,1780.0,0.5078268390904591,1.8159610880528225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.876641344267247,4.37623583313238,6.845561102669845,9.824909495962133,14.87603305785124
2,P6-12,2.0,1437.0,0.2758535909912666,1.4749081559764925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7492991893325259,4.529546758462392,8.218331981417307,20.422535211267604
3,P6-12,1.0,2838.0,0.4631136271124612,1.774595408015106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5089934278796268,3.7255694649678,6.016907323216145,8.941158698699667,20.419847328244277
4,P13-15,1.0,1535.0,0.3986931823831171,1.5134204288429847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6215327401533685,3.1805278225515417,4.821020710515731,7.211857707509886,17.51412429378531
5,P13-15,4.0,1468.0,0.5670244334494821,1.9570863929680404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.444444444444442,4.9646974063400435,7.430495186580385,9.398934169278968,20.508474576271187
6,P13-15,3.0,1292.0,0.4111208544360623,1.7090128501871067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4508736388959263,2.992456306328737,4.676258992805756,9.146420446631664,19.21824104234528
7,P13-15,2.0,3506.0,0.2950333893138072,1.4193935353720468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0031645569620253,4.069113606859283,6.713848396501456,20.081967213114755
8,P13-15,5.0,1447.0,0.6226839533437059,1.9966963300913343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9965811965811973,4.921259842519685,7.207725160745291,9.984967320261436,17.8343949044586
9,P13-15,6.0,4875.0,0.5127647501729488,1.836784091884076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4450867052023122,4.067750677506777,6.144203440538516,9.265289213401712,28.286852589641438
10,P13-15,7.0,1236.0,0.3427838746699352,1.4307578050575476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6479509718955057,5.3061617884352215,7.235099337748357,13.911845730027547
