,0,1,2,3,4,5,6,7,8
AllGroups,P6-12,P13-15,P16-18,P19-21,P22-24,P25-27,P28-31,P32-35,Doxo
count,8040.0,15359.0,10555.0,11233.0,9972.0,6412.0,3816.0,864.0,684.0
mean,0.46670351776303304,0.44497518176971373,0.41553289916491304,0.33661304802269426,0.31200236201376935,0.3000653531423096,0.4018452569760808,0.046989163372464296,0.11428397117730811
std,1.8102492090261588,1.7096093310566192,1.6231163654585246,1.4715591629681892,1.4146448468242483,1.4223118890383162,1.5732406016447968,0.46225581039993235,0.668028168321875
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90%,0.327230229840282,0.5244755244755245,0.18162309282667552,0.0,0.0,0.0,0.277992277992278,0.0,0.0
95%,3.6714115268617626,3.548387096774193,3.2934131736526946,2.55646876257256,2.1931899444413725,1.9084880636604726,2.9329608938547485,0.0,0.0
97.5%,6.6669254658385055,5.714716006884675,5.796129175338631,4.9081985499163405,4.600368516200819,4.631979058642474,5.473223385527657,0.0,2.2644348894348845
99%,9.562030075187948,8.879955683315368,8.446526867627721,7.766764995083589,7.6300087744953835,7.740313333089875,8.345270666406082,1.3545922543402447,3.4507887665770918
max,20.422535211267604,28.286852589641438,21.4,20.0,17.84565916398714,22.71186440677966,19.327731092436974,7.8671328671328675,7.510729613733906
