,Number_Object_Number,AreaShape_Area,Nuclei_AreaShape_Area,Cell_Nuclei_Area_Ratio,Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized,Intensity_MeanIntensity_LAMP1_MAX_WellNormalized,Intensity_MeanIntensity_MitoTracker_MAX_WellNormalized,Neighbors_NumberOfNeighbors_5,Neighbors_PercentTouching_5,Nuclei_Neighbors_NumberOfNeighbors_1,Nuclei_Neighbors_PercentTouching_1,Children_Lysosomes_Count,Children_Mitochondria_Count
count,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0,66935.0
mean,6.186658698737581,113616.53629640696,23551.3959214163,4.492781593255879,0.9935961738803426,0.9873044337650485,1.0011307655703399,1.2106521251960858,19.096681695019928,0.08303578098154926,0.3800898063965042,255.8260252483753,121.96182863972511
std,5.0251792072273345,96510.08835097132,9655.159551420014,2.1101304274715305,0.30576420080947814,0.40520907673763346,0.23450172696198962,0.9350034265052966,17.21789366890045,0.27593835835083663,1.5776947549508993,222.78657049612892,123.15113483851637
min,1.0,22792.0,9344.0,1.9244791666666667,0.03474211363178534,0.08354745144210103,0.2913907739077224,0.0,0.0,0.0,0.0,1.0,1.0
1%,1.0,27024.0,10384.0,2.033521597096189,0.4070840280209105,0.3727618552604424,0.5670409351432059,0.0,0.0,0.0,0.0,46.0,13.0
2.5%,1.0,30548.2,11408.0,2.152355389953751,0.48172916220610895,0.4329454151469847,0.6277379506008901,0.0,0.0,0.0,0.0,58.0,19.0
5%,1.0,34814.8,12592.0,2.3023715027350793,0.5465974924630631,0.4878895811761746,0.6775003257548925,0.0,0.0,0.0,0.0,69.0,24.0
10%,1.0,41408.0,14160.0,2.529794040342113,0.6297535392655931,0.5618233378021449,0.7358965968876036,0.0,0.0,0.0,0.0,85.0,32.0
25%,2.0,57582.0,17312.0,3.067573347513467,0.7785379721516039,0.7077118126099764,0.840786838521147,0.0,0.13275661580746323,0.0,0.0,123.0,52.0
50%,5.0,86196.0,21664.0,3.960710944808232,0.9636461174121328,0.9175237612340963,0.9731963503442882,1.0,16.375545851528383,0.0,0.0,191.0,87.0
75%,9.0,134618.0,27206.0,5.282078883313996,1.1776547993468967,1.185758853766135,1.1279942613229401,2.0,31.235208383454648,0.0,0.0,308.0,146.0
90%,13.0,208953.59999999992,34320.0,7.035806486494469,1.3919502654861762,1.4891488798412162,1.3003446875522735,3.0,44.58194798118515,0.0,0.0,492.0,242.0
95%,16.0,282807.39999999997,40944.0,8.50731818396004,1.5411235796887737,1.7193290441205613,1.4207978431294148,3.0,51.58234241145634,1.0,2.9295195498484974,664.0,339.0
97.5%,19.0,371615.05000000016,48656.0,10.114665550370596,1.6789179712628612,1.945855848794423,1.5450020379674703,3.0,56.766548042704635,1.0,5.37886533939032,860.0,464.0
99%,23.0,510616.98000000033,60426.560000000056,12.38772762824025,1.8528184428532082,2.251844726614425,1.7039509290268329,3.0,61.46141658443303,1.0,8.383233532934131,1146.6600000000035,640.0
max,58.0,1246657.0,98324.0,20.385057471264368,2.498505512638482,17.58885256916539,3.9090314813010925,3.0,65.80333625987709,1.0,28.286852589641438,3890.0,1853.0
