,Number_Object_Number,AreaShape_Area,Nuclei_AreaShape_Area,Cell_Nuclei_Area_Ratio,Nuclei_Intensity_MedianIntensity_DAPI_MAX_WellNormalized,Intensity_MeanIntensity_LAMP1_MAX_WellNormalized,Intensity_MeanIntensity_MitoTracker_MAX_WellNormalized,Neighbors_NumberOfNeighbors_5,Neighbors_PercentTouching_5,Nuclei_Neighbors_NumberOfNeighbors_1,Nuclei_Neighbors_PercentTouching_1,Children_Lysosomes_Count,Children_Mitochondria_Count
count,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0,87682.0
mean,6.757920667867977,90613.51441572957,20305.1204694236,7.000647922363444,1.0,1.0,1.0,0.0,0.0,0.0,0.0,237.12379963960677,24.51044684199722
std,5.712539621749258,99797.2134698294,10288.585365039507,495.4220118193492,0.33922353750788153,0.42338966142108186,0.28291740478445837,0.0,0.0,0.0,0.0,241.7728518589707,33.155169718020176
min,1.0,3125.0,1.0,1.0,0.017490560535990362,0.06875422580553812,0.19886925247885373,0.0,0.0,0.0,0.0,1.0,1.0
1%,1.0,12801.81,5955.81,1.3919064954396436,0.38159776302374293,0.3557899071792156,0.5151915572886495,0.0,0.0,0.0,0.0,25.0,1.0
2.5%,1.0,16485.075,7479.025,1.588752316836031,0.46575727855192084,0.4218480645301619,0.5784966590741372,0.0,0.0,0.0,0.0,37.0,2.0
5%,1.0,20430.1,8968.0,1.7885822430677876,0.5336170919824921,0.48260584607075957,0.6324851161035433,0.0,0.0,0.0,0.0,49.0,3.0
10%,1.0,26148.0,10853.0,2.043489481530682,0.618766674686694,0.560557938606368,0.6955103135929318,0.0,0.0,0.0,0.0,66.0,4.0
25%,3.0,39425.5,14119.0,2.5836990555408237,0.7704940084482177,0.7131103620196149,0.8105665479220093,0.0,0.0,0.0,0.0,103.0,8.0
50%,5.0,63112.5,18369.0,3.441223238216797,0.9635251105914604,0.9287774684949376,0.9592503406708203,0.0,0.0,0.0,0.0,168.0,15.0
75%,9.0,104333.75,23778.0,4.734035936007163,1.1869008679297464,1.203426733582344,1.1420450808870342,0.0,0.0,0.0,0.0,283.0,28.0
90%,14.0,173896.40000000023,30982.0,6.574797946505155,1.4155549091017778,1.5179241748628145,1.3516060101754213,0.0,0.0,0.0,0.0,468.0,50.0
95%,18.0,246205.49999999997,37951.95,8.2344156835662,1.5772139497499407,1.7480694992352912,1.5039148482573412,0.0,0.0,0.0,0.0,647.0,74.0
97.5%,22.0,341490.89999999997,46392.0,10.159572873341336,1.731855157713532,1.9841361135464357,1.6563354406513897,0.0,0.0,0.0,0.0,863.0,106.0
99%,27.0,502585.3300000005,59720.850000000035,13.412423677337106,1.9602302584625337,2.319521469188961,1.869392199691191,0.0,0.0,0.0,0.0,1221.0,166.0
max,56.0,2273984.0,265702.0,131742.5,7.080010730979028,19.22179875026746,17.501201836290704,0.0,0.0,0.0,0.0,5759.0,879.0
